sample_multiplier,sample_count_per_role,candidate_status,macro_step,epoch,accuracy,cross_entropy
1,256,failed_threshold,5,11,0.7953125238418579,0.8470214605331421
1,256,failed_threshold,5,12,0.792187511920929,0.8756945729255676
1,256,failed_threshold,5,13,0.796875,0.8779862523078918
1,256,failed_threshold,5,14,0.8046875,0.9089345932006836
1,256,failed_threshold,5,15,0.8062499761581421,0.9395915269851685
1,256,failed_threshold,5,16,0.7953125238418579,0.9629303812980652
1,256,failed_threshold,5,17,0.7984374761581421,1.0146663188934326
1,256,failed_threshold,5,18,0.778124988079071,1.0765023231506348
1,256,failed_threshold,5,19,0.7953125238418579,1.0475364923477173
1,256,failed_threshold,5,20,0.7984374761581421,1.0866906642913818
1,256,failed_threshold,6,1,0.7278645634651184,1.1408350467681885
1,256,failed_threshold,6,2,0.7317708134651184,1.0313948392868042
1,256,failed_threshold,6,3,0.75390625,0.9610727429389954
1,256,failed_threshold,6,4,0.7708333134651184,0.9224309325218201
1,256,failed_threshold,6,5,0.7799479365348816,0.9083089828491211
1,256,failed_threshold,6,6,0.77734375,0.8837565779685974
1,256,failed_threshold,6,7,0.7942708134651184,0.860525906085968
1,256,failed_threshold,6,8,0.78515625,0.9156064391136169
1,256,failed_threshold,6,9,0.7877604365348816,0.8575578331947327
1,256,failed_threshold,6,10,0.80078125,0.8964128494262695
1,256,failed_threshold,6,11,0.79296875,0.9009831547737122
1,256,failed_threshold,6,12,0.796875,0.9472070336341858
1,256,failed_threshold,6,13,0.7825520634651184,0.928974449634552
1,256,failed_threshold,6,14,0.7877604365348816,0.9825911521911621
1,256,failed_threshold,6,15,0.7760416865348816,1.0433995723724365
1,256,failed_threshold,6,16,0.78515625,1.0629161596298218
1,256,failed_threshold,6,17,0.79296875,1.080714225769043
1,256,failed_threshold,6,18,0.7747395634651184,1.065475344657898
1,256,failed_threshold,6,19,0.7877604365348816,1.1278741359710693
1,256,failed_threshold,6,20,0.7747395634651184,1.1991013288497925
1,256,failed_threshold,7,1,0.6729910969734192,1.1697838306427002
1,256,failed_threshold,7,2,0.7299107313156128,1.0341020822525024
1,256,failed_threshold,7,3,0.7578125,0.9180558919906616
1,256,failed_threshold,7,4,0.7745535969734192,0.8769837617874146
1,256,failed_threshold,7,5,0.7868303656578064,0.8460174798965454
1,256,failed_threshold,7,6,0.7946428656578064,0.8529718518257141
1,256,failed_threshold,7,7,0.7924107313156128,0.8377537727355957
1,256,failed_threshold,7,8,0.8013392686843872,0.8486504554748535
1,256,failed_threshold,7,9,0.7857142686843872,0.9822440147399902
1,256,failed_threshold,7,10,0.7912946343421936,0.9449673891067505
1,256,failed_threshold,7,11,0.7901785969734192,0.9441859126091003
1,256,failed_threshold,7,12,0.7723214030265808,1.0143510103225708
1,256,failed_threshold,7,13,0.7767857313156128,1.0844060182571411
1,256,failed_threshold,7,14,0.7979910969734192,1.004156470298767
1,256,failed_threshold,7,15,0.8002232313156128,1.0495444536209106
1,256,failed_threshold,7,16,0.78125,1.160090446472168
1,256,failed_threshold,7,17,0.7857142686843872,1.1833362579345703
1,256,failed_threshold,7,18,0.796875,1.1493417024612427
1,256,failed_threshold,7,19,0.78125,1.1688258647918701
1,256,failed_threshold,7,20,0.7723214030265808,1.1824283599853516
1,256,failed_threshold,8,1,0.8017578125,0.960803747177124
1,256,failed_threshold,8,2,0.7939453125,0.877099871635437
1,256,failed_threshold,8,3,0.7958984375,0.8513023853302002
1,256,failed_threshold,8,4,0.8017578125,0.7699761390686035
1,256,failed_threshold,8,5,0.794921875,0.7697869539260864
1,256,failed_threshold,8,6,0.8046875,0.7349405288696289
1,256,failed_threshold,8,7,0.7841796875,0.7369685769081116
1,256,failed_threshold,8,8,0.7939453125,0.7107474207878113
1,256,failed_threshold,8,9,0.80078125,0.7022994756698608
1,256,failed_threshold,8,10,0.763671875,0.7744970321655273
1,256,failed_threshold,8,11,0.7978515625,0.6748086810112
1,256,failed_threshold,8,12,0.7890625,0.7040176391601562
1,256,failed_threshold,8,13,0.7841796875,0.7106738686561584
1,256,failed_threshold,8,14,0.796875,0.685340940952301
1,256,failed_threshold,8,15,0.7978515625,0.6950966119766235
1,256,failed_threshold,8,16,0.8046875,0.7172628045082092
1,256,failed_threshold,8,17,0.7939453125,0.7050840854644775
1,256,failed_threshold,8,18,0.7880859375,0.7292377948760986
1,256,failed_threshold,8,19,0.7880859375,0.719801127910614
1,256,failed_threshold,8,20,0.796875,0.70945143699646
1,256,failed_threshold,9,1,0.75,0.9780709743499756
1,256,failed_threshold,9,2,0.78125,0.8777945041656494
1,256,failed_threshold,9,3,0.7873263955116272,0.8548866510391235
1,256,failed_threshold,9,4,0.7890625,0.8542870283126831
1,256,failed_threshold,9,5,0.7873263955116272,0.8707598447799683
1,256,failed_threshold,9,6,0.7864583134651184,0.8784782886505127
1,256,failed_threshold,9,7,0.8064236044883728,0.8184967637062073
1,256,failed_threshold,9,8,0.7986111044883728,0.8226056098937988
1,256,failed_threshold,9,9,0.7829861044883728,0.8733326196670532
1,256,failed_threshold,9,10,0.7673611044883728,0.8735902309417725
1,256,failed_threshold,9,11,0.8064236044883728,0.8339454531669617
1,256,failed_threshold,9,12,0.7907986044883728,0.8908762335777283
1,256,failed_threshold,9,13,0.7986111044883728,0.8618647456169128
1,256,failed_threshold,9,14,0.7916666865348816,0.9050738215446472
1,256,failed_threshold,9,15,0.7569444179534912,0.9556387662887573
1,256,failed_threshold,9,16,0.7977430820465088,0.9523957371711731
1,256,failed_threshold,9,17,0.8003472089767456,0.9405562281608582
1,256,failed_threshold,9,18,0.7977430820465088,0.9978344440460205
1,256,failed_threshold,9,19,0.7960069179534912,1.0269168615341187
1,256,failed_threshold,9,20,0.7743055820465088,1.0778907537460327
1,256,failed_threshold,10,1,0.7203124761581421,1.0487115383148193
1,256,failed_threshold,10,2,0.7476562261581421,0.954867959022522
1,256,failed_threshold,10,3,0.768750011920929,0.9225098490715027
1,256,failed_threshold,10,4,0.776562511920929,0.8591378331184387
1,256,failed_threshold,10,5,0.772656261920929,0.8615155220031738
1,256,failed_threshold,10,6,0.79296875,0.8258885145187378
1,256,failed_threshold,10,7,0.765625,0.8767439723014832
1,256,failed_threshold,10,8,0.7718750238418579,0.8345679044723511
1,256,failed_threshold,10,9,0.7679687738418579,0.8513467907905579
1,256,failed_threshold,10,10,0.7890625,0.8299463987350464
1,256,failed_threshold,10,11,0.776562511920929,0.8716206550598145
1,256,failed_threshold,10,12,0.76953125,0.9014345407485962
1,256,failed_threshold,10,13,0.7835937738418579,0.9439822435379028
1,256,failed_threshold,10,14,0.7679687738418579,0.965410590171814
1,256,failed_threshold,10,15,0.765625,0.9937173128128052
1,256,failed_threshold,10,16,0.782031238079071,0.9380785226821899
1,256,failed_threshold,10,17,0.77734375,0.9715532064437866
1,256,failed_threshold,10,18,0.7796875238418579,0.9881418347358704
1,256,failed_threshold,10,19,0.774218738079071,1.0024218559265137
1,256,failed_threshold,10,20,0.778124988079071,1.059976577758789
2,512,failed_threshold,1,1,0.875,0.5004650354385376
2,512,failed_threshold,1,2,0.875,0.5191385746002197
2,512,failed_threshold,1,3,0.859375,0.5434415340423584
2,512,failed_threshold,1,4,0.8515625,0.549283504486084
2,512,failed_threshold,1,5,0.84375,0.6206727623939514
2,512,failed_threshold,1,6,0.8359375,0.612259030342102
2,512,failed_threshold,1,7,0.8515625,0.6139659285545349
2,512,failed_threshold,1,8,0.8515625,0.6348572373390198
2,512,failed_threshold,1,9,0.8671875,0.6139563918113708
2,512,failed_threshold,1,10,0.8515625,0.7321633100509644
2,512,failed_threshold,1,11,0.875,0.6523259282112122
2,512,failed_threshold,1,12,0.875,0.656682014465332
2,512,failed_threshold,1,13,0.875,0.6990547180175781
2,512,failed_threshold,1,14,0.8828125,0.6528757810592651
2,512,failed_threshold,1,15,0.8671875,0.6817582249641418
2,512,failed_threshold,1,16,0.8828125,0.6377635598182678
2,512,failed_threshold,1,17,0.859375,0.6642909049987793
2,512,failed_threshold,1,18,0.875,0.6424350142478943
2,512,failed_threshold,1,19,0.8515625,0.7304641008377075
2,512,failed_threshold,1,20,0.859375,0.7017447352409363
2,512,failed_threshold,2,1,0.83203125,0.6707090735435486
2,512,failed_threshold,2,2,0.8515625,0.7032454609870911
2,512,failed_threshold,2,3,0.85546875,0.6307991743087769
2,512,failed_threshold,2,4,0.84375,0.6241305470466614
2,512,failed_threshold,2,5,0.84765625,0.6400356888771057
2,512,failed_threshold,2,6,0.84375,0.5720608830451965
2,512,failed_threshold,2,7,0.828125,0.6033666729927063
2,512,failed_threshold,2,8,0.84765625,0.5502108335494995
2,512,failed_threshold,2,9,0.8046875,0.5872479677200317
2,512,failed_threshold,2,10,0.8359375,0.5577468276023865
2,512,failed_threshold,2,11,0.81640625,0.6034961938858032
2,512,failed_threshold,2,12,0.82421875,0.5828520059585571
2,512,failed_threshold,2,13,0.828125,0.5945993661880493
2,512,failed_threshold,2,14,0.82421875,0.6771844029426575
2,512,failed_threshold,2,15,0.83984375,0.5792550444602966
2,512,failed_threshold,2,16,0.80859375,0.6086397171020508
2,512,failed_threshold,2,17,0.83203125,0.6052080988883972
2,512,failed_threshold,2,18,0.828125,0.6097952127456665
2,512,failed_threshold,2,19,0.8046875,0.6030643582344055
2,512,failed_threshold,2,20,0.8359375,0.602406919002533
2,512,failed_threshold,3,1,0.7395833134651184,0.9411802291870117
2,512,failed_threshold,3,2,0.7994791865348816,0.8006937503814697
2,512,failed_threshold,3,3,0.8177083134651184,0.6831948161125183
2,512,failed_threshold,3,4,0.8255208134651184,0.6871150135993958
2,512,failed_threshold,3,5,0.8177083134651184,0.6852678656578064
2,512,failed_threshold,3,6,0.8177083134651184,0.7366860508918762
2,512,failed_threshold,3,7,0.8098958134651184,0.7844967842102051
2,512,failed_threshold,3,8,0.8098958134651184,0.7786312699317932
2,512,failed_threshold,3,9,0.8203125,0.7530511021614075
2,512,failed_threshold,3,10,0.8046875,0.8010682463645935
2,512,failed_threshold,3,11,0.796875,0.8698611855506897
2,512,failed_threshold,3,12,0.8203125,0.8229007124900818
2,512,failed_threshold,3,13,0.8151041865348816,0.8757321238517761
2,512,failed_threshold,3,14,0.8020833134651184,0.9183971285820007
2,512,failed_threshold,3,15,0.8255208134651184,0.929779589176178
2,512,failed_threshold,3,16,0.8203125,0.9070415496826172
2,512,failed_threshold,3,17,0.8203125,0.9781122803688049
2,512,failed_threshold,3,18,0.8229166865348816,1.0245177745819092
2,512,failed_threshold,3,19,0.8255208134651184,1.0203624963760376
2,512,failed_threshold,3,20,0.8151041865348816,1.0850112438201904
2,512,failed_threshold,4,1,0.869140625,0.738825798034668
2,512,failed_threshold,4,2,0.8515625,0.663231611251831
2,512,failed_threshold,4,3,0.849609375,0.634924054145813
2,512,failed_threshold,4,4,0.853515625,0.6459057331085205
2,512,failed_threshold,4,5,0.818359375,0.7272813320159912
2,512,failed_threshold,4,6,0.85546875,0.6097556948661804
2,512,failed_threshold,4,7,0.857421875,0.5836925506591797
2,512,failed_threshold,4,8,0.85546875,0.6191189885139465
2,512,failed_threshold,4,9,0.853515625,0.5651894807815552
2,512,failed_threshold,4,10,0.865234375,0.5389655828475952
2,512,failed_threshold,4,11,0.86328125,0.5711530447006226
2,512,failed_threshold,4,12,0.8515625,0.5642173886299133
2,512,failed_threshold,4,13,0.857421875,0.5372731685638428
2,512,failed_threshold,4,14,0.865234375,0.5373572707176208
2,512,failed_threshold,4,15,0.85546875,0.5326315760612488
2,512,failed_threshold,4,16,0.845703125,0.5351707339286804
2,512,failed_threshold,4,17,0.84765625,0.5521623492240906
2,512,failed_threshold,4,18,0.837890625,0.54361492395401
2,512,failed_threshold,4,19,0.841796875,0.5717739462852478
2,512,failed_threshold,4,20,0.85546875,0.564724862575531
2,512,failed_threshold,5,1,0.8500000238418579,0.6837402582168579
2,512,failed_threshold,5,2,0.846875011920929,0.6503573656082153
2,512,failed_threshold,5,3,0.859375,0.5858067274093628
2,512,failed_threshold,5,4,0.8421875238418579,0.6272362470626831
2,512,failed_threshold,5,5,0.8500000238418579,0.5830003619194031
2,512,failed_threshold,5,6,0.859375,0.5841276049613953
2,512,failed_threshold,5,7,0.862500011920929,0.558153510093689
2,512,failed_threshold,5,8,0.8500000238418579,0.6170203685760498
2,512,failed_threshold,5,9,0.8531249761581421,0.5978468656539917
2,512,failed_threshold,5,10,0.848437488079071,0.6555705666542053
2,512,failed_threshold,5,11,0.8343750238418579,0.6690141558647156
2,512,failed_threshold,5,12,0.848437488079071,0.7181016802787781
2,512,failed_threshold,5,13,0.832812488079071,0.7194615602493286
2,512,failed_threshold,5,14,0.84375,0.7562426924705505
2,512,failed_threshold,5,15,0.8374999761581421,0.7757229208946228
2,512,failed_threshold,5,16,0.832812488079071,0.8011981844902039
2,512,failed_threshold,5,17,0.846875011920929,0.8289594650268555
2,512,failed_threshold,5,18,0.848437488079071,0.7873188853263855
2,512,failed_threshold,5,19,0.8453124761581421,0.8837456703186035
2,512,failed_threshold,5,20,0.8343750238418579,0.8241478204727173
2,512,failed_threshold,6,1,0.7994791865348816,0.8403055667877197
2,512,failed_threshold,6,2,0.8203125,0.7003702521324158
2,512,failed_threshold,6,3,0.8515625,0.6146332621574402
2,512,failed_threshold,6,4,0.86328125,0.6053449511528015
2,512,failed_threshold,6,5,0.8567708134651184,0.5815728306770325
2,512,failed_threshold,6,6,0.8411458134651184,0.6441060304641724
2,512,failed_threshold,6,7,0.8515625,0.6636195778846741
2,512,failed_threshold,6,8,0.84765625,0.6082744002342224
2,512,failed_threshold,6,9,0.8450520634651184,0.631004273891449
2,512,failed_threshold,6,10,0.8450520634651184,0.6381157040596008
2,512,failed_threshold,6,11,0.8502604365348816,0.6098728179931641
2,512,failed_threshold,6,12,0.83984375,0.660459041595459
2,512,failed_threshold,6,13,0.8489583134651184,0.6846887469291687
2,512,failed_threshold,6,14,0.8424479365348816,0.6556469202041626
2,512,failed_threshold,6,15,0.84375,0.6918210983276367
2,512,failed_threshold,6,16,0.8424479365348816,0.7190947532653809
2,512,failed_threshold,6,17,0.83984375,0.767605721950531
2,512,failed_threshold,6,18,0.8528645634651184,0.7588334083557129
2,512,failed_threshold,6,19,0.8489583134651184,0.7330729365348816
2,512,failed_threshold,6,20,0.8411458134651184,0.7672443389892578
2,512,failed_threshold,7,1,0.7589285969734192,0.8817716240882874
2,512,failed_threshold,7,2,0.8191964030265808,0.7234740257263184
2,512,failed_threshold,7,3,0.8359375,0.6685886383056641
2,512,failed_threshold,7,4,0.8415178656578064,0.6372894048690796
2,512,failed_threshold,7,5,0.8482142686843872,0.6149289011955261
2,512,failed_threshold,7,6,0.8415178656578064,0.6132351756095886
2,512,failed_threshold,7,7,0.8392857313156128,0.6632168889045715
2,512,failed_threshold,7,8,0.8448660969734192,0.6565979719161987
2,512,failed_threshold,7,9,0.8426339030265808,0.6464633941650391
2,512,failed_threshold,7,10,0.8404017686843872,0.6528754830360413
2,512,failed_threshold,7,11,0.8448660969734192,0.6432669758796692
2,512,failed_threshold,7,12,0.8392857313156128,0.6945604681968689
2,512,failed_threshold,7,13,0.8292410969734192,0.705783486366272
2,512,failed_threshold,7,14,0.8370535969734192,0.7353026270866394
2,512,failed_threshold,7,15,0.8392857313156128,0.7539643049240112
2,512,failed_threshold,7,16,0.8504464030265808,0.7883709669113159
2,512,failed_threshold,7,17,0.8415178656578064,0.771946370601654
2,512,failed_threshold,7,18,0.8470982313156128,0.7806451916694641
2,512,failed_threshold,7,19,0.8404017686843872,0.8794682621955872
2,512,failed_threshold,7,20,0.8314732313156128,0.8504610061645508
2,512,failed_threshold,8,1,0.8427734375,0.6565598249435425
2,512,failed_threshold,8,2,0.8447265625,0.576529860496521
2,512,failed_threshold,8,3,0.8447265625,0.5489422678947449
2,512,failed_threshold,8,4,0.853515625,0.545047402381897
2,512,failed_threshold,8,5,0.8408203125,0.5379598736763
2,512,failed_threshold,8,6,0.8359375,0.5525681376457214
2,512,failed_threshold,8,7,0.8466796875,0.5119084119796753
2,512,failed_threshold,8,8,0.8466796875,0.5324032306671143
2,512,failed_threshold,8,9,0.8427734375,0.5163620710372925
2,512,failed_threshold,8,10,0.84375,0.5429748296737671
2,512,failed_threshold,8,11,0.845703125,0.5089016556739807
2,512,failed_threshold,8,12,0.84765625,0.5204680562019348
2,512,failed_threshold,8,13,0.833984375,0.5471152663230896
2,512,failed_threshold,8,14,0.84765625,0.517562747001648
2,512,failed_threshold,8,15,0.8408203125,0.5661898851394653
2,512,failed_threshold,8,16,0.8447265625,0.5500308275222778
2,512,failed_threshold,8,17,0.8466796875,0.5523636937141418
2,512,failed_threshold,8,18,0.84765625,0.5504838824272156
2,512,failed_threshold,8,19,0.8466796875,0.5532164573669434
2,512,failed_threshold,8,20,0.853515625,0.5179933905601501
2,512,failed_threshold,9,1,0.8446180820465088,0.6501113176345825
2,512,failed_threshold,9,2,0.8498263955116272,0.6193039417266846
2,512,failed_threshold,9,3,0.8480902910232544,0.5957587361335754
2,512,failed_threshold,9,4,0.8472222089767456,0.6005702614784241
2,512,failed_threshold,9,5,0.8550347089767456,0.570774495601654
2,512,failed_threshold,9,6,0.8446180820465088,0.5811675786972046
2,512,failed_threshold,9,7,0.8567708134651184,0.5614107847213745
2,512,failed_threshold,9,8,0.8454861044883728,0.601488471031189
2,512,failed_threshold,9,9,0.8463541865348816,0.5992985963821411
2,512,failed_threshold,9,10,0.84375,0.6282700896263123
2,512,failed_threshold,9,11,0.8376736044883728,0.6314620971679688
2,512,failed_threshold,9,12,0.8420138955116272,0.6354135274887085
2,512,failed_threshold,9,13,0.8489583134651184,0.6487295627593994
2,512,failed_threshold,9,14,0.8402777910232544,0.7050381898880005
2,512,failed_threshold,9,15,0.8463541865348816,0.6813455820083618
2,512,failed_threshold,9,16,0.8289930820465088,0.7131609916687012
2,512,failed_threshold,9,17,0.8376736044883728,0.7365095615386963
2,512,failed_threshold,9,18,0.84375,0.7434847950935364
2,512,failed_threshold,9,19,0.8385416865348816,0.7947418689727783
2,512,failed_threshold,9,20,0.8402777910232544,0.7726256251335144
2,512,failed_threshold,10,1,0.840624988079071,0.6813250184059143
2,512,failed_threshold,10,2,0.848437488079071,0.6278157234191895
2,512,failed_threshold,10,3,0.8539062738418579,0.5955901145935059
2,512,failed_threshold,10,4,0.848437488079071,0.6107698082923889
2,512,failed_threshold,10,5,0.8515625,0.6119565367698669
2,512,failed_threshold,10,6,0.84765625,0.6145850419998169
2,512,failed_threshold,10,7,0.83984375,0.6176733374595642
2,512,failed_threshold,10,8,0.850781261920929,0.5689812898635864
2,512,failed_threshold,10,9,0.842968761920929,0.598260760307312
2,512,failed_threshold,10,10,0.842968761920929,0.5995296239852905
2,512,failed_threshold,10,11,0.846875011920929,0.5922682881355286
2,512,failed_threshold,10,12,0.84765625,0.624183177947998
2,512,failed_threshold,10,13,0.83984375,0.6579055190086365
2,512,failed_threshold,10,14,0.835156261920929,0.6443254947662354
2,512,failed_threshold,10,15,0.83203125,0.6858621835708618
2,512,failed_threshold,10,16,0.840624988079071,0.7015985250473022
2,512,failed_threshold,10,17,0.835156261920929,0.7368605732917786
2,512,failed_threshold,10,18,0.842968761920929,0.6965211629867554
2,512,failed_threshold,10,19,0.8453124761581421,0.7273813486099243
2,512,failed_threshold,10,20,0.83984375,0.7531661987304688
4,1024,failed_threshold,1,1,0.9140625,0.5032998323440552
4,1024,failed_threshold,1,2,0.9140625,0.392861008644104
4,1024,failed_threshold,1,3,0.90625,0.44670069217681885
4,1024,failed_threshold,1,4,0.90625,0.4509987235069275
4,1024,failed_threshold,1,5,0.90625,0.457507848739624
4,1024,failed_threshold,1,6,0.9375,0.35571151971817017
4,1024,failed_threshold,1,7,0.9140625,0.3579856753349304
4,1024,failed_threshold,1,8,0.8984375,0.36891162395477295
4,1024,failed_threshold,1,9,0.921875,0.3638996481895447
4,1024,failed_threshold,1,10,0.875,0.37213334441185
4,1024,failed_threshold,1,11,0.90625,0.38037538528442383
4,1024,failed_threshold,1,12,0.8828125,0.36655232310295105
4,1024,failed_threshold,1,13,0.890625,0.36134228110313416
4,1024,failed_threshold,1,14,0.8984375,0.36982038617134094
4,1024,failed_threshold,1,15,0.9140625,0.3187144696712494
4,1024,failed_threshold,1,16,0.9296875,0.2961850166320801
4,1024,failed_threshold,1,17,0.890625,0.3241250216960907
4,1024,failed_threshold,1,18,0.890625,0.383491575717926
4,1024,failed_threshold,1,19,0.890625,0.34270599484443665
4,1024,failed_threshold,1,20,0.921875,0.327370822429657
4,1024,failed_threshold,2,1,0.8984375,0.4773752987384796
4,1024,failed_threshold,2,2,0.90234375,0.4941146969795227
4,1024,failed_threshold,2,3,0.87109375,0.5026686787605286
4,1024,failed_threshold,2,4,0.890625,0.43049314618110657
4,1024,failed_threshold,2,5,0.87890625,0.44687598943710327
4,1024,failed_threshold,2,6,0.88671875,0.43813788890838623
4,1024,failed_threshold,2,7,0.88671875,0.4325656592845917
4,1024,failed_threshold,2,8,0.87890625,0.4059988558292389
4,1024,failed_threshold,2,9,0.88671875,0.4043145775794983
4,1024,failed_threshold,2,10,0.87890625,0.4241833984851837
4,1024,failed_threshold,2,11,0.87890625,0.4324718415737152
4,1024,failed_threshold,2,12,0.890625,0.41187283396720886
4,1024,failed_threshold,2,13,0.859375,0.47078937292099
4,1024,failed_threshold,2,14,0.84765625,0.42942577600479126
4,1024,failed_threshold,2,15,0.8671875,0.39103344082832336
4,1024,failed_threshold,2,16,0.87890625,0.40588200092315674
4,1024,failed_threshold,2,17,0.8828125,0.4112109839916229
4,1024,failed_threshold,2,18,0.88671875,0.3787745237350464
4,1024,failed_threshold,2,19,0.8671875,0.4384373128414154
4,1024,failed_threshold,2,20,0.8828125,0.4041838049888611
4,1024,failed_threshold,3,1,0.8645833134651184,0.5538855791091919
4,1024,failed_threshold,3,2,0.8984375,0.4494820535182953
4,1024,failed_threshold,3,3,0.9010416865348816,0.41501548886299133
4,1024,failed_threshold,3,4,0.8984375,0.4213658273220062
4,1024,failed_threshold,3,5,0.890625,0.41509780287742615
