arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,feature_storage,peak_resident_feature_rows,temporary_feature_cache_bytes,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,12,2,7,4411658,0.9593098759651184,0.17470650374889374,16384,8192,8192,4,2.3291156105697155,0.0,0.1114677395671606,0.2555215600878,1.9621263109147549,,,,98304,32768,65536,65536,16,1024,512,32768,3072,6144,3072
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,13,3,7,4411658,0.9573317170143127,0.18274912238121033,16384,8192,8192,4,2.3552914429455996,0.0,0.1400654874742031,0.3191827815026045,1.896043173968792,,,,114688,49152,65536,65536,24,1024,512,32768,3328,9984,3328
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,14,3,7,4411658,0.9573102593421936,0.17786245048046112,16384,8192,8192,4,2.3479492384940386,0.0,0.12106339447200298,0.30158782936632633,1.9252980146557093,,,,114688,49152,65536,65536,24,1024,512,32768,3584,10752,3584
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,15,4,7,4411658,0.9513021111488342,0.20412853360176086,16384,8192,8192,4,2.420219235122204,0.0,0.14774478413164616,0.34296139888465405,1.9295130521059036,,,,131072,65536,65536,65536,32,1024,512,32768,3840,15360,3840
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,16,1,7,4411658,0.95458984375,0.19910751283168793,16384,8192,8192,4,2.24244081415236,0.0,0.15844104439020157,0.21128796599805355,1.8727118037641048,,,,81920,16384,65536,65536,8,1024,512,32768,4096,4096,4096
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,17,2,7,4411658,0.9545036554336548,0.20517154037952423,16384,8192,8192,4,2.2652714159339666,0.0,0.18393397890031338,0.2534885536879301,1.8278488833457232,,,,98304,32768,65536,65536,16,1024,512,32768,4352,8704,4352
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,18,2,7,4411658,0.9537760615348816,0.1928844302892685,16384,8192,8192,4,2.3399022109806538,0.0,0.16870595328509808,0.2562514040619135,1.9149448536336422,,,,98304,32768,65536,65536,16,1024,512,32768,4608,9216,4608
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,19,3,7,4411658,0.9504523277282715,0.21562804281711578,16384,8192,8192,4,2.3692826218903065,0.0,0.18128320388495922,0.2952218744903803,1.892777543514967,,,,114688,49152,65536,65536,24,1024,512,32768,4864,14592,4864
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,20,2,7,4411658,0.9546874761581421,0.17631368339061737,16384,8192,8192,4,2.3758239094167948,0.0,0.19110138900578022,0.2541460935026407,1.9305764269083738,,,,98304,32768,65536,65536,16,1024,512,32768,5120,10240,5120
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,21,3,7,4411658,0.9536830186843872,0.18194226920604706,16384,8192,8192,4,2.4097568094730377,0.0,0.20206203497946262,0.299193874001503,1.908500900492072,,,,114688,49152,65536,65536,24,1024,512,32768,5376,16128,5376
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,22,3,7,4411658,0.9522371888160706,0.18926429748535156,16384,8192,8192,4,2.4365359116345644,0.0,0.2083074003458023,0.28532659634947777,1.9429019149392843,,,,114688,49152,65536,65536,24,1024,512,32768,5632,16896,5632
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,23,4,7,4411658,0.9519361257553101,0.20002874732017517,16384,8192,8192,4,2.4547035843133926,0.0,0.24524100124835968,0.3273942917585373,1.8820682913064957,,,,131072,65536,65536,65536,32,1024,512,32768,5888,23552,5888
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,24,2,7,4411658,0.9557291865348816,0.18683035671710968,16384,8192,8192,4,2.322493001818657,0.0,0.25749387592077255,0.24292991124093533,1.822069214656949,,,,98304,32768,65536,65536,16,1024,512,32768,6144,12288,6144
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,25,3,7,4411658,0.9534375071525574,0.18894854187965393,16384,8192,8192,4,2.388865202665329,0.0,0.2753732483834028,0.2836688179522753,1.8298231363296509,,,,114688,49152,65536,65536,24,1024,512,32768,6400,19200,6400
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,26,3,7,4411658,0.9535757303237915,0.19149866700172424,16384,8192,8192,4,2.3791792653501034,0.0,0.26136461086571217,0.284245353192091,1.8335693012923002,,,,114688,49152,65536,65536,24,1024,512,32768,6656,19968,6656
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,27,4,7,4411658,0.9489293694496155,0.20946846902370453,16384,8192,8192,4,2.423099434003234,0.0,0.2610819451510906,0.3237933423370123,1.838224146515131,,,,131072,65536,65536,65536,32,1024,512,32768,6912,27648,6912
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,28,3,7,4411658,0.9520089030265808,0.2088170051574707,16384,8192,8192,4,2.43125724978745,0.0,0.2904062084853649,0.27723650075495243,1.8636145405471325,,,,114688,49152,65536,65536,24,1024,512,32768,7168,21504,7168
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,29,4,7,4411658,0.9516433477401733,0.208358496427536,16384,8192,8192,4,2.5065383445471525,0.0,0.29602467082440853,0.3258963208645582,1.8846173528581858,,,,131072,65536,65536,65536,32,1024,512,32768,7424,29696,7424
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,30,4,7,4411658,0.9506510496139526,0.2265436053276062,16384,8192,8192,4,2.5218023285269737,0.0,0.3006908744573593,0.3286326937377453,1.8924787603318691,,,,131072,65536,65536,65536,32,1024,512,32768,7680,30720,7680
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,31,5,7,4411658,0.9432963728904724,0.2533974349498749,16384,8192,8192,4,2.6619131211191416,0.0,0.32793671637773514,0.37711332738399506,1.9568630773574114,,,,147456,81920,65536,65536,40,1024,512,32768,7936,39680,7936
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,32,1,7,4411658,0.9530029296875,0.18631774187088013,16384,8192,8192,4,2.3983015436679125,0.0,0.3716673534363508,0.190778199583292,1.8358559906482697,,,,81920,16384,65536,65536,8,1024,512,32768,8192,8192,8192
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,33,2,7,4411658,0.9540719985961914,0.1818227916955948,16384,8192,8192,4,2.4445556048303843,0.0,0.3623308204114437,0.23084896802902222,1.8513758163899183,,,,98304,32768,65536,65536,16,1024,512,32768,8448,16896,8448
