arm,policy,max_nodes_per_level,run_seed,training_sample_multiplier,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
reference_model_8192_samples,one_node_per_level,1,0,32,88,4,2457600,2457600,38400,38400
reference_model_8192_samples,one_node_per_level,1,0,32,89,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,90,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,91,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,92,3,1146880,1146880,17920,17920
reference_model_8192_samples,one_node_per_level,1,0,32,93,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,94,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,95,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,96,6,10321920,10321920,161280,161280
reference_model_8192_samples,one_node_per_level,1,0,32,97,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,98,2,491520,491520,7680,7680
reference_model_8192_samples,one_node_per_level,1,0,32,99,1,163840,163840,2560,2560
reference_model_8192_samples,one_node_per_level,1,0,32,100,3,1146880,1146880,17920,17920
