condition,mean_accuracy,mean_nll,seed_accuracies,stage
Macro-token transformer (selected),73.35738493495136,1.0952705812021541,73.761889;72.745162;73.565103,31
v6 final-CLS behavior MLP,71.15994315075982,1.3089067461817228,71.367662;70.941292;71.170876,31
Raw union,65.46408658576583,,,31
True-node oracle (diagnostic),80.61659560511643,,,31
Macro-token transformer (selected),75.9375,1.0947107158766853,77.166667;75.458333;75.187500,50
v6 final-CLS behavior MLP,73.50694444444444,1.2368361981709797,73.645833;73.166667;73.708333,50
Raw union,69.625,,,50
True-node oracle (diagnostic),78.47916666666667,,,50
