local_e2_lora_incremental_accuracy,macro_mean_accuracy,macro_minus_joint_iid,macro_minus_true_node_oracle,macro_seed_accuracies,owner_end_to_end_accuracy,owner_end_to_end_routed_accuracy,owner_probe_accuracy,owner_probe_routed_accuracy,published_e2_lora_incremental_accuracy,raw_union_accuracy,stage,stage_matched_joint_iid_accuracy,true_node_oracle_accuracy,v6_control_mean_accuracy,v6_control_seed_accuracies
,75.12229210342419,-5.17120832000721,-8.577917540181687,"[74.73794549266248, 75.05241090146751, 75.57651991614256]",81.02725366876311,72.95597484276729,74.16142557651992,65.06813417190776,,68.63207547169812,31,80.2935004234314,83.70020964360587,72.99965059399021,"[72.92976939203355, 73.08700209643605, 72.98218029350105]"
82.99520000000003,77.8888888888889,-0.9777776665157631,-3.22777777777776,"[79.16666666666667, 76.83333333333333, 77.66666666666667]",86.6,74.3,84.45,72.06666666666666,83.96,72.8,50,78.86666655540466,81.11666666666666,75.82777777777778,"[75.83333333333333, 75.88333333333334, 75.76666666666667]"
