adapter_file_bytes,adapter_parameter_count,adapter_to_base_parameter_fraction,allocator_peak_bytes,alpha,final_training_loss,job_sha256,optimizer_updates,rank,reused_canonical_artifact,runtime_seconds,scale,tensor_file_sha256
598552,147456,0.007484115743928901,8262476359,4.0,1.539896845817566,e1cd06c4e4d0fc6428d1da525540ea718164fdfabf07bb38e0227aa487fed8d2,15024,4,False,3916.0621703136712,1.0,52603974b4f2db67e31493e4695fb5ac6cf98073e70f4207d05103a31cc14bbe
1188432,294912,0.014968231487857801,6914335488,8.0,1.5438721179962158,cd4605c8240b459058c5a916ac6747edfd7712e99fcfd3710bd80cad1470a3cb,15024,8,True,1574.4023732282221,1.0,370c5fdca2e342f8ba50b4697682bf8cd49060754d5e5cc90fb95bb2af3fcf0e
2368256,589824,0.029936462975715603,8299555171,16.0,1.5456337928771973,ad43bbaaac037048cb45b0ac5ebbe3a91ececf878140b9488266b48e27fee75f,15024,16,False,3912.8090919014066,1.0,16900deb37c8efc006ced705504e657aa5b221ce14c291e35bb9e71da1a8a1b2
4727600,1179648,0.059872925951431205,8350677351,32.0,1.5471090078353882,0ae274fde6b2dce11a9572b83d518c539e3053de4b0fa12f99278cb5c3de9009,15024,32,False,3930.3065688684583,1.0,b5bf214034e9096d2f6fd1085d68e9f349e8ba3ad67f367ec6cc4c7341677ba3
