condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
full_model,Joint-IID full model,,4440,1.3990263666690541,0.6186393857594504,,476035,1.4520438381394685
rank_4,Joint-IID LoRA rank 4,4,4440,1.5538799196148028,0.6121188568067474,,476035,1.590483893487647
rank_8,Joint-IID LoRA rank 8,8,4440,1.5543224381528797,0.6113437037192644,,476035,1.5908767830666046
rank_16,Joint-IID LoRA rank 16,16,4440,1.5592008624684186,0.6107240013864527,,476035,1.5956105683465345
rank_32,Joint-IID LoRA rank 32,32,4440,1.5697896100313087,0.6080246200384426,,476035,1.6059722725048156
