backward_transfer,best_story_mean_nll,final_forgetting,final_stage,final_story_mean_nll,first_evaluated_stage,first_story_mean_nll,method,order,task_id,worst_forgetting
0.0,1.6048625515800976,0.0,192,1.6048625515800976,72,1.6048625515800976,base,blocked,bicycle,0.0
0.0,1.7240843312145868,0.0,192,1.7240843312145868,24,1.7240843312145868,base,blocked,boat,0.0
0.0,1.5464053043815191,0.0,192,1.5464053043815191,32,1.5464053043815191,base,blocked,brother,0.0
0.0,1.859241611173836,0.0,192,1.859241611173836,192,1.859241611173836,base,blocked,bus,0.0
0.0,1.554766704090425,0.0,192,1.554766704090425,112,1.554766704090425,base,blocked,cow,0.0
0.0,1.7423912320669364,0.0,192,1.7423912320669364,168,1.7423912320669364,base,blocked,dragon,0.0
0.0,1.470287359237089,0.0,192,1.470287359237089,48,1.470287359237089,base,blocked,duck,0.0
0.0,1.5104704018711608,0.0,192,1.5104704018711608,152,1.5104704018711608,base,blocked,elephant,0.0
0.0,1.774398590162077,0.0,192,1.774398590162077,96,1.774398590162077,base,blocked,fairy,0.0
0.0,1.807399733870337,0.0,192,1.807399733870337,80,1.807399733870337,base,blocked,grandma,0.0
0.0,1.5334033774227696,0.0,192,1.5334033774227696,184,1.5334033774227696,base,blocked,horse,0.0
0.0,1.7383042489762925,0.0,192,1.7383042489762925,88,1.7383042489762925,base,blocked,lion,0.0
0.0,1.4603773328362861,0.0,192,1.4603773328362861,128,1.4603773328362861,base,blocked,monkey,0.0
0.0,1.5681111191538926,0.0,192,1.5681111191538926,8,1.5681111191538926,base,blocked,mouse,0.0
0.0,1.5944502812194352,0.0,192,1.5944502812194352,160,1.5944502812194352,base,blocked,neighbor,0.0
0.0,1.9735935034703833,0.0,192,1.9735935034703833,40,1.9735935034703833,base,blocked,parent,0.0
0.0,1.508625959699853,0.0,192,1.508625959699853,64,1.508625959699853,base,blocked,pet,0.0
0.0,1.7492415784668711,0.0,192,1.7492415784668711,144,1.7492415784668711,base,blocked,plane,0.0
0.0,1.7532519157718076,0.0,192,1.7532519157718076,136,1.7532519157718076,base,blocked,princess,0.0
0.0,1.578107030274406,0.0,192,1.578107030274406,176,1.578107030274406,base,blocked,queen,0.0
0.0,1.6711864763961828,0.0,192,1.6711864763961828,16,1.6711864763961828,base,blocked,rabbit,0.0
0.0,1.4434778862404802,0.0,192,1.4434778862404802,56,1.4434778862404802,base,blocked,sister,0.0
0.0,1.7906141760059076,0.0,192,1.7906141760059076,104,1.7906141760059076,base,blocked,train,0.0
0.0,1.5136834581354492,0.0,192,1.5136834581354492,120,1.5136834581354492,base,blocked,wheel,0.0
0.010265227926169018,1.5670427391563,0.0061902762690373425,192,1.5732330154253373,72,1.5834982433515064,log_t,blocked,bicycle,0.01645550419520636
0.00891273999316966,1.6545012404523647,0.00864702261625605,192,1.6631482630686207,24,1.6720610030617904,log_t,blocked,boat,0.01755976260942571
0.002922685189483909,1.5234121940402667,0.0018902926208732573,192,1.52530248666114,32,1.528225171850624,log_t,blocked,brother,0.007979551668641838
0.0,1.4211943406914112,0.0,192,1.4211943406914112,192,1.4211943406914112,log_t,blocked,bus,0.0
0.0036381738569502,1.3198249482761848,0.012769035701730713,192,1.3325939839779155,112,1.3362321578348657,log_t,blocked,cow,0.016407209558680913
-0.0006011920940742765,1.5784688800628457,0.0006011920940742765,192,1.57907007215692,168,1.5784688800628457,log_t,blocked,dragon,0.009845403378150763
0.015269627570133615,1.3834967285028439,0.0,192,1.3834967285028439,48,1.3987663560729775,log_t,blocked,duck,0.015269627570133615
0.0010413734567291666,1.4804078092004682,0.003102857904561551,192,1.4835106671050298,152,1.484552040561759,log_t,blocked,elephant,0.012617722847539037
-0.03179226914008848,1.699092679331153,0.03179226914008848,192,1.7308849484712414,96,1.699092679331153,log_t,blocked,fairy,0.033514319811958515
0.009993860598421556,1.7165019381894644,0.008150720646180387,192,1.7246526588356448,80,1.7346465194340663,log_t,blocked,grandma,0.018144581244601943
0.02083062292851401,1.4953835378408886,0.0,192,1.4953835378408886,184,1.5162141607694026,log_t,blocked,horse,0.02083062292851401
0.00644579252832389,1.6649770682770568,0.01327327476859752,192,1.6782503430456543,88,1.6846961355739782,log_t,blocked,lion,0.01971906729692141
0.006057372612327416,1.4330063057567972,0.0029587435882172386,192,1.4359650493450145,128,1.4420224219573419,log_t,blocked,monkey,0.009016116200544655
0.0012950088831544804,1.5294920869247746,0.005144122975287546,192,1.534636209900062,8,1.5359312187832166,log_t,blocked,mouse,0.008955129679563578
0.0004620436413658169,1.5690069189705327,0.011288591901360778,192,1.5802955108718935,160,1.5807575545132593,log_t,blocked,neighbor,0.011750635542726595
-0.009741639620829412,1.935069616047723,0.009741639620829412,192,1.9448112556685524,40,1.935069616047723,log_t,blocked,parent,0.012791231988807494
0.015783762221151854,1.479110567059933,0.001505575612423593,192,1.4806161426723565,64,1.4963999048935084,log_t,blocked,pet,0.017289337833575447
0.015438790915271339,1.695676395142258,0.0,192,1.695676395142258,144,1.7111151860575293,log_t,blocked,plane,0.015438790915271339
0.016968675946200884,1.7272712487208974,0.0010201119730552932,192,1.7282913606939527,136,1.7452600366401536,log_t,blocked,princess,0.017988787919256177
0.008397250244207344,1.5319741236941682,0.0055869694080354915,192,1.5375610931022037,176,1.545958343346411,log_t,blocked,queen,0.013984219652242835
0.023056111096200205,1.6362169851287607,0.0015520432287239316,192,1.6377690283574846,16,1.6608251394536848,log_t,blocked,rabbit,0.024608154324924136
0.003367893494626406,1.4073069092692454,0.0022979198649026866,192,1.409604829134148,56,1.4129727226287745,log_t,blocked,sister,0.011555869457093193
0.009604794930460514,1.6971746491377273,0.008029741945950741,192,1.705204391083678,104,1.7148091860141386,log_t,blocked,train,0.017634536876411255
