delta,end_arrival,kind,left_signed_increment,level,order,parent_chunk_id,right_signed_increment,start_arrival
0.006545829938661514,32,validation,-0.011622844819099743,5,blocked,116b1af399226f3c0c389482e8f8c8667039d37aec2fa26df0a65ed44f8cf07a,0.006545829938661514,1
0.011452906610022628,18,source,0.011096979046872901,1,blocked,119e168156453ff6af14f0bc88ec64303cf20f60f456accd7483897d1b3ff3f1,0.011452906610022628,17
0.017509829490742757,18,validation,-0.00114134271094124,1,blocked,119e168156453ff6af14f0bc88ec64303cf20f60f456accd7483897d1b3ff3f1,0.017509829490742757,17
0.05228175267867507,144,source,0.04362073068441854,4,blocked,12b728f5f213b4553849ff2b9e35a3ffbc6f2a3560419983acc6854197e75de9,0.05228175267867507,129
0.006843409051507709,144,validation,0.006843409051507709,4,blocked,12b728f5f213b4553849ff2b9e35a3ffbc6f2a3560419983acc6854197e75de9,-0.012326614826001947,129
0.014863318033460082,48,source,0.014863318033460082,1,blocked,13a51ec0dca3dfd6d1370d97e01786d34dd557c7aef386af091b45600cb3416d,0.01426644279937661,47
-0.005837624117454254,48,validation,-0.005837624117454254,1,blocked,13a51ec0dca3dfd6d1370d97e01786d34dd557c7aef386af091b45600cb3416d,-0.01097720817682224,47
0.017259119152265745,136,source,0.0036159931931860623,1,blocked,179527c1eb41226187af6b67c5e6926cab7ce7e0f23acf338cb21615bf281911,0.017259119152265745,135
-0.003017631583691171,136,validation,-0.003017631583691171,1,blocked,179527c1eb41226187af6b67c5e6926cab7ce7e0f23acf338cb21615bf281911,-0.005149968906247525,135
0.025787840968418702,72,source,0.0103438734847271,2,blocked,17a95ec09eadc517eaec96171d190aac935f23918e96bdb5489661114306122e,0.025787840968418702,69
-0.00033329074195198594,72,validation,-0.005170772703412707,2,blocked,17a95ec09eadc517eaec96171d190aac935f23918e96bdb5489661114306122e,-0.00033329074195198594,69
0.029775014493447414,64,source,0.029775014493447414,6,blocked,1996a238627d20463748d60e1348eb40137f9df32e2c44d8c8528c733870efd4,0.02352850599790463,1
0.0036988554520405877,64,validation,0.0036988554520405877,6,blocked,1996a238627d20463748d60e1348eb40137f9df32e2c44d8c8528c733870efd4,0.0022879029114627526,1
0.033238903106871796,8,source,0.033238903106871796,3,blocked,19a1290627892581d8c213666004253f09dfb3d619bb1ff1018689005b88d3c2,0.029823303877677988,1
-0.008072098355249802,8,validation,-0.010357231329130911,3,blocked,19a1290627892581d8c213666004253f09dfb3d619bb1ff1018689005b88d3c2,-0.008072098355249802,1
0.02686465326664114,128,source,0.02686465326664114,2,blocked,19a7e51debebba1d1ecd2f98150d732128ecaafda16da775e9d828b5d56aa49d,0.023951294792693797,125
0.003343179476805513,128,validation,0.003343179476805513,2,blocked,19a7e51debebba1d1ecd2f98150d732128ecaafda16da775e9d828b5d56aa49d,-0.003682235626887298,125
0.02931558997021111,46,source,0.015649889800102512,1,blocked,1a4b858fd015d1a493dd1ebbcb97d92777b653c17e92b8a9eb88e3a3df358730,0.02931558997021111,45
