active_adapter_bytes,active_adapter_count,address_candidate_count_including_base,amortized_optimizer_updates_per_arrival,archived_adapter_bytes,archived_adapter_count,arrival,carry_depth,cumulative_insertion_runtime_seconds,cumulative_optimizer_updates,insertion_optimizer_updates,insertion_runtime_seconds,order,source_shard_id,task_id
7130592,6,7,296.125,68929056,58,32,0,532.1454270109534,9476,92,4.900968987494707,blocked,ff3a06fb75320e601364dacc6ed79cdc13355e1685b916f9f7c4a29a4cd10751,brother
7130592,6,7,294.90909090909093,71305920,60,33,1,545.3832665830851,9732,256,13.237839572131634,blocked,b1f072fad7325163c60d3bab940005b9533ebeea7dda791ea5cf4fea6a5a9f9e,parent
8319024,7,8,288.5882352941176,72494352,61,34,0,549.4788794610649,9812,80,4.095612877979875,blocked,f4e00c83bb73fbedbe45ecef75138be83c62588207b56e7cf8be6af468bfb445,parent
7130592,6,7,297.14285714285717,76059648,64,35,2,580.2465124744922,10400,588,30.767633013427258,blocked,971c6a5a1ad5f2e6fda4deaa03250fd9006b114f4c3d738a78103b1d539a46a6,parent
8319024,7,8,291.0,77248080,65,36,0,584.1511133536696,10476,76,3.904600879177451,blocked,399653f2a6d3086ccb74b16e7b30493ad0d713ea02d630e1f21ead77f3b46fa3,parent
8319024,7,8,289.4054054054054,79624944,67,37,1,596.0649590212852,10708,232,11.913845667615533,blocked,59019a352d940690cc1276014715099c43930d81bb12904634411d9438809d3b,parent
9507456,8,9,283.89473684210526,80813376,68,38,0,600.1424599196762,10788,80,4.077500898391008,blocked,43994d7f8c77938da03be3c8eaede79b4deac886939c4c8daed28af8cb2f19f8,parent
7130592,6,7,308.71794871794873,85567104,72,39,3,667.3889926094562,12040,1252,67.24653268978,blocked,1e970eefd752345b4b8b743486c3fc71e8674b0947e8e3d78abc02f973ce47d0,parent
8319024,7,8,303.0,86755536,73,40,0,671.5187015123665,12120,80,4.129708902910352,blocked,b07fc2883d8d32a57e50c8e9aa4d0bf6131f1f2087d1ac939259103189710641,parent
8319024,7,8,301.3658536585366,89132400,75,41,1,683.663464365527,12356,236,12.1447628531605,blocked,96730c04bee16369eb526892c507d1e5037571d77b454787df30226cb158f496,duck
9507456,8,9,296.0952380952381,90320832,76,42,0,687.7662831582129,12436,80,4.102818792685866,blocked,fb792f1af51d72a468e19f865e5e4b3dbe28a2118497b7e7fa7d34cf97b198d8,duck
8319024,7,8,301.95348837209303,93886128,79,43,2,716.1004192959517,12984,548,28.334136137738824,blocked,1d818e4ff523495aff34c6cb021d1b20fdcd33be370e0ce2865bbd12fbd9ce3b,duck
9507456,8,9,297.0,95074560,80,44,0,720.3349952250719,13068,84,4.234575929120183,blocked,0f906056d22148128f65942384c6868f895a2f486aee7c528657675a244bd860,duck
9507456,8,9,295.73333333333335,97451424,82,45,1,732.6465620212257,13308,240,12.311566796153784,blocked,4d659666b9576b6abf94c9813da1f9f05151d9044dc6e8ec027a5cf3d0f4277b,duck
10695888,9,10,290.95652173913044,98639856,83,46,0,736.5389405563474,13384,76,3.8923785351216793,blocked,e34e91f8d5847efc57b956f75a65613d6cfeb0bd1438c3c4ad44bc63033eaf6a,duck
7130592,6,7,336.8510638297872,104582016,88,47,4,872.9606408979744,15832,2448,136.421700341627,blocked,65060cfdde547e2d4acd26c1068abfb043c7527b724bc44135a64360f211ecc0,duck
8319024,7,8,331.4166666666667,105770448,89,48,0,876.8242039307952,15908,76,3.863563032820821,blocked,1001945b14f5e2232490cd712ddc51fd43e64e9252d1eaf61a10c75accaf718d,duck
8319024,7,8,329.38775510204084,108147312,91,49,1,888.7571857403964,16140,232,11.932981809601188,blocked,62b89b53d27eff2dde3b335533dc7a30154c2df78ba85742f2b3a94d8fc3c74b,sister
9507456,8,9,324.48,109335744,92,50,0,893.098750250414,16224,84,4.341564510017633,blocked,82b82b4fb0dd3b284af53437a0576eafe5977451d5f4cc6890222038b595afea,sister
