address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,token_count,token_mean_nll
1.0,404,macro,,0.0,,,base,37141,,1.5681111191538926,blocked,8,404,1.5681111191538926,0.6285002781678014,37747,1.5945090503507182
0.2623762376237624,2020,macro,,0.06385794074016651,1.6065972683453325,0.02481141952004763,log_t,185705,0.8663366336633663,1.4720732780430514,blocked,8,404,1.5359312187832166,0.6278379738787189,37747,1.5677016476755898
0.5321782178217822,808,macro,,0.0352098451920056,,,sequential_lora,74282,,1.5020154560242616,blocked,8,404,1.537225301216266,0.622089172649482,37747,1.5722366384276618
1.0,817,macro,,0.0,,,base,74868,,1.620216532300852,blocked,16,817,1.620216532300852,0.6174294687323425,76101,1.645084382106051
0.22888616891064872,4902,macro,,0.05999193178645242,1.7891283528457511,0.048609933844394757,log_t,449208,0.7429620563035496,1.5361174038934202,blocked,16,817,1.5961093356798723,0.6150773314411112,76101,1.625902831619421
0.4357405140758874,1634,macro,,0.04260265164555425,,,sequential_lora,149736,,1.575675601874112,blocked,16,817,1.6182782535196658,0.6087305028843247,76101,1.6500523433777912
1.0,1160,macro,,0.0,,,base,106421,,1.650929165945172,blocked,24,1160,1.650929165945172,0.6146286897597323,108171,1.6736793526166436
0.31896551724137934,8120,macro,,0.05166270272678583,1.9400756483447963,0.06796538315970323,log_t,744947,0.7879310344827586,1.5634207398021518,blocked,24,1160,1.6150834425289375,0.6139723216019081,108171,1.6437281353511066
0.2827586206896552,2320,macro,,0.07140808129682341,,,sequential_lora,212842,,1.6240254547214057,blocked,24,1160,1.6954335360182293,0.5982564643018924,108171,1.7241468247039258
1.0,1489,macro,,0.0,,,base,146081,,1.6278342361570983,blocked,32,1489,1.6278342361570983,0.6131200366730035,148338,1.6451059934677255
0.4177300201477502,10423,macro,,0.04741302167631622,1.9404225672067934,0.12173132255143011,log_t,1022567,0.8455339153794493,1.5430292233306777,blocked,32,1489,1.5904422450069944,0.6129177958446251,148338,1.6151680230369483
0.251846877098724,2978,macro,,0.06528460894200656,,,sequential_lora,292162,,1.6049512433075517,blocked,32,1489,1.6702358522495584,0.5985789211125943,148338,1.691510824408887
1.0,1776,macro,,0.0,,,base,178438,,1.6837086222600894,blocked,40,1776,1.6837086222600894,0.6012764101516566,181133,1.7014066839364508
0.41103603603603606,14208,macro,,0.05151242679607676,2.0742103101702423,0.12175230188546954,log_t,1427504,0.8040540540540541,1.5961794703115435,blocked,40,1776,1.64769189710762,0.6015138047732881,181133,1.6718906717289148
0.21114864864864866,3552,macro,,0.07979120965824711,,,sequential_lora,356876,,1.6664219564519074,blocked,40,1776,1.7462131661101543,0.583074315558181,181133,1.762997111094509
1.0,2048,macro,,0.0,,,base,205982,,1.6553636107648473,blocked,48,2048,1.6553636107648473,0.6046201305689074,209085,1.6798300297926159
0.40478515625,16384,macro,,0.05016208118247398,2.0735727648134343,0.10802539787255228,log_t,1647856,0.79296875,1.5636059634044848,blocked,48,2048,1.6137680445869589,0.6057823373269244,209085,1.6442534760856178
0.205078125,4096,macro,,0.08140718161535271,,,sequential_lora,411964,,1.6349587987841354,blocked,48,2048,1.716365980399488,0.5879140062653945,209085,1.744120488684617
1.0,2325,macro,,0.0,,,base,237105,,1.630119591111837,blocked,56,2325,1.630119591111837,0.607374405692057,240616,1.6528841032975967
0.38408602150537635,20925,macro,,0.05186047900555851,2.1915782769521077,0.11841482447039696,log_t,2133945,0.7561290322580645,1.536385100058349,blocked,56,2325,1.5882455790639072,0.6081598896166506,240616,1.6183816925616175
0.2670967741935484,4650,macro,,0.06894609634080884,,,sequential_lora,474210,,1.6059090711396065,blocked,56,2325,1.6748551674804149,0.5931068590617415,240616,1.7013767765122185
1.0,2587,macro,,0.0,,,base,269313,,1.6178152496236498,blocked,64,2587,1.6178152496236498,0.6077211372353819,273224,1.6407695082190676
0.42133745651333593,20696,macro,,0.05118255293229747,2.073563200698472,0.11520575640696469,log_t,2154504,0.7653652879783533,1.5279631678070786,blocked,64,2587,1.5791457207393755,0.609148537463766,273224,1.6083427224505353
0.1615771163509857,5174,macro,,0.07630909017963661,,,sequential_lora,538626,,1.6057853356181415,blocked,64,2587,1.6820944257977781,0.5935386349661816,273224,1.705322509493042
1.0,2759,macro,,0.0,,,base,288233,,1.617007759930467,blocked,72,2759,1.617007759930467,0.6078009575923392,292400,1.6415965799116892
0.3979702790866256,24831,macro,,0.05157185719993648,2.1915585950648886,0.1180274913755177,log_t,2594097,0.7600579920260964,1.526876997743044,blocked,72,2759,1.5784488549429807,0.6092681258549931,292400,1.6089345117942742
0.19246103660746647,5518,macro,,0.07439987813041801,,,sequential_lora,576466,,1.6044758459333428,blocked,72,2759,1.678875724063761,0.5919186046511627,292400,1.7078371651497162
1.0,2928,macro,,0.0,,,base,310532,,1.6279969141640185,blocked,80,2928,1.6279969141640185,0.6051624783706127,314965,1.6546743831119328
