accuracy,evaluation_seconds,image_presentations,last_minibatch_training_loss,optimizer_steps,peak_vram_bytes,reused_source_model,stage,test_examples,train_examples,training_seconds
94.91525292396545,0.6497753914445639,2375,0.1015644520521164,40,4143111680,False,1,118,475,6.857791546732187
88.70967626571655,0.8703635800629854,4945,0.3318396210670471,80,4143136768,False,2,248,989,10.86786257661879
86.04061007499695,1.0953590907156467,7875,0.7269846796989441,125,4143194624,False,3,394,1575,15.308720514178276
85.61403751373291,1.1626132633537054,11395,0.8120191097259521,180,4143219712,False,4,570,2279,20.091236690059304
84.097421169281,1.1333934869617224,13975,0.4514451026916504,220,4143244800,False,5,698,2795,24.347267163917422
84.35207605361938,1.3732607141137123,16385,0.7092518210411072,260,4143269888,False,6,818,3277,28.07911811955273
83.4941029548645,1.4100378677248955,18690,0.2259705811738968,295,4143294976,False,7,933,3738,31.56959551386535
84.80300307273865,1.777692312374711,21365,0.6659538149833679,335,4143320064,False,8,1066,4273,35.116376746445894
83.66666436195374,1.5993804577738047,24010,0.08202934265136719,380,4143345152,False,9,1200,4802,39.51856745779514
82.58594870567322,1.6395679153501987,26745,0.9346274137496948,420,4143370240,False,10,1338,5349,43.39195272512734
82.68428444862366,1.7216480616480112,28720,0.6234222650527954,450,4143395328,False,11,1438,5744,46.31965976022184
81.78893327713013,1.9159007277339697,31025,0.838129997253418,485,4143420416,False,12,1554,6205,49.51456359773874
82.68887400627136,1.8886935263872147,33580,0.5947315096855164,525,4143445504,False,13,1681,6716,53.06998783163726
82.23938345909119,2.1061867587268353,36210,0.20182892680168152,570,4143470592,False,14,1813,7242,56.880565026775
81.64852261543274,2.1235454361885786,38535,0.4420238137245178,605,4143495680,False,15,1929,7707,60.48129279538989
82.39573240280151,2.1702196914702654,41180,1.0346341133117676,645,4143520768,False,16,2062,8236,64.2783048376441
81.1700165271759,2.3636456709355116,43670,1.0387262105941772,685,4143546368,False,17,2188,8734,68.28034013137221
81.69136643409729,2.389273911714554,45785,0.3000123202800751,720,4143571456,False,18,2294,9157,72.2456449624151
81.98086023330688,2.459040639922023,47950,0.8335134983062744,750,4143596544,False,19,2403,9590,74.5017861444503
80.91054558753967,2.56061883084476,49980,0.7508309483528137,785,4143621632,False,20,2504,9996,77.60843987949193
82.02416896820068,2.5792745780199766,52875,1.3309069871902466,830,4143646720,False,21,2648,10575,81.50206172093749
81.71965479850769,2.7759635783731937,55275,1.017435908317566,865,4143671808,False,22,2768,11055,85.61742690950632
81.80242776870728,2.825633192434907,57615,0.0267155971378088,905,4143696896,False,23,2885,11523,88.81756975315511
80.9491753578186,3.044751610606909,59335,0.6911146640777588,930,4143721984,False,24,2971,11867,91.44223830848932
80.63241243362427,2.8577511068433523,60630,0.9261142611503601,950,4143747072,False,25,3036,12126,93.07170157507062
80.43684959411621,3.049538576975465,63095,0.9758384227752686,990,4143772160,False,26,3159,12619,97.24079676158726
80.25672435760498,3.0922530591487885,65345,0.7961626648902893,1025,4143797248,False,27,3272,13069,100.23693118803203
79.9051582813263,3.2168802358210087,67365,0.910647988319397,1055,4143822336,False,28,3374,13473,103.60999157652259
79.75917458534241,3.325484985485673,69645,0.7459767460823059,1090,4143847424,False,29,3488,13929,106.53223455697298
80.49702644348145,3.3907996974885464,73925,0.006591796875,1160,4143872512,False,30,3702,14785,112.8237010538578
80.2935004234314,3.5550560764968395,76215,0.7721296548843384,1195,4143897600,False,31,3816,15243,116.1536130644381
80.27558326721191,3.6388135459274054,78255,0.8289691209793091,1225,4143922688,False,32,3919,15651,119.55654499866068
80.14888167381287,3.7164314221590757,80470,0.7133747339248657,1260,4143949312,False,33,4030,16094,122.11992674507201
80.2195131778717,3.771636340767145,81880,0.7043320536613464,1280,4143974400,False,34,4100,16376,124.57996667176485
80.00471591949463,3.815913425758481,84695,1.050328254699707,1325,4143999488,False,35,4241,16939,128.5000163950026
79.74971532821655,3.990037551149726,87790,0.7468681931495667,1375,4144024576,False,36,4395,17558,133.281729510054
79.96485233306885,4.2724585216492414,90950,0.6018374562263489,1425,4144049664,False,37,4552,18190,137.83551143668592
80.02129793167114,4.221231155097485,93825,0.722378671169281,1470,4144074752,False,38,4695,18765,143.30235488526523
79.87107634544373,4.350499669089913,96120,0.32714059948921204,1505,4144099840,False,39,4809,19224,151.18210585042834
80.08894324302673,4.447919923812151,98890,2.3961181640625,1550,4144124928,False,40,4947,19778,152.565605731681
79.9243152141571,4.611962091177702,100375,0.7178958654403687,1570,4144150016,False,41,5021,20075,152.9422462899238
79.98836636543274,4.544763771817088,103115,0.7177891135215759,1615,4144175104,False,42,5157,20623,156.27395252138376
79.68779802322388,4.638840347528458,105025,1.4347666501998901,1645,4144200192,False,43,5253,21005,159.21357230469584
79.72211837768555,4.631601182743907,106490,0.6973287463188171,1665,4144225280,False,44,5326,21298,161.5036907121539
79.61701154708862,4.771156549453735,108600,0.9556367993354797,1700,4144250368,False,45,5431,21720,164.52051167935133
79.63296175003052,4.797331376001239,111145,0.8527981042861938,1740,4144275456,False,46,5558,22229,167.72942730598152
79.84482645988464,4.9311233796179295,113400,1.3764244318008423,1775,4144300544,False,47,5671,22680,172.34035969898105
79.10473346710205,5.009136360138655,115690,0.5250248312950134,1810,4144325632,False,48,5786,23138,176.04833485931158
79.03226017951965,5.2795101813972,117780,1.0977234840393066,1845,4144351232,False,49,5890,23556,177.85772121697664
78.86666655540466,5.220132440328598,0,,0,0,True,50,6000,24000,0.0
