accuracy,base_head_union,cosine_union,frontier_hash,future_information_effect_pp,future_informed_joint_iid,live_nodes,local_log_probability_union,raw_union,stage,stage_matched_joint_iid,stage_matched_minus_true_node_pp,true_node_oracle
95.76271176338196,94.91525292396545,95.76271176338196,bb77e04687b2b3a9d8518b9594b8dbdb2bca9bdf29dc64b9df44d0a5531d70aa,2.5423765182495117,97.45762944221497,1,95.76271176338196,95.76271176338196,1,94.91525292396545,-0.8474588394165039,95.76271176338196
89.9193525314331,89.51612710952759,87.5,056d4aa48e089ba62501f60f43ca1a8222dd0cf5aaab4724a10a1771f966fa64,8.467745780944824,97.17742204666138,1,88.70967626571655,88.70967626571655,2,88.70967626571655,0.0,88.70967626571655
82.99492597579956,81.7258894443512,81.7258894443512,9637b79cf42b24ec27770c682c997262b58bb278acbf0d1207446e62831aa3ba,8.375632762908936,94.41624283790588,2,77.9187798500061,81.97969794273376,3,86.04061007499695,-3.299492597579956,89.3401026725769
85.9649121761322,83.68421196937561,83.50877165794373,9755f8dc1071a7ecae6f3af78d69e2716fe9efc778d6d033f74e8df69c02cc73,8.245611190795898,93.85964870452881,1,84.0350866317749,84.0350866317749,4,85.61403751373291,1.5789508819580078,84.0350866317749
80.08595705032349,73.49570393562317,74.35529828071594,cc366633b405a47bebee7aa3d51c4c2dc33c8ebb9d2531450dc63be2b9207580,9.16905403137207,93.26647520065308,2,60.45845150947571,72.20630645751953,5,84.097421169281,-1.5759289264678955,85.6733500957489
80.68459630012512,79.95110154151917,78.6063551902771,c6c36d41ca305ac2ce3a7019e04edd5e936e3072f1f135c1e6a2e9346ddb2106,7.7017128467559814,92.05378890037537,2,76.7726182937622,80.19559979438782,6,84.35207605361938,-1.711493730545044,86.06356978416443
78.77813577651978,76.3129711151123,74.70524907112122,3a3c90e9776bc420fd61746dc620fbcff334991bb2acf4f7af01f6ce76a8966a,7.931405305862427,91.42550826072693,3,69.98928189277649,76.95605754852295,7,83.4941029548645,-3.429800271987915,86.92390322685242
82.83302187919617,78.79924774169922,80.86304068565369,30a4d910f2037588e031bbc097cba5bc78416b8eaa4d3869eb5af250f774001b,6.848031282424927,91.65103435516357,1,81.80112838745117,81.80112838745117,8,84.80300307273865,3.0018746852874756,81.80112838745117
79.91666793823242,77.24999785423279,77.58333086967468,2a22eb9432b07f329c8aa82d423d40069cc0c597cb151de5345a7b0285ed4ae4,7.1666717529296875,90.83333611488342,2,64.4166648387909,79.41666841506958,9,83.66666436195374,0.7499992847442627,82.91666507720947
78.77429127693176,75.5605399608612,77.20478177070618,d90fee3c0038ba2917e1a5fd03956f88485a2b0120365489d936c81f3ca1fb1a,6.203287839889526,88.78923654556274,2,71.898353099823,78.02690863609314,10,82.58594870567322,0.44842958450317383,82.13751912117004
77.67732739448547,73.50486516952515,73.57441186904907,2f21f440c788c827b108110ca0c0e6fbc02131426a81c80151d1a9277a34bd24,5.980527400970459,88.66481184959412,3,62.795549631118774,75.45201778411865,11,82.68428444862366,0.06954073905944824,82.61474370956421
76.57657861709595,73.1016755104065,75.48262476921082,15e4239125de6c827df208153ca74e3c9e0fc8f18e68ca2fcc6e75046bb90344,6.435006856918335,88.22394013404846,2,73.48777055740356,76.0617733001709,12,81.78893327713013,-0.12869834899902344,81.91763162612915
76.68054699897766,72.75431156158447,74.65794086456299,f93425147d6e0305878331b76ee336917afabed1e8aba001cbe8d0a0ac19ffbb,5.234980583190918,87.92385458946228,3,65.43723940849304,75.7287323474884,13,82.68887400627136,-0.29744505882263184,82.986319065094
74.18643236160278,71.5388834476471,73.46938848495483,5227ddf052a950a820db65c4b6dd1d859606378dd470fc3a033140ca4b4cdda7,5.460560321807861,87.69994378089905,3,68.61555576324463,73.69001507759094,14,82.23938345909119,-1.0479867458343506,83.28737020492554
71.90253734588623,69.51788663864136,70.19180655479431,b956c654c71554ec46d11e59338da102992dd55403a528f68da3f87b0e6fb30c,5.339556932449341,86.98807954788208,4,58.683258295059204,71.53965830802917,15,81.64852261543274,-2.1772921085357666,83.8258147239685
