accuracy,stage,task
62.12121248245239,48,14
60.34482717514038,48,15
65.41353464126587,48,16
69.84127163887024,48,17
77.35849022865295,48,18
66.05504751205444,48,19
55.44554591178894,48,20
78.47222089767456,48,21
62.5,48,22
63.247865438461304,48,23
55.81395626068115,48,24
64.61538672447205,48,25
64.2276406288147,48,26
61.06194853782654,48,27
74.50980544090271,48,28
62.28070259094238,48,29
69.15887594223022,48,30
72.80701994895935,48,31
54.36893105506897,48,32
78.37837934494019,48,33
67.14285612106323,48,34
65.2482271194458,48,35
77.27272510528564,48,36
58.598726987838745,48,37
75.52447319030762,48,38
66.66666865348816,48,39
67.3913061618805,48,40
52.70270109176636,48,41
58.82353186607361,48,42
67.70833134651184,48,43
67.12328791618347,48,44
83.80952477455139,48,45
67.71653294563293,48,46
70.79645991325378,48,47
77.3913025856018,48,48
67.79661178588867,49,1
63.846153020858765,49,2
59.58904027938843,49,3
67.04545617103577,49,4
64.84375,49,5
68.33333373069763,49,6
58.2608699798584,49,7
