condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,live_nodes,examples,routed_accuracy,oracle_accuracy,oracle_gap,selection_accuracy,conditional_selection_accuracy,top2_selection_accuracy,level_recall,represented_count_recall,evaluation_seconds,candidate_adapted_forwards,routed_ci95_lower,routed_ci95_upper,existing_task_free_accuracy,gain_over_existing,oracle_gain_recovery,exact_routed_accuracy,merge_regret_to_exact
A0,I-U100,centroid,existing,1993,validation,50,8,4800,64.56249952316284,97.64583110809326,33.08333158493042,65.45833349227905,66.11905097961426,81.41666650772095,75.54166913032532,75.54166913032532,39.99833441711962,0,63.16666666666667,65.87552083333333,63.15000057220459,1.412498950958252,0.04094694718217381,,
A1,I-U100,r0,flat_full,1993,validation,50,8,4800,59.0833306312561,97.64583110809326,38.56250047683716,60.16666889190674,60.5077862739563,80.83333373069763,74.95833039283752,74.95833039283752,0.05333135463297367,0,57.64583333333333,60.479166666666664,63.15000057220459,-4.066669940948486,-0.11788873837136972,,
A2,I-U100,r1,flat_full,1993,validation,50,8,4800,58.72916579246521,97.64583110809326,38.91666531562805,59.75000262260437,60.14508008956909,80.22916913032532,74.06250238418579,74.06250238418579,0.050788501277565956,0,57.333333333333336,60.10416666666667,63.15000057220459,-4.42083477973938,-0.1281556266674039,,
A3,I-U100,r3,flat_full,1993,validation,50,8,4800,57.749998569488525,97.64583110809326,39.895832538604736,58.85416865348816,59.14230942726135,80.18749952316284,73.7291693687439,73.7291693687439,0.06293521821498871,0,56.41666666666667,59.10416666666667,63.15000057220459,-5.4000020027160645,-0.15654071575688042,,
A4,I-U100,r2,flat_full,1993,validation,50,8,4800,59.458333253860474,97.64583110809326,38.18749785423279,60.604166984558105,60.891830921173096,81.5625011920929,75.72916746139526,75.72916746139526,0.05540098063647747,0,58.04166666666667,60.791666666666664,63.15000057220459,-3.691667318344116,-0.10701778333771063,,
