architecture,activation_cache_bytes,candidate_adapted_forwards,condition,final_live_nodes,inference_parent_optimizer_steps,leaf_optimizer_steps,learned_router_bytes,learned_router_parameters,maintenance,policy_hash,response_kernel_bytes,router_optimizer_steps,router_seed
r1,294912880,0,I-U100,4,0,0,129040,32260,svd0,2646c543262c2dc783b796908c87cf30d4c3a1532fcfffe589a7a3f35c0037ea,0,386,1993
r1,294912880,0,I-U100,4,0,0,64520,16130,exact,3a2d7f54df55431f7272206494a4b7d7c007ef324f3f2c64c79945860c9b6d92,0,264,1993
r3,294912880,0,I-U100,4,0,0,129168,32292,svd5,700d92d2724929f9a4bd75a9e7f8a5b8120cad88f6f58f1ac6d311d1ebb03858,1575936,425,1993
r3,294912880,0,I-U100,4,0,0,64584,16146,exact,7a939910978086182088898accb62347c804efc62faa865550d7a61353b63168,787968,276,1993
r3,294912880,0,I-U100,4,0,0,129168,32292,u100,94d22b021caf8d14d6004ec8dd93e1ab0b21a719ee5543c8c4b37542e1f4372e,1575936,1897,1993
r3,294912880,0,I-U100,4,0,0,129168,32292,svd0,ac5b78a0afe3918298eb4ab576ea4c164545f62d68fc08eeccfc1e3b6953ebc4,1575936,413,1993
r1,294912880,0,I-U100,4,0,0,129040,32260,svd5,b0917f5783fef261a953ba8f3772b6ff6f6a970b13f44064e00b96f1ab1a0384,0,564,1993
r1,294912880,0,I-U100,4,0,0,129040,32260,u100,f104769edd920cbae131c4bee3abcd1625dfad2db76dc3bf8f642aa23d890825,0,2039,1993
