accuracy,condition,score_mode,stage,task
89.2307698726654,logt_retrain_union_r16,true_node_oracle,6,1
82.87671208381653,logt_retrain_union_r16,true_node_oracle,6,2
90.90909361839294,logt_retrain_union_r16,true_node_oracle,6,3
92.96875,logt_retrain_union_r16,true_node_oracle,6,4
90.83333611488342,logt_retrain_union_r16,true_node_oracle,6,5
78.81355881690979,logt_retrain_union_r16,centroid_router,6,0
77.69230604171753,logt_retrain_union_r16,centroid_router,6,1
70.54794430732727,logt_retrain_union_r16,centroid_router,6,2
80.68181872367859,logt_retrain_union_r16,centroid_router,6,3
64.0625,logt_retrain_union_r16,centroid_router,6,4
70.83333134651184,logt_retrain_union_r16,centroid_router,6,5
83.05084705352783,logt_retrain_union_r16,raw,7,0
73.07692170143127,logt_retrain_union_r16,raw,7,1
78.08219194412231,logt_retrain_union_r16,raw,7,2
78.40909361839294,logt_retrain_union_r16,raw,7,3
85.15625,logt_retrain_union_r16,raw,7,4
79.16666865348816,logt_retrain_union_r16,raw,7,5
65.21739363670349,logt_retrain_union_r16,raw,7,6
81.35592937469482,logt_retrain_union_r16,cosine,7,0
73.84615540504456,logt_retrain_union_r16,cosine,7,1
68.49315166473389,logt_retrain_union_r16,cosine,7,2
75.56818127632141,logt_retrain_union_r16,cosine,7,3
82.03125,logt_retrain_union_r16,cosine,7,4
82.4999988079071,logt_retrain_union_r16,cosine,7,5
72.1739113330841,logt_retrain_union_r16,cosine,7,6
76.27118825912476,logt_retrain_union_r16,affine_calibrated,7,0
62.30769157409668,logt_retrain_union_r16,affine_calibrated,7,1
64.38356041908264,logt_retrain_union_r16,affine_calibrated,7,2
59.659093618392944,logt_retrain_union_r16,affine_calibrated,7,3
80.46875,logt_retrain_union_r16,affine_calibrated,7,4
74.16666746139526,logt_retrain_union_r16,affine_calibrated,7,5
84.3478262424469,logt_retrain_union_r16,affine_calibrated,7,6
90.67796468734741,logt_retrain_union_r16,true_node_oracle,7,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,7,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,7,2
87.5,logt_retrain_union_r16,true_node_oracle,7,3
92.96875,logt_retrain_union_r16,true_node_oracle,7,4
83.33333134651184,logt_retrain_union_r16,true_node_oracle,7,5
93.04347634315491,logt_retrain_union_r16,true_node_oracle,7,6
88.13559412956238,logt_retrain_union_r16,centroid_router,7,0
78.46153974533081,logt_retrain_union_r16,centroid_router,7,1
78.08219194412231,logt_retrain_union_r16,centroid_router,7,2
83.52272510528564,logt_retrain_union_r16,centroid_router,7,3
67.1875,logt_retrain_union_r16,centroid_router,7,4
70.83333134651184,logt_retrain_union_r16,centroid_router,7,5
67.8260862827301,logt_retrain_union_r16,centroid_router,7,6
82.20338821411133,logt_retrain_union_r16,raw,8,0
72.30769395828247,logt_retrain_union_r16,raw,8,1
76.7123281955719,logt_retrain_union_r16,raw,8,2
77.84090638160706,logt_retrain_union_r16,raw,8,3
84.375,logt_retrain_union_r16,raw,8,4
76.66666507720947,logt_retrain_union_r16,raw,8,5
63.4782612323761,logt_retrain_union_r16,raw,8,6
84.21052694320679,logt_retrain_union_r16,raw,8,7
77.96609997749329,logt_retrain_union_r16,cosine,8,0
72.30769395828247,logt_retrain_union_r16,cosine,8,1
65.75342416763306,logt_retrain_union_r16,cosine,8,2
75.0,logt_retrain_union_r16,cosine,8,3
78.90625,logt_retrain_union_r16,cosine,8,4
79.16666865348816,logt_retrain_union_r16,cosine,8,5
68.6956524848938,logt_retrain_union_r16,cosine,8,6
90.2255654335022,logt_retrain_union_r16,cosine,8,7
72.88135886192322,logt_retrain_union_r16,affine_calibrated,8,0
60.769230127334595,logt_retrain_union_r16,affine_calibrated,8,1
61.64383292198181,logt_retrain_union_r16,affine_calibrated,8,2
59.659093618392944,logt_retrain_union_r16,affine_calibrated,8,3
79.6875,logt_retrain_union_r16,affine_calibrated,8,4
75.0,logt_retrain_union_r16,affine_calibrated,8,5
80.0000011920929,logt_retrain_union_r16,affine_calibrated,8,6
87.96992301940918,logt_retrain_union_r16,affine_calibrated,8,7
90.67796468734741,logt_retrain_union_r16,true_node_oracle,8,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,8,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,8,2
87.5,logt_retrain_union_r16,true_node_oracle,8,3
92.96875,logt_retrain_union_r16,true_node_oracle,8,4
83.33333134651184,logt_retrain_union_r16,true_node_oracle,8,5
93.04347634315491,logt_retrain_union_r16,true_node_oracle,8,6
96.9924807548523,logt_retrain_union_r16,true_node_oracle,8,7
87.28813529014587,logt_retrain_union_r16,centroid_router,8,0
78.46153974533081,logt_retrain_union_r16,centroid_router,8,1
76.7123281955719,logt_retrain_union_r16,centroid_router,8,2
82.95454382896423,logt_retrain_union_r16,centroid_router,8,3
67.1875,logt_retrain_union_r16,centroid_router,8,4
69.9999988079071,logt_retrain_union_r16,centroid_router,8,5
66.9565200805664,logt_retrain_union_r16,centroid_router,8,6
73.68420958518982,logt_retrain_union_r16,centroid_router,8,7
80.5084764957428,logt_retrain_union_r16,raw,9,0
72.30769395828247,logt_retrain_union_r16,raw,9,1
77.39726305007935,logt_retrain_union_r16,raw,9,2
77.27272510528564,logt_retrain_union_r16,raw,9,3
80.46875,logt_retrain_union_r16,raw,9,4
72.50000238418579,logt_retrain_union_r16,raw,9,5
67.8260862827301,logt_retrain_union_r16,raw,9,6
81.20300769805908,logt_retrain_union_r16,raw,9,7
75.3731369972229,logt_retrain_union_r16,raw,9,8
77.11864113807678,logt_retrain_union_r16,cosine,9,0
72.30769395828247,logt_retrain_union_r16,cosine,9,1
67.80821681022644,logt_retrain_union_r16,cosine,9,2
75.56818127632141,logt_retrain_union_r16,cosine,9,3
79.6875,logt_retrain_union_r16,cosine,9,4
76.66666507720947,logt_retrain_union_r16,cosine,9,5
66.9565200805664,logt_retrain_union_r16,cosine,9,6
87.96992301940918,logt_retrain_union_r16,cosine,9,7
79.10447716712952,logt_retrain_union_r16,cosine,9,8
72.03390002250671,logt_retrain_union_r16,affine_calibrated,9,0
57.692307233810425,logt_retrain_union_r16,affine_calibrated,9,1
64.38356041908264,logt_retrain_union_r16,affine_calibrated,9,2
59.659093618392944,logt_retrain_union_r16,affine_calibrated,9,3
80.46875,logt_retrain_union_r16,affine_calibrated,9,4
69.9999988079071,logt_retrain_union_r16,affine_calibrated,9,5
66.9565200805664,logt_retrain_union_r16,affine_calibrated,9,6
81.95488452911377,logt_retrain_union_r16,affine_calibrated,9,7
86.56716346740723,logt_retrain_union_r16,affine_calibrated,9,8
90.67796468734741,logt_retrain_union_r16,true_node_oracle,9,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,9,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,9,2
87.5,logt_retrain_union_r16,true_node_oracle,9,3
92.96875,logt_retrain_union_r16,true_node_oracle,9,4
83.33333134651184,logt_retrain_union_r16,true_node_oracle,9,5
88.6956512928009,logt_retrain_union_r16,true_node_oracle,9,6
94.73684430122375,logt_retrain_union_r16,true_node_oracle,9,7
91.79104566574097,logt_retrain_union_r16,true_node_oracle,9,8
84.74576473236084,logt_retrain_union_r16,centroid_router,9,0
78.46153974533081,logt_retrain_union_r16,centroid_router,9,1
76.7123281955719,logt_retrain_union_r16,centroid_router,9,2
82.95454382896423,logt_retrain_union_r16,centroid_router,9,3
67.1875,logt_retrain_union_r16,centroid_router,9,4
69.16666626930237,logt_retrain_union_r16,centroid_router,9,5
66.08695387840271,logt_retrain_union_r16,centroid_router,9,6
76.69172883033752,logt_retrain_union_r16,centroid_router,9,7
65.67164063453674,logt_retrain_union_r16,centroid_router,9,8
79.6610176563263,logt_retrain_union_r16,raw,10,0
71.53846025466919,logt_retrain_union_r16,raw,10,1
76.7123281955719,logt_retrain_union_r16,raw,10,2
76.13636255264282,logt_retrain_union_r16,raw,10,3
79.6875,logt_retrain_union_r16,raw,10,4
71.66666388511658,logt_retrain_union_r16,raw,10,5
66.08695387840271,logt_retrain_union_r16,raw,10,6
80.45112490653992,logt_retrain_union_r16,raw,10,7
67.91045069694519,logt_retrain_union_r16,raw,10,8
65.94203114509583,logt_retrain_union_r16,raw,10,9
76.27118825912476,logt_retrain_union_r16,cosine,10,0
71.53846025466919,logt_retrain_union_r16,cosine,10,1
65.06849527359009,logt_retrain_union_r16,cosine,10,2
72.72727489471436,logt_retrain_union_r16,cosine,10,3
75.78125,logt_retrain_union_r16,cosine,10,4
75.0,logt_retrain_union_r16,cosine,10,5
64.3478274345398,logt_retrain_union_r16,cosine,10,6
87.21804618835449,logt_retrain_union_r16,cosine,10,7
70.14925479888916,logt_retrain_union_r16,cosine,10,8
69.5652186870575,logt_retrain_union_r16,cosine,10,9
72.03390002250671,logt_retrain_union_r16,affine_calibrated,10,0
58.461540937423706,logt_retrain_union_r16,affine_calibrated,10,1
61.64383292198181,logt_retrain_union_r16,affine_calibrated,10,2
60.79545617103577,logt_retrain_union_r16,affine_calibrated,10,3
75.0,logt_retrain_union_r16,affine_calibrated,10,4
65.83333611488342,logt_retrain_union_r16,affine_calibrated,10,5
65.21739363670349,logt_retrain_union_r16,affine_calibrated,10,6
82.70676732063293,logt_retrain_union_r16,affine_calibrated,10,7
73.88059496879578,logt_retrain_union_r16,affine_calibrated,10,8
72.46376872062683,logt_retrain_union_r16,affine_calibrated,10,9
90.67796468734741,logt_retrain_union_r16,true_node_oracle,10,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,10,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,10,2
87.5,logt_retrain_union_r16,true_node_oracle,10,3
92.96875,logt_retrain_union_r16,true_node_oracle,10,4
83.33333134651184,logt_retrain_union_r16,true_node_oracle,10,5
88.6956512928009,logt_retrain_union_r16,true_node_oracle,10,6
94.73684430122375,logt_retrain_union_r16,true_node_oracle,10,7
91.79104566574097,logt_retrain_union_r16,true_node_oracle,10,8
93.478262424469,logt_retrain_union_r16,true_node_oracle,10,9
81.35592937469482,logt_retrain_union_r16,centroid_router,10,0
75.38461685180664,logt_retrain_union_r16,centroid_router,10,1
75.34246444702148,logt_retrain_union_r16,centroid_router,10,2
81.25,logt_retrain_union_r16,centroid_router,10,3
64.84375,logt_retrain_union_r16,centroid_router,10,4
69.16666626930237,logt_retrain_union_r16,centroid_router,10,5
64.3478274345398,logt_retrain_union_r16,centroid_router,10,6
73.68420958518982,logt_retrain_union_r16,centroid_router,10,7
57.46268630027771,logt_retrain_union_r16,centroid_router,10,8
65.94203114509583,logt_retrain_union_r16,centroid_router,10,9
80.5084764957428,logt_retrain_union_r16,raw,11,0
69.9999988079071,logt_retrain_union_r16,raw,11,1
76.7123281955719,logt_retrain_union_r16,raw,11,2
77.27272510528564,logt_retrain_union_r16,raw,11,3
78.125,logt_retrain_union_r16,raw,11,4
71.66666388511658,logt_retrain_union_r16,raw,11,5
65.21739363670349,logt_retrain_union_r16,raw,11,6
84.96240377426147,logt_retrain_union_r16,raw,11,7
72.38805890083313,logt_retrain_union_r16,raw,11,8
65.21739363670349,logt_retrain_union_r16,raw,11,9
67.00000166893005,logt_retrain_union_r16,raw,11,10
74.57627058029175,logt_retrain_union_r16,cosine,11,0
73.07692170143127,logt_retrain_union_r16,cosine,11,1
69.8630154132843,logt_retrain_union_r16,cosine,11,2
67.04545617103577,logt_retrain_union_r16,cosine,11,3
74.21875,logt_retrain_union_r16,cosine,11,4
75.83333253860474,logt_retrain_union_r16,cosine,11,5
62.6086950302124,logt_retrain_union_r16,cosine,11,6
85.71428656578064,logt_retrain_union_r16,cosine,11,7
73.13432693481445,logt_retrain_union_r16,cosine,11,8
63.04348111152649,logt_retrain_union_r16,cosine,11,9
74.00000095367432,logt_retrain_union_r16,cosine,11,10
77.11864113807678,logt_retrain_union_r16,affine_calibrated,11,0
64.61538672447205,logt_retrain_union_r16,affine_calibrated,11,1
71.91780805587769,logt_retrain_union_r16,affine_calibrated,11,2
63.06818127632141,logt_retrain_union_r16,affine_calibrated,11,3
81.25,logt_retrain_union_r16,affine_calibrated,11,4
71.66666388511658,logt_retrain_union_r16,affine_calibrated,11,5
65.21739363670349,logt_retrain_union_r16,affine_calibrated,11,6
84.96240377426147,logt_retrain_union_r16,affine_calibrated,11,7
67.91045069694519,logt_retrain_union_r16,affine_calibrated,11,8
59.42028760910034,logt_retrain_union_r16,affine_calibrated,11,9
79.00000214576721,logt_retrain_union_r16,affine_calibrated,11,10
90.67796468734741,logt_retrain_union_r16,true_node_oracle,11,0
83.84615182876587,logt_retrain_union_r16,true_node_oracle,11,1
84.93150472640991,logt_retrain_union_r16,true_node_oracle,11,2
87.5,logt_retrain_union_r16,true_node_oracle,11,3
88.28125,logt_retrain_union_r16,true_node_oracle,11,4
81.66666626930237,logt_retrain_union_r16,true_node_oracle,11,5
80.0000011920929,logt_retrain_union_r16,true_node_oracle,11,6
90.97744226455688,logt_retrain_union_r16,true_node_oracle,11,7
85.07462739944458,logt_retrain_union_r16,true_node_oracle,11,8
82.6086938381195,logt_retrain_union_r16,true_node_oracle,11,9
88.99999856948853,logt_retrain_union_r16,true_node_oracle,11,10
81.35592937469482,logt_retrain_union_r16,centroid_router,11,0
75.38461685180664,logt_retrain_union_r16,centroid_router,11,1
71.91780805587769,logt_retrain_union_r16,centroid_router,11,2
80.11363744735718,logt_retrain_union_r16,centroid_router,11,3
64.84375,logt_retrain_union_r16,centroid_router,11,4
70.83333134651184,logt_retrain_union_r16,centroid_router,11,5
65.21739363670349,logt_retrain_union_r16,centroid_router,11,6
77.44361162185669,logt_retrain_union_r16,centroid_router,11,7
67.16417670249939,logt_retrain_union_r16,centroid_router,11,8
61.594200134277344,logt_retrain_union_r16,centroid_router,11,9
75.0,logt_retrain_union_r16,centroid_router,11,10
78.81355881690979,logt_retrain_union_r16,raw,12,0
68.46153736114502,logt_retrain_union_r16,raw,12,1
76.7123281955719,logt_retrain_union_r16,raw,12,2
73.29545617103577,logt_retrain_union_r16,raw,12,3
77.34375,logt_retrain_union_r16,raw,12,4
71.66666388511658,logt_retrain_union_r16,raw,12,5
64.3478274345398,logt_retrain_union_r16,raw,12,6
83.45864415168762,logt_retrain_union_r16,raw,12,7
70.89552283287048,logt_retrain_union_r16,raw,12,8
63.04348111152649,logt_retrain_union_r16,raw,12,9
67.00000166893005,logt_retrain_union_r16,raw,12,10
63.79310488700867,logt_retrain_union_r16,raw,12,11
72.88135886192322,logt_retrain_union_r16,cosine,12,0
71.53846025466919,logt_retrain_union_r16,cosine,12,1
68.49315166473389,logt_retrain_union_r16,cosine,12,2
64.77272510528564,logt_retrain_union_r16,cosine,12,3
72.65625,logt_retrain_union_r16,cosine,12,4
74.16666746139526,logt_retrain_union_r16,cosine,12,5
62.6086950302124,logt_retrain_union_r16,cosine,12,6
83.45864415168762,logt_retrain_union_r16,cosine,12,7
70.14925479888916,logt_retrain_union_r16,cosine,12,8
58.69565010070801,logt_retrain_union_r16,cosine,12,9
73.00000190734863,logt_retrain_union_r16,cosine,12,10
68.96551847457886,logt_retrain_union_r16,cosine,12,11
74.57627058029175,logt_retrain_union_r16,affine_calibrated,12,0
61.538463830947876,logt_retrain_union_r16,affine_calibrated,12,1
69.8630154132843,logt_retrain_union_r16,affine_calibrated,12,2
61.93181872367859,logt_retrain_union_r16,affine_calibrated,12,3
77.34375,logt_retrain_union_r16,affine_calibrated,12,4
70.83333134651184,logt_retrain_union_r16,affine_calibrated,12,5
62.6086950302124,logt_retrain_union_r16,affine_calibrated,12,6
81.95488452911377,logt_retrain_union_r16,affine_calibrated,12,7
63.43283653259277,logt_retrain_union_r16,affine_calibrated,12,8
