checkpoint_rule,condition,epochs,family,fixed_epoch,fixed_image_presentations,fixed_validation_accuracy,fixed_validation_nll,historical_capacity,image_presentations,max_accuracy_epoch,max_validation_accuracy,nll_at_max_accuracy,peak_vram_bytes,selected_accuracy,selected_epoch,selected_nll,trainable_parameters,training_examples,wall_seconds
minimum_validation_nll_over_50_epochs,"Macro-token frontier, adaptive LoRAs (H=1,024)",50,macro_token,5,6955,50.737946867825514,2.2827318416106266,1024,69550,40,57.52705805182027,1.9623506995801967,5989838336,57.33027222040013,31,1.9571614977022436,18691016,1391,1311.2423525433987
minimum_validation_nll_over_50_epochs,"Macro-token frontier, adaptive LoRAs (H=2,048)",50,macro_token,5,12075,67.72712364709741,1.3816524854680678,2048,120750,25,71.5644473597901,1.256514111672436,5994294784,71.5644473597901,25,1.256514111672436,18691016,2415,1808.0430917087942
minimum_validation_nll_over_50_epochs,"Macro-token frontier, adaptive LoRAs (H=4,096)",50,macro_token,5,22315,77.79599868809446,0.9259767304017295,4096,223150,40,80.84617907510659,0.844272797441592,5994294784,80.12463102656609,12,0.8359805576603465,18691016,4463,2826.030180286616
minimum_validation_nll_over_50_epochs,"Macro-token frontier, adaptive LoRAs (H=8,192)",50,macro_token,5,42795,83.73237126926861,0.6620922576563989,8192,427950,9,84.09314529353887,0.6534067449823057,5994294784,83.60118071498852,8,0.6430226867415546,18691016,8559,5290.991977732629
minimum_validation_nll_over_50_epochs,"Macro-token frontier, adaptive LoRAs (H=11,827; full fit)",50,macro_token,5,60970,84.88028861921941,0.589672652257392,11827,609700,13,85.8642177763201,0.5709725458452294,5994294784,85.8642177763201,13,0.5709725458452294,18691016,12194,7199.384225450456
minimum_validation_nll_over_50_epochs,"Single-affine frontier, adaptive LoRAs (H=1,024)",50,single_affine,5,6955,71.36766152836995,1.3873386439357518,1024,69550,2,71.92522138406035,1.2792115091065495,5659157504,71.92522138406035,2,1.2792115091065495,7403720,1391,1360.363839128986
minimum_validation_nll_over_50_epochs,"Single-affine frontier, adaptive LoRAs (H=2,048)",50,single_affine,5,12075,72.67956707117088,1.2628654349862884,2048,120750,4,73.53230567399147,1.2553648606172425,5653019648,73.43391275828141,3,1.2058022781527211,7403720,2415,1901.6708256714046
minimum_validation_nll_over_50_epochs,"Single-affine frontier, adaptive LoRAs (H=4,096)",50,single_affine,5,22315,76.32010495244343,1.1237736355089367,4096,223150,7,76.74647425385372,1.1195587841320445,5653019648,75.99212856674319,4,1.0585682019127045,7403720,4463,2973.732457149774
minimum_validation_nll_over_50_epochs,"Single-affine frontier, adaptive LoRAs (H=8,192)",50,single_affine,5,42795,78.94391603804526,0.973694582069925,8192,427950,5,78.94391603804526,0.973694582069925,5653019648,78.94391603804526,5,0.973694582069925,7403720,8559,5106.8601490762085
minimum_validation_nll_over_50_epochs,"Single-affine frontier, adaptive LoRAs (H=11,827; full fit)",50,single_affine,5,60970,78.64873729091505,0.9560297374531417,11827,609700,15,79.89504755657593,1.0568113843117748,5648212992,79.23909478517547,3,0.8907181616883545,7403720,12194,6957.382346874103
fixed_epoch_5_primary;minimum_nll_diagnostic,"Joint IID, rank 80 (H=1,024; 5 epochs)",5,joint_iid_rank80,5,6955,48.048540505083636,2.7525575261852633,1024,6955,4,48.21252869793375,2.618070095083525,4233006592,48.21252869793375,4,2.618070095083525,6730876,1391,35.43997812084854
fixed_epoch_5_primary;minimum_nll_diagnostic,"Joint IID, rank 80 (H=2,048; 5 epochs)",5,joint_iid_rank80,5,12075,60.511643161692355,1.8930149472475286,2048,12075,5,60.511643161692355,1.8930149472475286,4233006592,59.65890455887176,3,1.816135785586719,6730876,2415,42.88825825415552
fixed_epoch_5_primary;minimum_nll_diagnostic,"Joint IID, rank 80 (H=4,096; 5 epochs)",5,joint_iid_rank80,5,22315,70.54772056411939,1.3572460035685048,4096,22315,4,70.90849458838963,1.3110629513678922,4233006592,70.90849458838963,4,1.3110629513678922,6730876,4463,59.71652618795633
fixed_epoch_5_primary;minimum_nll_diagnostic,"Joint IID, rank 80 (H=8,192; 5 epochs)",5,joint_iid_rank80,5,42795,76.81206953099377,1.0353259120702196,8192,42795,4,77.20564119383404,0.9687177708751845,4233006592,76.8448671695638,3,0.9523621055875774,6730876,8559,93.66195471771061
fixed_epoch_5_primary;minimum_nll_diagnostic,"Joint IID, rank 80 (H=11,827; full fit; 5 epochs)",5,joint_iid_rank80,5,60970,80.12463102656609,0.8339448211309596,11827,60970,4,80.35421449655625,0.8340362687703624,4235089408,80.02623811085601,3,0.7953980834650657,6730876,12194,112.31550274603069
