accuracy_gap_to_joint_at_min_nll_pp,adapt_lora,best_nll_epoch,condition,historical_capacity,image_presentations,max_accuracy_epoch,max_validation_accuracy,nll_gap_to_joint,peak_vram_bytes,simultaneous_joint_match_epoch,train_accuracy_at_best,train_nll_at_best,trainable_parameters,training_examples,validation_accuracy_at_best_nll,validation_nll_at_max_accuracy,validation_nll_minimum,wall_seconds
-20.531321744834372,True,31,"Frontier LoRA adaptation (H=1,024)",1024,69550,40,57.52705805182027,1.0146964408796941,5989838336,,100.0,0.0017033124638495044,18691016,1391,57.33027222040013,1.9623506995801967,1.9571614977022436,1311.2423525433987
-6.297146605444411,True,25,"Frontier LoRA adaptation (H=2,048)",2048,120750,25,71.5644473597901,0.31404905484988666,5994294784,,100.0,0.003145972788950918,18691016,2415,71.5644473597901,1.256514111672436,1.256514111672436,1808.0430917087942
2.2630370613315876,True,12,"Frontier LoRA adaptation (H=4,096)",4096,223150,40,80.84617907510659,-0.10648449916220293,5994294784,6,99.93278064082456,0.015570516707035503,18691016,4463,80.12463102656609,0.844272797441592,0.8359805576603465,2826.030180286616
5.739586749754011,True,8,"Frontier LoRA adaptation (H=8,192)",8192,427950,9,84.09314529353887,-0.29944237008099484,5994294784,3,99.12372940764108,0.05967713389835119,18691016,8559,83.60118071498852,0.6534067449823057,0.6430226867415546,5290.991977732629
8.002623811085599,True,13,"Frontier LoRA adaptation (H=11,827; full fit)",11827,609700,13,85.8642177763201,-0.37149251097732006,5994294784,2,99.57356076759062,0.02582929653282222,18691016,12194,85.8642177763201,0.5709725458452294,0.5709725458452294,7199.384225450456
-2.3286323384716354,False,16,"Frozen frontier, online full fit",11827,609700,20,76.4184978681535,0.054213176363215876,3072868864,,97.97441364605544,0.13351892533411017,12055496,12194,75.53296162676287,1.0062829602855508,0.9966782331857653,2604.8823083154857
