adapt_lora,condition,dense_update_change_frobenius,dense_update_relative_change,dense_update_source_frobenius,family,historical_capacity,level,node_hash,node_index,represented_task_ids
True,"Macro-token frontier, adaptive LoRAs (H=11,827; full fit)",30.50932466517849,1406.8063972718064,0.021686939101460342,macro_token,11827,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
True,"Macro-token frontier, adaptive LoRAs (H=11,827; full fit)",30.75815838461122,215.83942560642626,0.14250481948880542,macro_token,11827,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
True,"Macro-token frontier, adaptive LoRAs (H=11,827; full fit)",30.961425484780598,223.0433519203352,0.13881348723560766,macro_token,11827,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
True,"Macro-token frontier, adaptive LoRAs (H=11,827; full fit)",30.67884864758007,139.3263740534259,0.2201941222974482,macro_token,11827,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
True,"Macro-token frontier, adaptive LoRAs (H=11,827; full fit)",31.19598707410278,66.3544616021432,0.4701415145397725,macro_token,11827,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
,,5.818449287961937,268.29278492187666,0.021686939101460342,single_affine,11827,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
,,7.138367928480416,50.092115860272195,0.14250481948880542,single_affine,11827,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
,,6.872601411459091,49.50960852812701,0.13881348723560766,single_affine,11827,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
,,6.515152367481078,29.58822106377624,0.2201941222974482,single_affine,11827,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
,,6.642197389130914,14.128080979262267,0.4701415145397725,single_affine,11827,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
