condition,epoch,format,head_learning_rate,image_presentations,lora_learning_rate,optimizer_steps,previous_sha256,result_sha256,schema_version,sequence,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_examples,validation_nll,wall_seconds
"Joint IID, rank 224 (total-active match; 5 epochs)",1,imagenetr50-clean-joint-epoch-v1,0.01,12194,0.0005,191,0000000000000000000000000000000000000000000000000000000000000000,f383c993b9daffee4bb1f675c76483e39a985a36e1cc2df0588c2b452b4ddb8d,imagenetr50-clean-joint-epoch-v1,0,52.985074626865675,2.208983067862417,79.27189242374548,3049,0.8326137651572973,23.2245719935745
"Joint IID, rank 224 (total-active match; 5 epochs)",2,imagenetr50-clean-joint-epoch-v1,0.01,24388,0.0005,382,f383c993b9daffee4bb1f675c76483e39a985a36e1cc2df0588c2b452b4ddb8d,ba92410f842bc2dbf0349a68e42f9cd6b83a549c7c96a1b6841448cc2f3d3b37,imagenetr50-clean-joint-epoch-v1,1,74.10201738559948,1.0936382791928352,81.10856018366678,3049,0.7310868216640013,45.97454302944243
"Joint IID, rank 224 (total-active match; 5 epochs)",3,imagenetr50-clean-joint-epoch-v1,0.01,36582,0.0005,573,ba92410f842bc2dbf0349a68e42f9cd6b83a549c7c96a1b6841448cc2f3d3b37,a65284f36ad8240457662fe3032334de821b649e630051a0aac568e6a2beb8a8,imagenetr50-clean-joint-epoch-v1,2,78.75184516975561,0.883822718164423,81.69891767792718,3049,0.7198539082047665,68.91807777993381
"Joint IID, rank 224 (total-active match; 5 epochs)",4,imagenetr50-clean-joint-epoch-v1,0.01,48776,0.0005,764,a65284f36ad8240457662fe3032334de821b649e630051a0aac568e6a2beb8a8,aefe65403f90f7e2cf413642796fa1648b440438dceb5acefb7b77cfdf747cf0,imagenetr50-clean-joint-epoch-v1,3,81.1546662292931,0.7699065549521832,82.05969170219744,3049,0.7726538931201348,91.9170774333179
"Joint IID, rank 224 (total-active match; 5 epochs)",5,imagenetr50-clean-joint-epoch-v1,0.01,60970,0.0005,955,aefe65403f90f7e2cf413642796fa1648b440438dceb5acefb7b77cfdf747cf0,c8e6a95cd85cd9a858fb9ee43f78d78dc23729b43e02261fe67a438e99e1af95,imagenetr50-clean-joint-epoch-v1,4,82.97523372150238,0.6842105284404105,81.10856018366678,3049,0.7771629015708916,114.8816752769053
