condition,epoch,format,head_learning_rate,image_presentations,lora_learning_rate,optimizer_steps,previous_sha256,result_sha256,schema_version,sequence,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_examples,validation_nll,wall_seconds
"Joint IID, rank 80 (5 epochs)",1,imagenetr50-clean-joint-epoch-v1,0.01,12194,0.0005,191,0000000000000000000000000000000000000000000000000000000000000000,5bf8c9b16a6cb56ff17086ea255c69b369b0a90d91ac46924d15e6d6c31c0844,imagenetr50-clean-joint-epoch-v1,0,50.672461866491716,2.3264196597104467,75.99212856674319,3049,0.9977490070727114,22.976285941898823
"Joint IID, rank 80 (5 epochs)",2,imagenetr50-clean-joint-epoch-v1,0.01,24388,0.0005,382,5bf8c9b16a6cb56ff17086ea255c69b369b0a90d91ac46924d15e6d6c31c0844,233086bb6db1db8a37728b46ffbc5a31aee6de5df25585628d3d3a4a6870ec2c,imagenetr50-clean-joint-epoch-v1,1,72.59307856322782,1.1689122734606334,78.48474909806494,3049,0.8349608080079807,45.36733165755868
"Joint IID, rank 80 (5 epochs)",3,imagenetr50-clean-joint-epoch-v1,0.01,36582,0.0005,573,233086bb6db1db8a37728b46ffbc5a31aee6de5df25585628d3d3a4a6870ec2c,115f6b2d6376793f9a939bedc859383d26bb8e6409fde8a2186e0505dbfd8fc4,imagenetr50-clean-joint-epoch-v1,2,77.35771690995571,0.9350606252546093,80.02623811085601,3049,0.7953980834650657,67.62358273938298
"Joint IID, rank 80 (5 epochs)",4,imagenetr50-clean-joint-epoch-v1,0.01,48776,0.0005,764,115f6b2d6376793f9a939bedc859383d26bb8e6409fde8a2186e0505dbfd8fc4,d37e8f5f8289e75f03dccdc2fa8e746c9230acd969fc9c2913e5fb7dadd017a1,imagenetr50-clean-joint-epoch-v1,3,80.00656060357552,0.8119328594489315,80.35421449655625,3049,0.8340362687703624,89.95170955732465
"Joint IID, rank 80 (5 epochs)",5,imagenetr50-clean-joint-epoch-v1,0.01,60970,0.0005,955,d37e8f5f8289e75f03dccdc2fa8e746c9230acd969fc9c2913e5fb7dadd017a1,73d73a377a42f0a781448c028ad1c77d68112990a27596a663096f98fd751321,imagenetr50-clean-joint-epoch-v1,4,82.22076431031655,0.7234438093901854,80.12463102656609,3049,0.8339448211309596,112.31550274603069
