adapt_lora,condition,dense_update_change_frobenius,dense_update_relative_change,dense_update_source_frobenius,historical_capacity,level,node_hash,node_index,represented_task_ids
True,"Frontier LoRA adaptation (H=4,096)",17.792925214661853,37.8458924906463,0.4701415145397725,4096,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
True,"Frontier LoRA adaptation (H=8,192)",20.61488132219667,950.5666625313904,0.021686939101460342,8192,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
True,"Frontier LoRA adaptation (H=8,192)",19.923904734414585,139.81214674623496,0.14250481948880542,8192,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
True,"Frontier LoRA adaptation (H=8,192)",20.117050792636984,144.9214423847186,0.13881348723560766,8192,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
True,"Frontier LoRA adaptation (H=8,192)",20.42028912177978,92.73766669482272,0.2201941222974482,8192,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
True,"Frontier LoRA adaptation (H=8,192)",19.898514195186934,42.32452055348875,0.4701415145397725,8192,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
True,"Frontier LoRA adaptation (H=11,827; full fit)",30.50932466517849,1406.8063972718064,0.021686939101460342,11827,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
True,"Frontier LoRA adaptation (H=11,827; full fit)",30.75815838461122,215.83942560642626,0.14250481948880542,11827,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
True,"Frontier LoRA adaptation (H=11,827; full fit)",30.961425484780598,223.0433519203352,0.13881348723560766,11827,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
True,"Frontier LoRA adaptation (H=11,827; full fit)",30.67884864758007,139.3263740534259,0.2201941222974482,11827,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
True,"Frontier LoRA adaptation (H=11,827; full fit)",31.19598707410278,66.3544616021432,0.4701415145397725,11827,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
False,"Frozen frontier, online full fit",0.0,0.0,0.021686939101460342,11827,0,d8d3bcba8652c637b1fd7c599c55d34f11129ce4b790722104793b571a4f7019,0,[30]
False,"Frozen frontier, online full fit",0.0,0.0,0.14250481948880542,11827,1,9db00c78543515af0ae172ef420c7e1a0adfe5b8c34c0e7cf5d596b875bc69d8,1,"[28, 29]"
False,"Frozen frontier, online full fit",0.0,0.0,0.13881348723560766,11827,2,ecdc3a451a0e975b905027c3262494c82f716098a4c3a1c4c182badc9b03c777,2,"[24, 25, 26, 27]"
False,"Frozen frontier, online full fit",0.0,0.0,0.2201941222974482,11827,3,a6d8badf8b939ba72bc55bfc0e26b9680884d13f1cee53e172765bb8ee980b4d,3,"[16, 17, 18, 19, 20, 21, 22, 23]"
False,"Frozen frontier, online full fit",0.0,0.0,0.4701415145397725,11827,4,4386ca276b0b50e6d634de29b2fbd660bce281cd98e90ff14c8d3e71f6cc61fe,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
