condition,label,rank,story_count,story_mean_nll,token_count,token_mean_nll
trained_embedding_without_lora_rank_8,Rank-8 jointly trained embedding without its LoRA,8,4440,1.4706523295308203,476035,1.5168252294075113
trained_embedding_without_lora_rank_32,Rank-32 jointly trained embedding without its LoRA,32,4440,1.4724005381886942,476035,1.518614303242194
