condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
lora_rank_32,Projection LoRA rank 32,32,160,1.66947675404732,0.6092416776829708,lion,16642,1.7084634774236378
lora_rank_32,Projection LoRA rank 32,32,169,1.6656386241222467,0.6049743964886612,fairy,17771,1.6849561192417686
lora_rank_32,Projection LoRA rank 32,32,141,1.7173494500032007,0.6062657639718572,train,15066,1.7053059555533776
lora_rank_32,Projection LoRA rank 32,32,117,1.321372942132538,0.6409743366681165,cow,11495,1.3853821009851217
lora_rank_32,Projection LoRA rank 32,32,138,1.4019733540026755,0.6225744420488316,wheel,17161,1.460111337541374
lora_rank_32,Projection LoRA rank 32,32,115,1.443922687211507,0.6326601369506805,monkey,11537,1.481545655206821
lora_rank_32,Projection LoRA rank 32,32,82,1.733486455657147,0.5816517578531308,princess,9614,1.7270400639703225
lora_rank_32,Projection LoRA rank 32,32,94,1.7064458521922312,0.5992425713730821,plane,10298,1.6967949180099242
lora_rank_32,Projection LoRA rank 32,32,97,1.471738805402146,0.6344331917673963,elephant,9183,1.4970395606314189
lora_rank_32,Projection LoRA rank 32,32,88,1.5620784064408928,0.5959498553519769,neighbor,10370,1.6193666648266976
lora_rank_32,Projection LoRA rank 32,32,84,1.5146858702840345,0.6092002981578106,dragon,9391,1.5650035505565945
lora_rank_32,Projection LoRA rank 32,32,81,1.5346298128148081,0.6104397657904572,queen,8027,1.576966897716881
lora_rank_32,Projection LoRA rank 32,32,79,1.5137294380018398,0.6154722714611294,horse,7898,1.7269414921113586
lora_rank_32,Projection LoRA rank 32,32,67,1.4211007609450599,0.6230920356657096,bus,6617,1.4621864616897904
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,404,1.2480721669727015,0.6508861631387924,mouse,37747,1.287704479306866
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,413,1.4091947048530256,0.6225687020910465,rabbit,38354,1.4467078055686222
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,343,1.3534134205552648,0.6294356096039913,boat,32070,1.4044091937101106
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,329,1.40211503808206,0.6140861901560983,brother,40167,1.4550096948908902
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,287,1.7645164091968941,0.560481780759262,parent,32795,1.7618189590699536
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,272,1.2680545932028997,0.6418860904407556,duck,27952,1.3372760907062886
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,277,1.2811500957727906,0.6349307031175668,sister,31531,1.3339120760914003
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,262,1.4259049519456246,0.6137450932286556,pet,32608,1.4769861250823333
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,172,1.363846733080756,0.6211931581143095,bicycle,19176,1.4311869398076484
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,169,1.563206094362877,0.5845778861068026,grandma,22565,1.600487969683988
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,160,1.3505589057619123,0.6296118255017426,lion,16642,1.4267463646833605
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,169,1.389234954156733,0.6271453491643689,fairy,17771,1.426087694815823
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,141,1.3369876707342463,0.6291650073012081,train,15066,1.383538286951486
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,117,1.2596992882324423,0.6488908220965637,cow,11495,1.3212808537244694
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,138,1.311805151514891,0.6292174115727521,wheel,17161,1.3840300309255846
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,115,1.2651895854128197,0.6470486261593135,monkey,11537,1.3062777888312997
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,82,1.5214621724763384,0.5942375702101103,princess,9614,1.562553229390496
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,94,1.429193464029135,0.6173043309380463,plane,10298,1.4550140697438871
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,97,1.2613265531219915,0.6532723510835239,elephant,9183,1.289885182065485
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,88,1.4484103341818555,0.6044358727097396,neighbor,10370,1.5130813592022847
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,84,1.4434834704929638,0.6170801831540838,dragon,9391,1.4940028169794644
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,81,1.3209385368626827,0.6292512769403265,queen,8027,1.3812554801878187
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,79,1.3167828212773924,0.624335274753102,horse,7898,1.5778599861574403
lora_embedding_rank_8,Projection LoRA + tied embedding rank 8,8,67,1.3749044220807265,0.6252077980958138,bus,6617,1.4144411520852016
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,404,1.2670377046946524,0.6465414470024108,mouse,37747,1.3072160664345502
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,413,1.428802088078531,0.6194138812118684,rabbit,38354,1.4667256627725835
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,343,1.3694031582393882,0.625444340505145,boat,32070,1.4215809764689584
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,329,1.4182741925925675,0.6108497024920955,brother,40167,1.4702782124013083
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,287,1.782206903104498,0.5571276109162983,parent,32795,1.779284588973285
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,272,1.286871537310283,0.6376645678305667,duck,27952,1.356505016394868
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,277,1.2943180692024308,0.6340109733278361,sister,31531,1.3466715135635134
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,262,1.4404449442747165,0.6104943572129539,pet,32608,1.492145002831479
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,172,1.3807204443535845,0.6181163954943679,bicycle,19176,1.4477413572467364
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,169,1.5815908382915709,0.5830711278528695,grandma,22565,1.6171500534803145
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,160,1.3704879091783388,0.626547289989184,lion,16642,1.4460022744329026
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,169,1.403922487321834,0.6234314332339205,fairy,17771,1.4414400013959117
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,141,1.3514608903445058,0.6262445240939865,train,15066,1.3997135811809143
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,117,1.270604410619621,0.6457590256633319,cow,11495,1.3340511400215311
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,138,1.3261353434097365,0.6266534584231688,wheel,17161,1.3968499856745125
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,115,1.2830832544960435,0.6428880991592268,monkey,11537,1.3248258220206062
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,82,1.5381119232516116,0.5925733305596006,princess,9614,1.5786589925443404
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,94,1.4499645507831496,0.6142940376772189,plane,10298,1.4742755757232018
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,97,1.2809040419575497,0.646411847979963,elephant,9183,1.3095746065788016
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,88,1.464118974645604,0.5996142719382835,neighbor,10370,1.5290525134757031
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,84,1.4568547306499402,0.6163347886274092,dragon,9391,1.5075151636227038
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,81,1.3397557581631057,0.6251401519870438,queen,8027,1.4007212252252734
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,79,1.336682849175943,0.6221828310964801,horse,7898,1.598712576283899
lora_embedding_rank_32,Projection LoRA + tied embedding rank 32,32,67,1.3974865534389451,0.6200695179084177,bus,6617,1.4351754150344505
