adapter_parameter_count,allocator_peak_bytes,alpha,embedding_delta_max_abs,embedding_delta_mean_abs,embedding_delta_relative_frobenius,embedding_delta_rms,embedding_learning_rate,embedding_parameter_count,final_training_loss,job_sha256,lora_learning_rate,optimizer_updates,rank,runtime_seconds,tensor_file_bytes,tensor_file_sha256,total_trainable_parameter_count,trainable_to_base_parameter_fraction
294912,8632259979,8.0,0.30424991250038147,0.04092959916687205,0.34660790757025595,0.05706090576678617,5e-05,12865792,1.4225815534591675,bff431978f09de041fee68964dd1c4aa9cf7b60691132c3d8537e1ab634460e5,0.001,15024,8,4066.0946430563927,52652184,c5d0da028525e60733652fb3357d0ab9a7313fb407485a2993da995def2e367e,13160704,0.6679703234021542
1179648,8758044559,32.0,0.30211544036865234,0.040810759869167185,0.34482064248215427,0.05676667426616249,5e-05,12865792,1.4340519905090332,a358cd7eee307ff92d1c72a78bf5e77343bad73992f95403ac735c4c4db00451,0.001,15024,32,4099.481318993494,56191352,daffae372d16dce58c58855e868afecd5a60a8c3a584a558db37c618dc2ca041,14045440,0.7128750178657277
