condition,display,seeds,accuracy_mean,accuracy_sample_sd,nll_mean,nll_sample_sd,control_minus_reference_accuracy_points,control_minus_reference_nll
joint_rank16_replay_schedule_matched,"Offline joint, replay-schedule matched",3,80.82777777777778,0.31505437508351086,1.046290789201664,0.032162467545224324,0.0,0.0
joint_convergence_accuracy_selected,"Joint, validation accuracy-selected",3,79.17222222222222,0.1669442133479614,1.048973647871841,0.0201918051783801,1.6555555555555657,-0.002682858670177035
joint_convergence_five_epoch,"Joint, five epochs",3,78.97777777777777,0.2795499027868699,0.915071112170818,0.0168190356856412,1.8500000000000085,0.13121967703084592
joint_convergence_nll_selected,"Joint, validation NLL-selected",3,78.73888888888888,0.16358257627039288,0.9088922400957887,0.011429413856264755,2.088888888888903,0.13739854910587523
joint_convergence_terminal,"Joint, terminal epoch 47",3,78.90555555555555,0.10844011831079595,1.0715177726066463,0.005305556736623277,1.9222222222222314,-0.025226983404982306
uniform_h1024,"Uniform replay, H=1,024",1,80.53333333333333,,0.8591808775791642,,0.2944444444444514,0.1871099116224998
uniform_h4096_standard_rho80_unit8,"Uniform replay, matched source",1,80.91666666666667,,0.8950697641152366,,-0.08888888888888857,0.15122102508642732
