seed,first_block_updates,early_peak_batch_nll,early_peak_loss_step,early_peak_loss_batch_size,early_peak_gradient_norm,early_peak_gradient_step,block_1_fit_accuracy,block_5_fit_accuracy,block_50_fit_accuracy
1993,106,48.41209030151367,91,2,905.363037109375,76,1.123046875,77.34375,98.828125
1994,106,22.898439407348633,44,1,200.65602111816406,94,13.57421875,77.197265625,99.267578125
1995,106,122.75151824951172,95,1,1109.54638671875,78,0.5859375,2.197265625,98.974609375
