seed,work_block,optimizer_steps,training_presentations,mean_batch_size,fit_probe_accuracy,fit_probe_nll,augmented_preupdate_accuracy,augmented_preupdate_nll,training_wall_seconds,checkpoint_wall_seconds,evaluation_and_artifact_seconds,model_sha256
1993,1,106,1900,17.92452830188679,1.123046875,12.182470043159867,8.157894736842104,7.113032437625685,9.608312094584107,0.06324992887675762,6.611695511266589,0837b44cf439ddb5f5cc301d285471da6451b28f4d1619f372ff701bdc25eb2a
1993,2,272,5856,23.83132530120482,42.236328125,3.0609949134456698,15.975733063700709,5.194156644558882,15.084709135815501,0.1399848759174347,6.4638853166252375,6a1cf379cb5512df36c4c85881ed2b456743bef82c347953d083c7b30ccd6644
1993,3,503,12156,27.272727272727273,64.55078125,1.7137835534316934,45.87301587301587,2.7925056248997886,23.911229494959116,0.21030145697295666,6.492109775543213,b4cae8ddad2d1d5ed334fa8610d51764cb77d54463e5079a0b948b19a153f41d
1993,4,878,21272,24.309333333333335,73.92578125,1.172122990752684,58.358929354980255,2.0181648396887293,35.857568537816405,0.2889184504747391,6.399954952299595,63697efcdc961b1bcabdac859f13ab462999123113311dd1b710326e83e51e91
1993,5,1512,32452,17.634069400630914,77.34375,1.0208197305890643,64.62432915921288,1.665648379511398,49.563966020941734,0.5183045044541359,6.639517718926072,26d05473c8926ed43ce50b2a6a5870ae878b798eaa7494dd6bb119bcf8341249
1993,6,2495,45560,13.334689725330621,79.638671875,0.851785315180448,67.02776930119012,1.5159419402815482,65.2478094343096,0.741607990115881,6.520701337605715,c5b88fd06c6cfaa861eb111db834d872e57e271e92d82c298284f277bc5ec357
1993,7,4006,60512,9.895433487756453,81.34765625,0.7840797249422528,70.49892990904227,1.348844116815552,91.17592375352979,1.273497449234128,6.556272614747286,30cb019e684b871b7fe1201aca765e23a12b2ce1d75ad8707f126018a2280f3f
1993,8,5926,77604,8.902083333333334,85.595703125,0.5868255032469201,71.53639129417272,1.284969488135758,108.64233114011586,1.5537578407675028,6.551103588193655,0e49c21722530337f7085e09cb268554c77bf4b6191908fde1e17bdfb3c6fa73
1993,9,8366,96104,7.581967213114754,84.08203125,0.6328500608804657,73.6,1.1849356016532215,123.94616449065506,1.8406566847115755,6.479730708524585,5d75e54967349c7686eae9b65294783ed48477dca24368c7be347fa5a4bb3b18
1993,10,10625,114676,8.22133687472333,85.64453125,0.5853858075300329,75.01615334912772,1.1117074048530462,120.28705841489136,1.7901189718395472,6.7781530525535345,f18c2e22e3719b67b8dd78da0c1020174550bf79fc23ec5c863cfa4baa6ad68a
1993,11,13174,132640,7.047469595919969,86.62109375,0.5504569676877442,75.20596749053662,1.0873739501573665,134.86245855502784,1.9808147326111794,6.659978738054633,c2ca646a286d913748ef4d45df0dbda4dfb2be38361b22c9c2c6c9d9b8034371
1993,12,15616,150868,7.464373464373464,88.57421875,0.43414821764991257,76.38248847926268,1.0296620640412604,126.63704588636756,1.9992121066898108,6.532760005444288,7cb8aafaf51818cacbb871ebd9eae84c8117872170213468c5b247b3051c19e1
1993,13,18022,169296,7.659185369908562,88.134765625,0.4532024090265866,77.56131973084436,0.9616537387870518,118.89601387269795,1.8908876776695251,6.817492676898837,e59f8d490fea5388223a25dcadd59540d641380bf89dfadd1fa06bcb686af64a
