condition,seed,accuracy,nll,examples,optimizer_steps,training_presentations,model_sha256,predictions_sha256
joint_rank16_replay_schedule_matched,1993,81.18333333333334,1.0138440895835428,6000,56243,844640,81aa627cbaaa59b386e07f01d978e86e1221ed5b7a2599266b89695d503ec832,ab9d666aa80ad498162254edb0603b5cf34170b7eeacd0e49b4dea4b2637842f
joint_rank16_replay_schedule_matched,1994,80.71666666666667,1.0468669960920904,6000,56243,844640,7c871a0271c9aa3058dc7b1bf5292661118a054d09e1d5bd3b4acaa4f4a7fa01,1351290739313c5c7ab69fa31f1b97731e361be64ebc8e1f28dca9f915cf359b
joint_rank16_replay_schedule_matched,1995,80.58333333333333,1.078161281929359,6000,56243,844640,4ce666cc2b0a8d58627322c1904484220d3ac5f6cfd4427c6ee4af3fad0b6458,ab57ef897594217838cf418a06fb88e536b4eb1ffff39d5d4ed7220c9961119e
