condition,seed,score_mode,ece_15,temperature_min,temperature_max,examples,accuracy,nll,mean_true_probability,mean_top1_probability,entropy,brier
offline_seed_1993,1993,raw,0.0933212397660679,1.6734657683062386,1.6892758134640642,6000,81.18333333333332,1.013844104919067,0.7923789852847948,0.9046730669997571,0.31228801458624583,0.28199283463663233
offline_seed_1993,1993,calibrated,0.015368220460878112,1.6734657683062386,1.6892758134640642,6000,81.18333333333332,0.8206567062884229,0.7349635630161468,0.8077147435668364,0.820517033342017,0.26233765589180413
offline_seed_1994,1994,raw,0.09483154331954533,1.681383303365333,1.6960177870977973,6000,80.71666666666667,1.04686701053375,0.786790330788078,0.9019982099862119,0.32342755891838193,0.289318896163131
offline_seed_1994,1994,calibrated,0.015340543514896486,1.681383303365333,1.6960177870977973,6000,80.71666666666667,0.8464120303217151,0.7282551087971301,0.8025664417672804,0.8462857521869099,0.26936508982785357
offline_seed_1995,1995,raw,0.1009085701867361,1.7361498099281913,1.7537754349170356,6000,80.58333333333333,1.0781612948470227,0.7866328642177663,0.9067023257763547,0.3022457434657927,0.29596541284098327
offline_seed_1995,1995,calibrated,0.012657305331369183,1.7361498099281913,1.7537754349170356,6000,80.58333333333333,0.8486445085589502,0.7255065427723258,0.8023665524571468,0.8484417509016458,0.2737008662836292
srt_h4096_standard_rho80_unit8,1993,raw,0.08642336539129775,1.4120630537524084,1.4241186374274575,6000,73.96666666666667,1.2682141615131084,0.6942777242175971,0.8260900320579644,0.6144908666344855,0.372010563370246
srt_h4096_standard_rho80_unit8,1993,calibrated,0.01964649670163081,1.4120630537524084,1.4241186374274575,6000,73.96666666666667,1.1492987946902868,0.636084640045071,0.7283126643069935,1.1491444685271208,0.3599457330111194
uniform_h4096_standard_rho80_unit8,1993,raw,0.06570407929436976,1.3798949669870695,1.388704751873741,6000,80.91666666666667,0.8950697761270641,0.7762677582446027,0.8747915076824054,0.45243616022805233,0.2745312311956103
uniform_h4096_standard_rho80_unit8,1993,calibrated,0.010859377181128864,1.3798949669870695,1.388704751873741,6000,80.91666666666667,0.8201165717834991,0.7364599391291534,0.8076749636046539,0.8200021171005357,0.26428876578922245
srt_h4096_strict_rho80_unit8,1993,raw,0.09437069859838516,1.4893677556684064,1.5075160970336734,6000,75.71666666666667,1.2217310668361485,0.7208177012390747,0.8515373652650519,0.5207356565895123,0.35228093879032646
srt_h4096_strict_rho80_unit8,1993,calibrated,0.017493129851913845,1.4893677556684064,1.5075160970336734,6000,75.71666666666667,1.0739799577004625,0.6617965324585832,0.7490394098922082,1.073805107775575,0.33522733128102294
uniform_h4096_strict_rho80_unit8,1993,raw,0.06093966829210361,1.3479820709052361,1.361455732178876,6000,80.75,0.8974024078346394,0.7713510852697161,0.8684396682921036,0.48163397546984105,0.2764625519500389
uniform_h4096_strict_rho80_unit8,1993,calibrated,0.014281504831377724,1.3479820709052361,1.361455732178876,6000,80.75,0.8319332969266907,0.7340744437861889,0.8051093287551689,0.8318013258213446,0.26757908236490396
