condition,metric,kind,previous_quality,lower,upper,count
srt_h1024,clock_gap,current_review,2,256,512.0,0
srt_h1024,clock_gap,current_review,2,512,1024.0,0
srt_h1024,clock_gap,current_review,2,1024,2048.0,0
srt_h1024,clock_gap,current_review,2,2048,4096.0,0
srt_h1024,clock_gap,current_review,2,4096,8192.0,0
srt_h1024,clock_gap,current_review,2,8192,16384.0,0
srt_h1024,clock_gap,current_review,2,16384,32768.0,0
srt_h1024,clock_gap,current_review,2,32768,65536.0,0
srt_h1024,clock_gap,current_review,2,65536,131072.0,0
srt_h1024,clock_gap,current_review,2,131072,262144.0,0
srt_h1024,clock_gap,current_review,2,262144,524288.0,0
srt_h1024,clock_gap,current_review,2,524288,1048576.0,0
srt_h1024,clock_gap,current_review,2,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,2,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,2,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,2,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,2,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,2,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,2,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,2,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,2,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,2,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,2,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,2,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,2,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,2,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,2,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,2,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,2,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,2,137438953472,274877906944.0,0
srt_h1024,clock_gap,current_review,2,274877906944,549755813888.0,0
srt_h1024,clock_gap,current_review,2,549755813888,1099511627776.0,0
srt_h1024,clock_gap,current_review,2,1099511627776,,0
srt_h1024,clock_gap,current_review,3,0,1.0,0
srt_h1024,clock_gap,current_review,3,1,2.0,0
srt_h1024,clock_gap,current_review,3,2,4.0,0
srt_h1024,clock_gap,current_review,3,4,8.0,0
srt_h1024,clock_gap,current_review,3,8,16.0,1711
srt_h1024,clock_gap,current_review,3,16,32.0,892
srt_h1024,clock_gap,current_review,3,32,64.0,1112
srt_h1024,clock_gap,current_review,3,64,128.0,182
srt_h1024,clock_gap,current_review,3,128,256.0,0
srt_h1024,clock_gap,current_review,3,256,512.0,0
srt_h1024,clock_gap,current_review,3,512,1024.0,0
srt_h1024,clock_gap,current_review,3,1024,2048.0,0
srt_h1024,clock_gap,current_review,3,2048,4096.0,0
srt_h1024,clock_gap,current_review,3,4096,8192.0,0
srt_h1024,clock_gap,current_review,3,8192,16384.0,0
srt_h1024,clock_gap,current_review,3,16384,32768.0,0
srt_h1024,clock_gap,current_review,3,32768,65536.0,0
srt_h1024,clock_gap,current_review,3,65536,131072.0,0
srt_h1024,clock_gap,current_review,3,131072,262144.0,0
srt_h1024,clock_gap,current_review,3,262144,524288.0,0
srt_h1024,clock_gap,current_review,3,524288,1048576.0,0
srt_h1024,clock_gap,current_review,3,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,3,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,3,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,3,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,3,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,3,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,3,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,3,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,3,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,3,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,3,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,3,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,3,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,3,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,3,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,3,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,3,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,3,137438953472,274877906944.0,0
srt_h1024,clock_gap,current_review,3,274877906944,549755813888.0,0
srt_h1024,clock_gap,current_review,3,549755813888,1099511627776.0,0
srt_h1024,clock_gap,current_review,3,1099511627776,,0
srt_h1024,clock_gap,current_review,4,0,1.0,0
srt_h1024,clock_gap,current_review,4,1,2.0,0
srt_h1024,clock_gap,current_review,4,2,4.0,0
srt_h1024,clock_gap,current_review,4,4,8.0,0
srt_h1024,clock_gap,current_review,4,8,16.0,1518
srt_h1024,clock_gap,current_review,4,16,32.0,783
srt_h1024,clock_gap,current_review,4,32,64.0,1156
srt_h1024,clock_gap,current_review,4,64,128.0,224
srt_h1024,clock_gap,current_review,4,128,256.0,5
srt_h1024,clock_gap,current_review,4,256,512.0,0
srt_h1024,clock_gap,current_review,4,512,1024.0,0
srt_h1024,clock_gap,current_review,4,1024,2048.0,0
srt_h1024,clock_gap,current_review,4,2048,4096.0,0
srt_h1024,clock_gap,current_review,4,4096,8192.0,0
srt_h1024,clock_gap,current_review,4,8192,16384.0,0
srt_h1024,clock_gap,current_review,4,16384,32768.0,0
srt_h1024,clock_gap,current_review,4,32768,65536.0,0
srt_h1024,clock_gap,current_review,4,65536,131072.0,0
srt_h1024,clock_gap,current_review,4,131072,262144.0,0
srt_h1024,clock_gap,current_review,4,262144,524288.0,0
srt_h1024,clock_gap,current_review,4,524288,1048576.0,0
srt_h1024,clock_gap,current_review,4,1048576,2097152.0,0
srt_h1024,clock_gap,current_review,4,2097152,4194304.0,0
srt_h1024,clock_gap,current_review,4,4194304,8388608.0,0
srt_h1024,clock_gap,current_review,4,8388608,16777216.0,0
srt_h1024,clock_gap,current_review,4,16777216,33554432.0,0
srt_h1024,clock_gap,current_review,4,33554432,67108864.0,0
srt_h1024,clock_gap,current_review,4,67108864,134217728.0,0
srt_h1024,clock_gap,current_review,4,134217728,268435456.0,0
srt_h1024,clock_gap,current_review,4,268435456,536870912.0,0
srt_h1024,clock_gap,current_review,4,536870912,1073741824.0,0
srt_h1024,clock_gap,current_review,4,1073741824,2147483648.0,0
srt_h1024,clock_gap,current_review,4,2147483648,4294967296.0,0
srt_h1024,clock_gap,current_review,4,4294967296,8589934592.0,0
srt_h1024,clock_gap,current_review,4,8589934592,17179869184.0,0
srt_h1024,clock_gap,current_review,4,17179869184,34359738368.0,0
srt_h1024,clock_gap,current_review,4,34359738368,68719476736.0,0
srt_h1024,clock_gap,current_review,4,68719476736,137438953472.0,0
srt_h1024,clock_gap,current_review,4,137438953472,274877906944.0,0
srt_h1024,clock_gap,current_review,4,274877906944,549755813888.0,0
srt_h1024,clock_gap,current_review,4,549755813888,1099511627776.0,0
srt_h1024,clock_gap,current_review,4,1099511627776,,0
srt_h1024,clock_gap,current_review,5,0,1.0,0
srt_h1024,clock_gap,current_review,5,1,2.0,0
srt_h1024,clock_gap,current_review,5,2,4.0,0
srt_h1024,clock_gap,current_review,5,4,8.0,0
