job,seed,phase,epoch,lora_learning_rate,head_learning_rate,training_accuracy,training_nll,training_presentations,optimizer_steps,training_batch_wall_seconds,evaluation_wall_seconds,fit_probe_accuracy,fit_probe_nll,validation_accuracy,validation_nll,stale_epochs,rate_reductions,model_sha256,epoch_hash
development,1993,development,1,0.0005,0.01,46.776041666666664,2.6710986538728076,19200,300,53.81898202933371,15.48833005875349,78.662109375,0.8720760438773261,70.25,1.320630781036254,0,0,e125d04d0af73dd36e080c63442a4eb61663db521b397712df0d3e39538e1239,e9c9805ca417fd8beb532d4135f59bc85c88e5758ed2b28f273ebf299cacd0ac
development,1993,development,2,0.0005,0.01,68.06770833333333,1.4156071650981903,19200,300,54.19486850313842,16.45936705544591,89.111328125,0.4778714323082929,75.79166666666667,1.049793311786034,0,0,97ad0b607b1d5ef48a608cb03730b9c6e00cca34150be70ea73dc23459de7aee,01f19a77cf92f746c5edd90cd013294b333ca5330fdcae8147fb8f09372e29c5
development,1993,development,3,0.0005,0.01,73.86458333333333,1.1394446275631587,19200,300,56.382002433761954,16.03276607580483,92.626953125,0.32113999355002004,76.91666666666667,1.0087311015971732,0,0,773e265e18e61fef8e136029200988c9f3c3b82c0f6f199797b67377d7f6dd5a,7ed7880c7d32e0a7bc00e4acebd41cf8a8d4cc83de78fdcbec774ca8b3ac37bc
development,1993,development,4,0.0005,0.01,76.76041666666667,0.9908494572838148,19200,300,53.77614810504019,16.600240096449852,93.84765625,0.2455777834898918,76.54166666666667,1.0248005793825186,1,0,fb25c3e3cb9ed606d158c9c2b26b0eb25639b90db782a53a644d9841c801d661,29767aff8730b4b7e0c1aeb54b06d72989279e41a215d361d9d93623e81bdc16
development,1993,development,5,0.0005,0.01,79.54166666666667,0.8859567507108053,19200,300,58.46437438391149,16.835992010310292,95.8984375,0.17099089331887907,76.85416666666667,1.0164485906117018,2,0,6f156adb033c26874eed3263c0a64d8e35d67a5fc76b13fbe9dd6709e378a771,3bb980b3fa66da41cd0c7783ad65e4fdaaf78bd7d7fcb64ee86190e5b5ad53ff
development,1993,development,6,0.0005,0.01,80.47916666666667,0.8387672613064449,19200,300,57.77777611464262,17.076844288036227,96.826171875,0.1404878966804961,76.875,1.0359684713716484,3,0,2f9d541df1dd7d30fb5cecd65ece3c75761b7bc91d7c425d19581bd2b23dd3c8,ce578279e328c33e1be1d1c732a1a34393bef18535fa16eefbd6349062a43925
development,1993,development,7,0.0005,0.01,81.92708333333333,0.765955794552962,19200,300,58.320941092446446,16.45274079591036,97.4609375,0.12996985236447509,76.77083333333333,1.0446654585863435,4,0,98e40f6385040c75507880a04416b56ce2e93abc894dfb3ea767bf718da674f8,c21666414584c1d2d0a2de85d10f127cd2794150b045e8f5c237339ae4f1a4ba
development,1993,development,8,0.0005,0.01,83.02604166666667,0.7228172100087007,19200,300,51.30805774219334,16.721227699890733,98.095703125,0.10219070441883481,76.6875,1.0754331746419075,5,0,794a52c525e2fe9090491964936fc62cb7517bf0b5a35d0f82f0b465c3842a6a,4baba69b4379861855d36279dc7768add8b848e48db9c77dcac44141220a03cc
development,1993,development,9,0.0005,0.01,83.40625,0.7001568234463533,19200,300,55.50329155661166,15.468709420412779,97.607421875,0.09180506882279921,76.60416666666667,1.0822255973212633,6,0,688990c09f241e0eeff6aa77cab294cd58bf7a95118e72014e2029cffd0d9d42,12f3508f65082af2417d5febd55da3a62096250f59c0ade984b0d6524ec77e4c
development,1993,development,10,0.0005,0.01,84.00520833333333,0.6664405393600464,19200,300,49.29938603937626,15.553924892097712,98.046875,0.08277267813015571,76.58333333333333,1.0871331543801264,7,0,8fcb264793249d9b781bd0bdf6a3bbeac21e4bafde24259e88d63fbb9ecb31d7,06b81efe4794082f56e8fed94348c7eaa8d18940529b64027e9f192788b57a8a
