index,candidate_hash,job,phase,status,selected,historical_fraction,interval_unit,profile,thresholds,lora_learning_rate,head_learning_rate,validation_accuracy,validation_nll,mean_stage_accuracy,image_presentations,optimizer_steps,training_wall_seconds,validation_forward_images,validation_wall_seconds,committed_failed_presentations,committed_failed_optimizer_steps,failed_invocation_wall_seconds
16,c354240b26b3f11c1cef9e7efaee18cf0e353d50cb74f735f84867f0e20b9fc3,candidate_c354240b26b3f11c1cef,policy,complete,False,0.8,8,strict,"[0.2, 0.4, 0.7, 0.85, 0.95]",0.0005,0.01,71.95833333333333,1.2797744293754927,79.1928481313417,101888,1729,299.5892341826111,125486,261.38478556647897,,,
17,038ac7c74ab8406e0e11a4631c751f67213dfe0ab98e42b3c01d1caecc6d3c53,candidate_038ac7c74ab8406e0e11,policy,complete,False,0.95,1,strict,"[0.2, 0.4, 0.7, 0.85, 0.95]",0.0005,0.01,74.14583333333333,1.198521925502888,79.65174134976307,101888,1644,301.3461805600673,125486,264.3338071964681,,,
18,c6af1d2169ef16d9d5a363f67ac8cae60f473ce00285aa3196d3751e9dead46e,candidate_c6af1d2169ef16d9d5a3,policy,complete,False,0.95,8,strict,"[0.2, 0.4, 0.7, 0.85, 0.95]",0.0005,0.01,73.8125,1.1791089002173565,79.97359222906898,101888,1729,302.987055612728,125486,264.98557224683464,,,
19,19e920558d0dcdddffcea00703b787fd2ee58615b44ca79b0803dd6e68f68e88,candidate_19e920558d0dcdddffce,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.00025,0.005,71.625,1.2687723385230552,77.56928420670091,101888,1734,301.7139630783349,125486,263.6191998645663,,,
20,771304a6ff5b5020fc95f9f37d8071e27cd11cad2c9bc6bb03b15e58c812b1cc,candidate_771304a6ff5b5020fc95,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.00025,0.01,72.20833333333333,1.2394125567454395,77.7171006094601,101888,1738,301.8298492357135,125486,265.02207716181874,,,
21,3a7dea6d07a3ea7f35b0b8dda8c0ce30a7a827436ae68f5555edc785fbe2c868,candidate_3a7dea6d07a3ea7f35b0,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.00025,0.02,73.33333333333333,1.2634981588556458,78.47196578417517,101888,1723,303.9896088242531,125486,264.6866778302938,,,
22,e684559a08e537245551e5e86ead0d7fae9c44f78ff5710a530f9a809be78286,candidate_e684559a08e537245551,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.0005,0.005,74.3125,1.1652087014865347,80.13144734638261,101888,1742,309.37580125033855,125486,268.79924310557544,,,
23,8f782931ae2a959de2c30060a8ac603b59c5a1fe536a51c05d634926a040a134,candidate_8f782931ae2a959de2c3,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.0005,0.02,75.0,1.1634750538283871,80.89975209381225,101888,1774,310.26775986887515,125486,267.6691833026707,,,
24,986ef7dd044d3f5edd608209e3ce3ec5c1e86eb73f307a11968e2310282e4244,candidate_986ef7dd044d3f5edd60,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.005,75.04166666666667,1.1047393283366247,82.04297792739051,101888,1751,301.99650438316166,125486,264.22450865991414,,,
25,9bcde01afa496aa0996cc69544202ba7ee3ad39f569db95890ec1a3c184df758,candidate_9bcde01afa496aa0996c,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.01,2.4583333333333335,4.986100707759615,4.980791217741285,101888,1712,302.5869534034282,125486,264.87890956923366,,,
26,776150466ce17917012823ddd3d9d5fb6bae27e3e43cfdec4c62f9f0d0138792,candidate_776150466ce179170128,rates,complete,False,0.95,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.02,1.5416666666666667,5.275990705639124,3.036456889254506,101888,1705,305.1325054336339,125486,264.40888416208327,,,
27,4c8836a36f26bfd9b1e5d9bda7e89534fe5139d262280161693e7b330c8f13f9,candidate_4c8836a36f26bfd9b1e5,refinement,complete,False,0.95,8,relaxed_power0.8,"[0.09102821, 0.21921638, 0.38167789, 0.66453981, 0.87808213]",0.001,0.005,75.45833333333333,1.1065947337868938,81.94107080430112,101888,1743,300.2292382325977,125486,263.1986188478768,,,
28,15f67fb8bdc50d381c2dec86d98e6a6bd4eac594df9801370a0dfb03c18d88ef,candidate_15f67fb8bdc50d381c2d,refinement,complete,False,0.95,8,relaxed_power1.25,"[0.02364354, 0.09334995, 0.22202484, 0.52806704, 0.8161569]",0.001,0.005,75.41666666666667,1.0748826147771782,82.47492037482458,101888,1763,301.1286320518702,125486,263.25890028104186,,,
29,6094a600125fd03344e64ab65338cd48067446a7bb62fc80b81e9e74ae95f7e6,candidate_6094a600125fd03344e6,refinement,complete,False,0.85,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.005,75.22916666666667,1.125643379642426,81.76379837704408,101888,1749,298.3062146939337,125486,261.75737778283656,,,
30,dd6c26ad7c996707d148c69b7dc99a109194a4ed674c4554f2476cfda0e19f72,candidate_dd6c26ad7c996707d148,refinement,complete,False,1.0,8,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.005,76.0625,1.0644381883421563,82.28567292256086,101888,1751,299.9508283454925,125486,262.7167408801615,,,
31,c84fa3d51903a2cfff9746d3fb7d87e58f18853a92b2be9675d3171c2ff0836e,candidate_c84fa3d51903a2cfff97,refinement,complete,True,0.95,4,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.005,76.08333333333333,1.0788625861934367,81.90876935057268,101888,1692,299.976802367717,125486,264.0790173858404,,,
32,56734ec4fb4e61b26433006d7c6722503e50388cdc22d13c4d5f8776192b8c34,candidate_56734ec4fb4e61b26433,refinement,complete,False,0.95,16,relaxed,"[0.05, 0.15, 0.3, 0.6, 0.85]",0.001,0.005,75.85416666666667,1.0764467789743015,82.34958381655044,101888,1883,302.8615078087896,125486,262.64065426401794,,,
