job,seed,phase,epochs,optimizer_steps,training_presentations,model_forward_images,training_wall_seconds,evaluation_wall_seconds
development,1993,development,47,14100,902400,1224256,2603.614862050861,771.086256057024
seed_1993,1993,full_data_refit,47,17625,1128000,1224256,3277.9241750091314,249.17221060022712
seed_1994,1994,full_data_refit,47,17625,1128000,1224256,3121.454049028456,232.9225616492331
seed_1995,1995,full_data_refit,47,17625,1128000,1224256,3317.8546862602234,246.0437519773841
