joint_iid_minus_true_node_pp,live_nodes,persistent_logt_accuracy,stage,stage_matched_joint_iid_accuracy,true_node_minus_persistent_pp,true_node_oracle_accuracy
-0.8474588394165039,1,95.76271176338196,1,94.91525292396545,0.0,95.76271176338196
0.0,1,90.72580933570862,2,88.70967626571655,-2.0161330699920654,88.70967626571655
-3.299492597579956,2,84.01015400886536,3,86.04061007499695,5.329948663711548,89.3401026725769
0.0,1,86.49122714996338,4,85.61403751373291,-0.8771896362304688,85.61403751373291
-2.8653323650360107,2,82.3782205581665,5,84.097421169281,4.584532976150513,86.96275353431702
-2.567237615585327,2,82.39609003067017,6,84.35207605361938,4.523223638534546,86.91931366920471
-4.180067777633667,3,79.74276542663574,7,83.4941029548645,7.931405305862427,87.67417073249817
0.0,1,85.08442640304565,8,84.80300307273865,-0.28142333030700684,84.80300307273865
-1.916670799255371,2,81.49999976158142,9,83.66666436195374,4.0833353996276855,85.5833351612091
-2.0179390907287598,2,80.19431829452515,10,82.58594870567322,4.409569501876831,84.60388779640198
-2.2253096103668213,3,77.8859555721283,11,82.68428444862366,7.023638486862183,84.90959405899048
-2.445298433303833,2,78.70013117790222,12,81.78893327713013,5.534100532531738,84.23423171043396
-2.439028024673462,3,78.58417630195618,13,82.68887400627136,6.5437257289886475,85.12790203094482
-3.033643960952759,3,77.33039259910583,14,82.23938345909119,7.94263482093811,85.27302742004395
-4.043543338775635,4,74.44271445274353,15,81.64852261543274,11.249351501464844,85.69206595420837
0.0,1,81.32880926132202,16,82.39573240280151,1.0669231414794922,82.39573240280151
-2.0109713077545166,2,78.97623181343079,17,81.1700165271759,4.204756021499634,83.18098783493042
-1.7436802387237549,2,79.77331876754761,18,81.69136643409729,3.6617279052734375,83.43504667282104
-1.7061948776245117,3,77.69454717636108,19,81.98086023330688,5.9925079345703125,83.6870551109314
-2.236419916152954,2,77.9552698135376,20,80.91054558753967,5.191695690155029,83.14696550369263
-1.5483379364013672,3,75.15105605125427,21,82.02416896820068,8.421450853347778,83.57250690460205
-2.0592451095581055,3,75.28901696205139,22,81.71965479850769,8.489882946014404,83.7788999080658
-2.287691831588745,4,71.40381336212158,23,81.80242776870728,12.686306238174438,84.09011960029602
-1.952207088470459,2,75.93402862548828,24,80.9491753578186,6.967353820800781,82.90138244628906
-2.4044811725616455,3,72.62845635414124,25,80.63241243362427,10.408437252044678,83.03689360618591
-2.9439687728881836,3,72.68123030662537,26,80.43684959411621,10.699588060379028,83.3808183670044
-3.3312976360321045,4,69.4376528263092,27,80.25672435760498,14.15036916732788,83.58802199363708
-3.023117780685425,3,71.69531583786011,28,79.9051582813263,11.232960224151611,82.92827606201172
-3.440368175506592,4,67.94725060462952,29,79.75917458534241,15.252292156219482,83.199542760849
-2.9173433780670166,4,67.66612529754639,30,80.49702644348145,15.748244524002075,83.41436982154846
-3.4067094326019287,5,65.90670943260193,31,80.2935004234314,17.793500423431396,83.70020985603333
0.0,1,79.84179854393005,32,80.27558326721191,0.43378472328186035,80.27558326721191
-0.5707204341888428,2,78.1141459941864,33,80.14888167381287,2.6054561138153076,80.71960210800171
-0.2926826477050781,2,77.31707096099854,34,80.2195131778717,3.195124864578247,80.51219582557678
-0.9431719779968262,3,74.91157650947571,35,80.00471591949463,6.036311388015747,80.94788789749146
-1.501709222793579,2,75.10807514190674,36,79.74971532821655,6.1433494091033936,81.25142455101013
-1.8233716487884521,3,72.93497323989868,37,79.96485233306885,8.853250741958618,81.7882239818573
-1.9595324993133545,3,72.33226895332336,38,80.02129793167114,9.648561477661133,81.9808304309845
-2.5161147117614746,4,71.4909553527832,39,79.87107634544373,10.896235704421997,82.3871910572052
-1.0915696620941162,2,73.82251620292664,40,80.08894324302673,7.357996702194214,81.18051290512085
-1.314479112625122,3,71.57936692237854,41,79.9243152141571,9.659427404403687,81.23879432678223
-1.3379871845245361,3,70.19584774971008,42,79.98836636543274,11.130505800247192,81.32635354995728
-1.8656015396118164,4,69.29373741149902,43,79.68779802322388,12.25966215133667,81.5533995628357
-1.2767553329467773,3,70.40930986404419,44,79.72211837768555,10.589563846588135,80.99887371063232
-1.675570011138916,4,68.73503923416138,45,79.61701154708862,12.557542324066162,81.29258155822754
-1.7992079257965088,4,68.36991906166077,46,79.63296175003052,13.06225061416626,81.43216967582703
-1.7809867858886719,5,65.72033166885376,47,79.84482645988464,15.905481576919556,81.62581324577332
-1.555478572845459,2,71.13722562789917,48,79.10473346710205,9.52298641204834,80.66021203994751
-1.850593090057373,3,67.99660325050354,49,79.03226017951965,12.886250019073486,80.88285326957703
-2.249997854232788,3,69.43333148956299,50,78.86666655540466,11.683332920074463,81.11666440963745
