effective_batch_size,epoch,family,gradient_norm_mean,image_presentations,learning_rate,optimizer_steps,peak_learning_rate,role,schedule,seed,train_objective_accuracy,train_objective_nll,validation_accuracy,validation_nll,wall_seconds
64,15,macro,0.36869312382025243,182910,2.521181277207667e-05,2865,3e-05,screening,warmup_cosine,1993,99.87698868295884,0.012418300710155355,75.69694981961298,1.1239297465833924,501.92147791571915
64,16,macro,0.32541447460495365,195104,2.4467869252758838e-05,3056,3e-05,screening,warmup_cosine,1993,99.86058717402001,0.011088798842665523,75.50016398819285,1.1340381826248744,534.7039171569049
64,17,macro,0.29224514926135226,207298,2.368316759056248e-05,3247,3e-05,screening,warmup_cosine,1993,99.87698868295884,0.009551272815380875,75.53296162676287,1.1437346651421958,568.3903626799583
64,18,macro,0.2837786291048165,219492,2.2861140220693262e-05,3438,3e-05,screening,warmup_cosine,1993,99.84418566508118,0.01047638979078571,75.76254509675303,1.1367642786433243,601.3863174002618
64,19,macro,0.2432818579541139,231686,2.2005382848143616e-05,3629,3e-05,screening,warmup_cosine,1993,99.86058717402001,0.008855157364230088,75.76254509675303,1.1412866191419861,634.4878214951605
64,20,macro,0.26146784898732345,243880,2.1119638719391226e-05,3820,3e-05,screening,warmup_cosine,1993,99.82778415614237,0.007446446564621039,75.69694981961298,1.1505026462313463,667.7026825360954
64,21,macro,0.23241834574578946,256074,2.0207782248722674e-05,4011,3e-05,screening,warmup_cosine,1993,99.8523864195506,0.008124713831618904,76.1561167595933,1.1483895441632694,700.8594229277223
64,22,macro,0.20135422400076977,268268,1.9273802070804118e-05,4202,3e-05,screening,warmup_cosine,1993,99.86058717402001,0.0071148423165478866,76.18891439816333,1.1506618801278339,734.4127348810434
64,23,macro,0.1703345675157939,280462,1.8321783593630093e-05,4393,3e-05,screening,warmup_cosine,1993,99.87698868295884,0.005593407509931878,76.18891439816333,1.1441725721199734,767.5817951727659
64,24,macro,0.19440531467345998,292656,1.735589112816732e-05,4584,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.0062657881314898784,76.02492620531322,1.1511940623002195,801.2927564438432
64,25,macro,0.1630047660964634,304850,1.6380349672861747e-05,4775,3e-05,screening,warmup_cosine,1993,99.90159094636707,0.005480106822854283,76.12331912102329,1.166829098870067,834.1757233962417
64,26,macro,0.1809141476936053,317044,1.5399426432687053e-05,4966,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.005598298062726046,75.89373565103313,1.1686522176360334,867.3122643120587
64,27,macro,0.14877412895335576,329238,1.4417412153573582e-05,5157,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.004693355231044995,76.05772384388324,1.1721598999583944,899.9479219727218
64,28,macro,0.1390706746990144,341432,1.3438602353864769e-05,5348,3e-05,screening,warmup_cosine,1993,99.90979170083648,0.0043869357001924195,76.09052148245327,1.1641780919581408,933.5310355871916
64,29,macro,0.15755944978933373,353626,1.246727853489801e-05,5539,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.00516374268179079,76.02492620531322,1.1763117881867486,967.6369758099318
64,30,macro,0.1477023597358097,365820,1.1507689452898662e-05,5730,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.004873876300271816,76.32010495244343,1.1788341901309376,1001.4861885961145
64,31,macro,0.1260281340438502,378014,1.0564032534107421e-05,5921,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.00395638638291962,75.99212856674319,1.1796625261816598,1035.0213125683367
64,32,macro,0.12813145828223665,390208,9.640435514434826e-06,6112,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.003996530761283911,75.99212856674319,1.1822925954226315,1068.5285328086466
64,33,macro,0.10770332065279259,402402,8.740938383954665e-06,6303,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.0034892332246895205,76.22171203673335,1.182046488020294,1102.4222121611238
64,34,macro,0.13283956078178596,414596,7.86947571521442e-06,6494,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.003917900073405111,76.18891439816333,1.1840903287482833,1135.683246228844
64,35,macro,0.12658361869215654,426790,7.02985945266216e-06,6685,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.003963817254977284,76.35290259101345,1.1851432252297756,1169.1821541711688
64,36,macro,0.10933454550256592,438984,6.225762238472163e-06,6876,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.0031957347138467256,76.2873073138734,1.1812858356339457,1202.5289338361472
64,37,macro,0.10030597833555718,451178,5.460701347705414e-06,7067,3e-05,screening,warmup_cosine,1993,99.90159094636707,0.0027870370635091624,76.18891439816333,1.1841212942311707,1236.3956446610391
64,38,macro,0.10604975806519935,463372,4.738023303075506e-06,7258,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.0028503515866226264,76.18891439816333,1.1834199967326473,1270.182500878349
64,39,macro,0.10502823175014002,475566,4.06088923661802e-06,7449,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.0028955089727229362,76.38570022958346,1.1860052717439695,1304.1693446077406
64,40,macro,0.10206302702036828,487760,3.4322610622941696e-06,7640,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.0027293169598159427,76.18891439816333,1.187560274468832,1339.0945295598358
64,41,macro,0.10097155159739143,499954,2.8548885200124567e-06,7831,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.0026121795500069736,76.1561167595933,1.1876807608499649,1375.789239982143
64,42,macro,0.09767699292836544,512148,2.331297147740224e-06,8022,3e-05,screening,warmup_cosine,1993,99.90159094636707,0.0024585317681612723,76.2873073138734,1.1896184581582685,1413.0838603451848
64,43,macro,0.098540475426232,524342,1.8637772343173416e-06,8213,3e-05,screening,warmup_cosine,1993,99.88518943742824,0.0024406685973066217,76.35290259101345,1.1892766004783202,1450.002743665129
64,44,macro,0.09723790701849298,536536,1.454373801294651e-06,8404,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.0023805919349711704,76.35290259101345,1.1896984254230862,1487.9456205256283
64,45,macro,0.09041619235503424,548730,1.1048776576184352e-06,8595,3e-05,screening,warmup_cosine,1993,99.89339019189765,0.00218311256710889,76.38570022958346,1.190512967758704,1523.4857055116445
64,46,macro,0.09529520891587304,560924,8.168175662894446e-07,8786,3e-05,screening,warmup_cosine,1993,99.86878792848943,0.002311733182735359,76.4184978681535,1.190369958524119,1558.337667375803
64,47,macro,0.08750051928011222,573118,5.914535572610407e-07,8977,3e-05,screening,warmup_cosine,1993,99.9261932097753,0.0021192372891283904,76.45129550672351,1.1905491529585457,1594.6137052252889
64,48,macro,0.08305514719415241,585312,4.2977141582710116e-07,9168,3e-05,screening,warmup_cosine,1993,99.95899622765295,0.001992981874182202,76.38570022958346,1.190600473085518,1630.570710428059
64,49,macro,0.08959566510199564,597506,3.324783706085385e-07,9359,3e-05,screening,warmup_cosine,1993,99.90159094636707,0.0021392653882747912,76.45129550672351,1.1905619307555853,1666.409095171839
64,50,macro,0.08198510089411318,609700,3.0000000000000004e-07,9550,3e-05,screening,warmup_cosine,1993,99.94259471871412,0.0019556776957568994,76.4184978681535,1.1908780439207303,1703.8176916763186
64,1,macro,9.794426675866411,12194,3.99581589958159e-05,191,0.0001,screening,warmup_cosine,1993,18.976545842217483,4.173194608708688,51.88586421777632,2.27664378745785,37.25729604624212
64,2,macro,7.308039135957888,24388,7.99163179916318e-05,382,0.0001,screening,warmup_cosine,1993,66.82794817123175,1.4827426202144314,69.36700557559855,1.2903479478835433,75.69171856716275
64,3,macro,5.789216031578823,36582,9.99737709860362e-05,573,0.0001,screening,warmup_cosine,1993,81.31868131868131,0.765377522375186,72.74516234831093,1.1595976364421,112.0627648960799
64,4,macro,4.349478513158429,48776,9.975906399428431e-05,764,0.0001,screening,warmup_cosine,1993,91.27439724454649,0.3645068981304547,73.0075434568711,1.1638226945426042,150.47665153630078
64,5,macro,2.885984338702956,60970,9.932888843199558e-05,955,0.0001,screening,warmup_cosine,1993,96.90831556503198,0.15671689582297268,74.286651361102,1.120853617997512,187.75105698779225
64,6,macro,1.8964847987859037,73164,9.868512596938397e-05,1146,0.0001,screening,warmup_cosine,1993,98.72888305724126,0.07192232123120448,74.74581830108232,1.1503552905689813,227.53794164396822
64,7,macro,1.3246249956766347,85358,9.783059254663057e-05,1337,0.0001,screening,warmup_cosine,1993,99.31933737903887,0.043253926384619105,74.35224663824205,1.1811977698006135,266.96128337457776
64,8,macro,0.9918951406996912,97552,9.676902605642246e-05,1528,0.0001,screening,warmup_cosine,1993,99.49155322289651,0.028207205036770853,75.46736634962282,1.1744911891978542,311.80016692727804
64,9,macro,0.7223644864340727,109746,9.550506999369492e-05,1719,0.0001,screening,warmup_cosine,1993,99.60636378546826,0.02367185152259365,75.20498524106264,1.206121031203478,349.5405366308987
64,10,macro,0.5189010375886375,121940,9.404425314409624e-05,1910,0.0001,screening,warmup_cosine,1993,99.62276529440709,0.016740475450556104,76.18891439816333,1.1626291822394061,391.42378530837595
64,11,macro,0.2905247472714223,134134,9.23929654000213e-05,2101,0.0001,screening,warmup_cosine,1993,99.83598491061177,0.009463722038722653,76.91046244670383,1.1385790473635216,432.58206484280527
64,12,macro,0.18396917795908702,146328,9.055842980999991e-05,2292,0.0001,screening,warmup_cosine,1993,99.84418566508118,0.007599739299478229,77.14004591669399,1.1501873400454523,474.45691460743546
64,13,macro,0.18201806567882367,158522,8.854867098370036e-05,2483,0.0001,screening,warmup_cosine,1993,99.81138264720354,0.009409404561541912,76.94326008527386,1.1365355294272328,514.1813326925039
64,14,macro,0.15356789287959874,170716,8.63724799907515e-05,2674,0.0001,screening,warmup_cosine,1993,99.86058717402001,0.0072960898742062625,77.4352246638242,1.1328452621064604,551.9215447958559
64,15,macro,0.13289139863025612,182910,8.403937590692223e-05,2865,0.0001,screening,warmup_cosine,1993,99.88518943742824,0.00648422009127246,77.17284355526402,1.1399279325741085,591.4064411241561
64,16,macro,0.13818469688939955,195104,8.155956417586279e-05,3056,0.0001,screening,warmup_cosine,1993,99.84418566508118,0.006668702977709014,76.91046244670383,1.1726229871910647,628.7286910321563
64,17,macro,0.14115419947781177,207298,7.894389196854161e-05,3247,0.0001,screening,warmup_cosine,1993,99.83598491061177,0.006385489987881238,77.4352246638242,1.1429270277964791,664.0523728597909
64,18,macro,0.17653986515174985,219492,7.62038007356442e-05,3438,0.0001,screening,warmup_cosine,1993,99.81958340167296,0.0070325529182350245,76.68087897671367,1.1708608422759479,702.5727373287082
64,19,macro,0.25462022000504414,231686,7.335127616047872e-05,3629,0.0001,screening,warmup_cosine,1993,99.79498113826472,0.007414775147327775,75.46736634962282,1.2133894745503617,741.0578128639609
64,20,macro,0.9368515094420361,243880,7.039879573130409e-05,3820,0.0001,screening,warmup_cosine,1993,99.57356076759062,0.018708968966128846,74.58183010823221,1.2889324449718722,780.5922254398465
64,21,macro,0.6226460903258848,256074,6.735927416240891e-05,4011,0.0001,screening,warmup_cosine,1993,99.7047728391012,0.012295661831715468,75.1393899639226,1.266401490448889,822.0390807371587
64,22,macro,0.2927535150921782,268268,6.42460069026804e-05,4202,0.0001,screening,warmup_cosine,1993,99.8523864195506,0.007182624773332403,76.32010495244343,1.206512127129044,860.879765059799
64,23,macro,0.11750176518726412,280462,6.107261197876698e-05,4393,0.0001,screening,warmup_cosine,1993,99.87698868295884,0.004236361775923033,76.64808133814365,1.1990544290064045,901.0370069034398
64,24,macro,0.07994381982482072,292656,5.78529704272244e-05,4584,0.0001,screening,warmup_cosine,1993,99.90159094636707,0.004209625021011806,76.91046244670383,1.1984911950231185,939.9169770628214
64,25,macro,0.07208677626785417,304850,5.4601165576205824e-05,4775,0.0001,screening,warmup_cosine,1993,99.90159094636707,0.003676683585605055,76.87766480813382,1.2034855207954325,975.9634221959859
64,26,macro,0.08091096404491295,317044,5.1331421442290185e-05,4966,0.0001,screening,warmup_cosine,1993,99.86058717402001,0.004082155868970744,76.48409314529354,1.2133489329136955,1012.9199158661067
64,27,macro,0.06740073604187416,329238,4.805804051191194e-05,5157,0.0001,screening,warmup_cosine,1993,99.90979170083648,0.0033225538751346585,76.81206953099377,1.204476448777231,1050.2133454401046
64,28,macro,0.061929286952515705,341432,4.479534117954923e-05,5348,0.0001,screening,warmup_cosine,1993,99.90979170083648,0.0028130079422384983,76.91046244670383,1.1982274842129335,1086.3120782636106
64,29,macro,0.07137446697430773,353626,4.15575951163267e-05,5539,0.0001,screening,warmup_cosine,1993,99.86878792848943,0.003101537457172531,76.5824860610036,1.2098302456463856,1123.4561841003597
64,30,macro,0.06930605666370604,365820,3.8358964842995546e-05,5730,0.0001,screening,warmup_cosine,1993,99.87698868295884,0.0034796996196410843,76.94326008527386,1.2066684183663092,1160.0656051952392
64,31,macro,0.06182105403822598,378014,3.521344178035807e-05,5921,0.0001,screening,warmup_cosine,1993,99.88518943742824,0.0028764668284468288,76.97605772384388,1.2136181762234897,1196.6176041755825
64,32,macro,0.05909957985408331,390208,3.213478504811609e-05,6112,0.0001,screening,warmup_cosine,1993,99.91799245530589,0.0028781063716607504,77.07445063955396,1.212603709470174,1235.1126702353358
64,33,macro,0.05382601059705058,402402,2.9136461279848886e-05,6303,0.0001,screening,warmup_cosine,1993,99.88518943742824,0.0023497928160613767,77.04165300098393,1.2112789347977981,1276.6669360361993
64,34,macro,0.06534874465082484,414596,2.6231585717381402e-05,6494,0.0001,screening,warmup_cosine,1993,99.8523864195506,0.0029489923661432053,77.07445063955396,1.2148784963996264,1314.7556924615055
64,35,macro,0.0648124660584705,426790,2.34328648422072e-05,6685,0.0001,screening,warmup_cosine,1993,99.86058717402001,0.0030319550417868333,77.10724827812398,1.2141153129760303,1353.4453455079347
64,36,macro,0.05448316354475213,438984,2.075254079490721e-05,6876,0.0001,screening,warmup_cosine,1993,99.89339019189765,0.002252847987627502,77.33683174811414,1.20855503576472,1391.102405982092
64,37,macro,0.04976479879443909,451178,1.8202337825684717e-05,7067,0.0001,screening,warmup_cosine,1993,99.90159094636707,0.0019808133469266112,77.10724827812398,1.2113883524263207,1427.7203048281372
64,38,macro,0.05232841398869276,463372,1.5793411010251688e-05,7258,0.0001,screening,warmup_cosine,1993,99.86878792848943,0.0019376500035693104,77.20564119383404,1.2097664017018899,1465.4398535322398
64,39,macro,0.05268061340235525,475566,1.3536297455393398e-05,7449,0.0001,screening,warmup_cosine,1993,99.90159094636707,0.0020484138516611754,77.36962938668415,1.2115386257252954,1502.6070281639695
64,40,macro,0.04895734148958201,487760,1.1440870207647232e-05,7640,0.0001,screening,warmup_cosine,1993,99.90159094636707,0.0017600172813825965,77.00885536241391,1.2123044615458096,1543.5379607845098
64,41,macro,0.05010770094771114,499954,9.516295066708189e-06,7831,0.0001,screening,warmup_cosine,1993,99.87698868295884,0.0017473944801179155,77.07445063955396,1.2114066652252307,1581.0206607114524
64,42,macro,0.04983856010796863,512148,7.770990492467414e-06,8022,0.0001,screening,warmup_cosine,1993,99.87698868295884,0.001705209045932589,77.20564119383404,1.21427392756286,1617.8134269248694
64,43,macro,0.048210553477484125,524342,6.212590781057806e-06,8213,0.0001,screening,warmup_cosine,1993,99.90159094636707,0.0016332349465169808,77.14004591669399,1.2133921457142391,1656.4027255121619
64,44,macro,0.04994598185370496,536536,4.8479126709821705e-06,8404,0.0001,screening,warmup_cosine,1993,99.86878792848943,0.0016594924495829037,77.14004591669399,1.21395045900079,1693.5324731320143
64,45,macro,0.04532780795338617,548730,3.6829255253947844e-06,8595,0.0001,screening,warmup_cosine,1993,99.90979170083648,0.0014415427917767024,77.14004591669399,1.2148485881221143,1730.4976776596159
64,46,macro,0.047518567829417234,560924,2.7227252209648156e-06,8786,0.0001,screening,warmup_cosine,1993,99.87698868295884,0.0015349746512960014,77.17284355526402,1.214280453460183,1767.7201195601374
64,47,macro,0.04456166430200933,573118,1.9715118575368023e-06,8977,0.0001,screening,warmup_cosine,1993,99.91799245530589,0.001412831800422337,77.17284355526402,1.2142884431803331,1803.9100000075996
64,48,macro,0.04221610202824609,585312,1.4325713860903371e-06,9168,0.0001,screening,warmup_cosine,1993,99.91799245530589,0.0013024633940036166,77.07445063955396,1.214363320845782,1844.7672263383865
64,49,macro,0.04663007521723929,597506,1.1082612353617952e-06,9359,0.0001,screening,warmup_cosine,1993,99.89339019189765,0.001494684238130389,77.04165300098393,1.214263195364387,1881.773355005309
64,50,macro,0.04396092312420226,609700,1.0000000000000002e-06,9550,0.0001,screening,warmup_cosine,1993,99.91799245530589,0.0013730296917346455,77.07445063955396,1.2145236282123428,1917.929263394326
64,1,macro,8.847103633181588,12194,0.00011987447698744769,191,0.0003,screening,warmup_cosine,1993,36.15712645563392,3.178267838858338,65.59527714004592,1.4804564839153846,37.2980347648263
64,2,macro,6.00170888076902,24388,0.00023974895397489539,382,0.0003,screening,warmup_cosine,1993,75.18451697556175,1.03829821598653,71.10528041980977,1.2329298778219902,74.22664341516793
64,3,macro,4.427922193292548,36582,0.00029992131295810857,573,0.0003,screening,warmup_cosine,1993,84.33655896342464,0.5957562552723158,72.54837651689078,1.2598269716877748,110.8431567568332
64,4,macro,3.200294761757576,48776,0.0002992771919828529,764,0.0003,screening,warmup_cosine,1993,91.2005904543218,0.30380064949982283,72.02361429977041,1.3166664626489666,147.30656597018242
64,5,macro,2.2751809703429955,60970,0.0002979866652959867,955,0.0003,screening,warmup_cosine,1993,95.5223880597015,0.16535577336862398,73.10593637258117,1.2663325656629383,183.56645710393786
64,6,macro,1.7515212367654471,73164,0.00029605537790815186,1146,0.0003,screening,warmup_cosine,1993,97.0641298999508,0.1005122243761723,73.30272220400131,1.315986700861835,219.87402159534395
64,7,macro,1.4352998841378388,85358,0.00029349177763989166,1337,0.0003,screening,warmup_cosine,1993,98.21223552566836,0.0715900196957944,73.82748442112168,1.3133413578182331,256.73829772882164
64,8,macro,1.166577893284915,97552,0.00029030707816926735,1528,0.0003,screening,warmup_cosine,1993,98.72888305724126,0.05201180168541021,73.43391275828141,1.3686841462392736,293.82445288449526
64,9,macro,1.1190892139264426,109746,0.00028651520998108476,1719,0.0003,screening,warmup_cosine,1993,98.72068230277185,0.04960321781770976,72.90915054116104,1.4185934870623886,331.737389434129
64,10,macro,0.8105793291049478,121940,0.0002821327594322887,1910,0.0003,screening,warmup_cosine,1993,99.25373134328358,0.030925819106193495,74.31944899967202,1.3683082678154594,371.7694012168795
64,11,macro,0.683919345394401,134134,0.00027717889620006386,2101,0.0003,screening,warmup_cosine,1993,99.45054945054945,0.02498418390897526,74.22105608396195,1.32862424866103,409.7580348011106
64,12,macro,0.5836703836605811,146328,0.0002716752894299997,2292,0.0003,screening,warmup_cosine,1993,99.45054945054945,0.019410396367189275,75.17218760249263,1.359208534568519,448.69989237748086
64,13,macro,0.5492340817959754,158522,0.00026564601295110105,2483,0.0003,screening,warmup_cosine,1993,99.53255699524357,0.02056013867173485,74.94260413250245,1.3766163544171597,490.91173194907606
64,14,macro,0.6018994506497267,170716,0.00025911743997225444,2674,0.0003,screening,warmup_cosine,1993,99.44234869608005,0.020267216772530263,74.68022302394228,1.3805970454380214,530.4420902580023
64,15,macro,0.4941316811192332,182910,0.00025211812772076665,2865,0.0003,screening,warmup_cosine,1993,99.58176152206003,0.017863875014558668,75.27058051820269,1.3316181541935816,569.3877195250243
64,16,macro,0.1891595723097705,195104,0.00024467869252758835,3056,0.0003,screening,warmup_cosine,1993,99.77037887485649,0.008675331089444604,75.46736634962282,1.3310885631127136,606.7359721455723
64,17,macro,0.10694248770992637,207298,0.00023683167590562477,3247,0.0003,screening,warmup_cosine,1993,99.84418566508118,0.006861452393909546,75.66415218104297,1.3037120772799964,643.3055724408478
64,18,macro,0.0911921037102596,219492,0.0002286114022069326,3438,0.0003,screening,warmup_cosine,1993,99.84418566508118,0.007184460443884931,76.7136766152837,1.2913010429264717,680.991506440565
64,19,macro,0.07793767033486154,231686,0.00022005382848143613,3629,0.0003,screening,warmup_cosine,1993,99.86878792848943,0.004775598212619561,76.64808133814365,1.280487606039826,718.9577904772013
64,20,macro,0.07291874191809095,243880,0.00021119638719391224,3820,0.0003,screening,warmup_cosine,1993,99.87698868295884,0.0033898749311615135,76.38570022958346,1.302252857362141,755.4010293614119
64,21,macro,0.08147200288528976,256074,0.0002020778224872267,4011,0.0003,screening,warmup_cosine,1993,99.8523864195506,0.0061318816973651965,76.4184978681535,1.3077170677597931,793.9741350170225
64,22,macro,0.07450765508826802,268268,0.00019273802070804118,4202,0.0003,screening,warmup_cosine,1993,99.86058717402001,0.0047071192408069465,76.35290259101345,1.2899313276421636,832.2580649778247
64,23,macro,0.05812588641029924,280462,0.00018321783593630092,4393,0.0003,screening,warmup_cosine,1993,99.89339019189765,0.0032821120405580363,76.4184978681535,1.2958680512905902,869.6280245836824
64,24,macro,0.06307045124892964,292656,0.00017355891128167318,4584,0.0003,screening,warmup_cosine,1993,99.88518943742824,0.004510999605736616,76.68087897671367,1.2933711261192515,910.758906994015
64,25,macro,0.05201530879173252,304850,0.00016380349672861746,4775,0.0003,screening,warmup_cosine,1993,99.89339019189765,0.003519881049277099,76.61528369957362,1.2991345569163941,948.563821207732
64,26,macro,0.06364405397398895,317044,0.00015399426432687052,4966,0.0003,screening,warmup_cosine,1993,99.8523864195506,0.0037456577931229396,76.18891439816333,1.3091192161032081,985.9887284245342
