effective_batch_size,fit_accuracy_at_min_nll,fit_minus_validation_accuracy_at_min_nll,learning_rate,max_accuracy_epoch,max_accuracy_optimizer_steps,max_validation_accuracy,min_nll_epoch,min_nll_optimizer_steps,min_validation_nll,total_optimizer_steps,validation_accuracy_at_min_nll,validation_nll_at_max_accuracy,wall_seconds
64,98.67147777595538,24.18804058343325,3e-05,47,8977,76.45129550672351,7,1337,1.0903440396017072,9550,74.48343719252213,1.1905491529585457,1703.8176916763186
64,99.34393964244711,25.05728828134511,0.0001,14,2674,77.4352246638242,5,955,1.120853617997512,9550,74.286651361102,1.1328452621064604,1917.929263394326
64,89.888469739216,18.783189319406233,0.0003,45,8595,77.20564119383404,2,382,1.2329298778219902,9550,71.10528041980977,1.3115862567685166,1911.6411677543074
128,99.84418566508118,24.704795701158588,3e-05,25,2400,75.86093801246311,11,1056,1.0934598978404806,4800,75.1393899639226,1.1318433817271993,2079.0849121697247
128,99.47515171395769,25.54927437712594,0.0001,20,1920,76.5824860610036,5,480,1.1068314451903896,4800,73.92587733683175,1.1465362393687928,2021.7916978280991
128,99.91799245530589,22.08919612864142,0.0003,33,3168,78.09117743522467,28,2688,1.1851788962149314,4800,77.82879632666447,1.1901736573807018,2050.743037758395
512,99.8523864195506,25.270556311318387,3e-05,41,984,75.1393899639226,22,528,1.098221832355463,1200,74.58183010823221,1.107076477871523,2029.8137499224395
512,99.86878792848943,25.614934205957454,0.0001,42,1008,75.82814037389308,8,192,1.0925479061918675,1200,74.25385372253197,1.1440997800892712,1990.1482334230095
512,99.91799245530589,23.269911117162238,0.0003,22,528,76.97605772384388,14,336,1.119877019214724,1200,76.64808133814365,1.1351227527291863,1887.60890593566
