condition,final_accuracy,fragmented_frontier_mean_accuracy,historical_capacity,incremental_accuracy,single_node_mean_accuracy
"Adapted latent, H=2,048",69.74999904632568,74.548977477984,2048,75.9782577753067,86.45964662233989
"Adapted latent, H=4,096",71.5499997138977,76.24199485236949,4096,77.47270405292511,86.49790485699971
"Adapted latent, H=8,192",71.95000052452087,76.65201154622164,8192,77.83729708194733,86.52939101060231
