condition,estimate,lower_95,metric,repetitions,seed,upper_95
blocked_log_t,0.1231981981981982,0.11081081081081082,route_accuracy_change,10000,0,0.1355855855855856
blocked_log_t,-0.035226507668341435,-0.03767076328337914,suffix_story_nll_change,10000,0,-0.03285709629887204
blocked_log_t,-0.013708964860383501,-0.0147877044083399,whole_story_nll_change,10000,0,-0.012670386355897144
round_robin_log_t,0.12635135135135134,0.1150900900900901,route_accuracy_change,10000,0,0.13783783783783785
round_robin_log_t,-0.042699213940699886,-0.04490395085032572,suffix_story_nll_change,10000,0,-0.04062952402629002
round_robin_log_t,-0.015566791448399593,-0.016541408347660547,whole_story_nll_change,10000,0,-0.014655009964186158
independent_noun,0.09076576576576577,0.07815315315315316,route_accuracy_change,10000,0,0.10338400900900893
independent_noun,-0.04433825492101056,-0.04713086554278215,suffix_story_nll_change,10000,0,-0.04163470558432037
independent_noun,-0.01652163500358062,-0.017706634908711084,whole_story_nll_change,10000,0,-0.015388511409681118
