accuracy_kind,condition,full_oracle_agreement,full_route_accuracy,full_suffix_story_nll,full_suffix_token_nll,full_whole_story_nll,full_whole_token_nll,label,mean_full_margin,midpoint_full_agreement,midpoint_oracle_agreement,midpoint_route_accuracy,midpoint_selected_whole_story_nll,midpoint_selected_whole_token_nll,midpoint_suffix_story_nll,midpoint_suffix_token_nll,oracle_suffix_story_nll,oracle_suffix_token_nll,route_accuracy_change_pp,story_count,suffix_gap_recovered_fraction,suffix_story_nll_change,task_id
noun_support,blocked_log_t,0.5643564356435643,0.8391089108910891,1.4913621591937065,1.5223064940790594,1.4694699133478148,1.4893873165029388,Blocked log-t,0.0467817804756771,0.6856435643564357,0.3069306930693069,0.6707920792079208,1.4866920117877505,1.505632676274912,1.5346362099000608,1.5637216196599082,1.4787927912552121,1.51004450039557,16.831683168316832,404,0.7749176493217098,-0.04327405070635426,mouse
noun_support,blocked_log_t,0.48668280871670705,0.7191283292978208,1.6180794302779233,1.645996798767551,1.589455438096964,1.6084059728735138,Blocked log-t,0.03664128660193371,0.7578692493946732,0.3026634382566586,0.7142857142857143,1.595609915204857,1.6144999700180418,1.6377690283574842,1.6655559783658949,1.601577707692101,1.6300101257833852,0.48426150121065376,413,0.5440419890063259,-0.019689598079560833,rabbit
noun_support,blocked_log_t,0.5597667638483965,0.8192419825072886,1.6434552334207384,1.66975283461417,1.6547628924723297,1.6643810141021562,Blocked log-t,0.05483479816493379,0.8192419825072886,0.42565597667638483,0.7638483965014577,1.6615698095463203,1.670864861528042,1.6631482630686205,1.6884494136269679,1.6284282372747334,1.655536416277991,5.539358600583091,343,0.5671951329987005,-0.01969302964788211,boat
noun_support,blocked_log_t,0.5319148936170213,0.8996960486322189,1.4775829963390876,1.5170905180910743,1.4303595574724557,1.4537600712066427,Blocked log-t,0.05607661888892723,0.7477203647416414,0.3069908814589666,0.7021276595744681,1.450887444058363,1.4697333317544157,1.52530248666114,1.5535977590068346,1.463378381236042,1.5036765028364518,19.756838905775076,329,0.7706125101762304,-0.04771949032205236,brother
noun_support,blocked_log_t,0.7073170731707317,0.7979094076655052,1.8930981207087516,1.879966962880924,1.8194079721800365,1.7899334071229682,Blocked log-t,0.038240331471947005,0.5400696864111498,0.2926829268292683,0.5052264808362369,1.8390214225233397,1.809449248303145,1.944811255668555,1.9315145949834658,1.88355202268087,1.871956826099664,29.268292682926827,287,0.8441688287249582,-0.05171313495980345,parent
noun_support,blocked_log_t,0.6985294117647058,0.9595588235294118,1.361338365834197,1.436413026395087,1.314420641804551,1.3642139268296072,Blocked log-t,0.15109950760831714,0.8860294117647058,0.5992647058823529,0.8786764705882353,1.3229422963426316,1.370781037430736,1.383496728502844,1.453577197512423,1.3513385564667626,1.426957391437013,8.088235294117647,272,0.6890429793019734,-0.022158362668647014,duck
noun_support,blocked_log_t,0.5884476534296029,0.9025270758122743,1.3654599610615779,1.4099597932420485,1.3293668625445476,1.3615475772534655,Blocked log-t,0.06288122910309536,0.7472924187725631,0.36823104693140796,0.7003610108303249,1.3479970688089886,1.3771082334714864,1.4096048291341474,1.4474968948780438,1.3522355340090224,1.3978259036491911,20.216606498194945,277,0.7694859763622269,-0.044144868072569565,sister
noun_support,blocked_log_t,0.5267175572519084,0.9427480916030534,1.4453048863992652,1.4967556171141148,1.3481036992947917,1.3809349461185274,Blocked log-t,0.11699384161668316,0.7977099236641222,0.3320610687022901,0.7862595419847328,1.3625482158930402,1.393609364108042,1.480616142672357,1.527547094294613,1.4272108374711214,1.4818358219523893,15.648854961832063,262,0.6611937922653197,-0.03531125627309173,pet
noun_support,blocked_log_t,0.627906976744186,0.7906976744186046,1.5482532525134913,1.6009797497893752,1.519347708474185,1.5423189954646792,Blocked log-t,0.061966741908205294,0.75,0.436046511627907,0.7441860465116279,1.527644878654767,1.5504361041960397,1.5732330154253378,1.624762517141709,1.5363659833059025,1.5904746944575097,4.651162790697675,172,0.6775637059940549,-0.024979762911846448,bicycle
noun_support,blocked_log_t,0.6804733727810651,0.834319526627219,1.6937483116959908,1.7181901880623944,1.5894780855086286,1.593334834581605,Blocked log-t,0.09482538316528154,0.757396449704142,0.4911242603550296,0.727810650887574,1.60126024036373,1.6047063216662696,1.7246526588356461,1.7471233331996006,1.6849357789403092,1.7110455223707304,10.650887573964498,169,0.7781161868982494,-0.030904347139655286,grandma
