accuracy_kind,condition,full_oracle_agreement,full_route_accuracy,full_suffix_story_nll,full_suffix_token_nll,full_whole_story_nll,full_whole_token_nll,label,mean_full_margin,midpoint_full_agreement,midpoint_oracle_agreement,midpoint_route_accuracy,midpoint_selected_whole_story_nll,midpoint_selected_whole_token_nll,midpoint_suffix_story_nll,midpoint_suffix_token_nll,oracle_suffix_story_nll,oracle_suffix_token_nll,route_accuracy_change_pp,story_count,suffix_gap_recovered_fraction,suffix_story_nll_change
noun_support,blocked_log_t,0.5916666666666667,0.8403153153153153,1.5445722856520296,1.5819764017145992,1.4992585100993039,1.51743115808036,Blocked log-t,0.07722640207845849,0.7479729729729729,0.3858108108108108,0.7171171171171171,1.5129674749596873,1.5300124244783884,1.5797987933203712,1.614319430890269,1.5311305418537973,1.5695145499386105,12.31981981981982,4440,0.7238087789641598,-0.03522650766834157
noun_support,round_robin_log_t,0.4988738738738739,0.9439189189189189,1.545884881574834,1.5834364546789987,1.5092095041827769,1.5269200467702402,Round-robin log-t,0.015550533664471688,0.5148648648648648,0.1759009009009009,0.8175675675675675,1.5247762956311763,1.5409317788914463,1.5885840955155337,1.6220602819652812,1.533451612211205,1.571973525617867,12.635135135135133,4440,0.7744837776488676,-0.04269921394069964
exact_noun,independent_noun,0.5315315315315315,0.7975225225225225,1.5400390014731808,1.578060624094282,1.4828703057617512,1.5033316101978715,Independent noun bank,0.0993466679498866,0.7254504504504504,0.3333333333333333,0.7067567567567568,1.499391940765332,1.5186445827336597,1.5843772563941914,1.619373278334908,1.5177013402965087,1.557616446512225,9.076576576576576,4440,0.6649815632987083,-0.04433825492101051
