condition,split,router,source_router,op,forgetting_craft_bwt,bwt_signed,bwt_clipped_negative_only
vamp_svd_r8_repair000,test,task_known_provenance,,35.830707801135325,4.000991186307925,-4.000991186307925,-6.875991186307925
vamp_svd_r8_repair000,test,task_known_validation,task_aware,35.548247310179484,6.020883161616566,-6.020883161616566,-7.145883161616566
vamp_svd_r8_repair005,test,task_known_provenance,,38.33975975089605,1.8775206973867644,-1.8775206973867644,-4.752520697386764
vamp_svd_r8_repair005,test,task_known_validation,task_aware,38.18032851155575,5.321270697386764,-5.321270697386764,-5.571270697386764
vamp_core_tsv_r8_scale03_repair000,test,task_known_provenance,,21.668167581148275,11.31999502319741,-11.31999502319741,-11.56999502319741
vamp_core_tsv_r8_scale03_repair000,test,task_known_validation,task_aware,23.07646923521998,19.16596415789844,-19.16596415789844,-19.16596415789844
vamp_core_tsv_r8_scale03_repair005,test,task_known_provenance,,27.670543082360233,7.069006476882859,-7.069006476882859,-7.069006476882859
vamp_core_tsv_r8_scale03_repair005,test,task_known_validation,task_aware,27.731924986848,15.01320344658798,-15.01320344658798,-15.01320344658798
vamp_core_tsv_r8_scale05_repair000,test,task_known_provenance,,22.440353792498108,16.862899384117362,-16.862899384117362,-16.862899384117362
vamp_core_tsv_r8_scale05_repair000,test,task_known_validation,task_aware,24.392541387780568,17.724892005337853,-17.724892005337853,-17.724892005337853
vamp_core_tsv_r8_scale05_repair010,test,task_known_provenance,,33.21278784731582,6.691756449520918,-6.691756449520918,-8.029719412483882
vamp_core_tsv_r8_scale05_repair010,test,task_known_validation,task_aware,33.17273105318725,9.077418389313882,-9.077418389313882,-9.540381352276846
