condition_id,stage,training_forward_images,recompute_forward_images,training_backward_images,training_wall_seconds,hierarchy_forward_images,hierarchy_wall_seconds,adaptation_forward_images,adaptation_wall_seconds,evaluation_forward_images,evaluation_wall_seconds,training_forward_images_including_recompute,cumulative_training_forward_images,cumulative_recompute_forward_images,cumulative_training_backward_images,cumulative_training_wall_seconds,cumulative_hierarchy_forward_images,cumulative_hierarchy_wall_seconds,cumulative_adaptation_forward_images,cumulative_adaptation_wall_seconds,cumulative_evaluation_forward_images,cumulative_evaluation_wall_seconds,cumulative_training_forward_images_including_recompute
persistent_h4096,25,53555,52260,53555,113.1047391332686,1295,4.793134156614542,52260,108.31160497665405,9108,7.038814891129732,105815,1219711,939896,1219711,2542.841092467308,279815,556.9190010782331,939896,1985.922091389075,105398,94.38897581212223,2159607
persistent_h4096,26,61293,55068,61293,128.6263139769435,6225,14.711559109389782,55068,113.91475486755371,9477,7.271942300722003,116361,1281004,994964,1281004,2671.4674064442515,286040,571.6305601876229,994964,2099.8368462566286,114875,101.66091811284423,2275968
persistent_h4096,27,74986,72736,74986,155.1472327951342,2250,6.108890088275075,72736,149.0383427068591,13088,9.67999692261219,147722,1355990,1067700,1355990,2826.6146392393857,288290,577.739450275898,1067700,2248.8751889634877,127963,111.34091503545642,2423690
persistent_h4096,28,68320,54000,68320,142.48730233311653,14320,30.355779828503728,54000,112.1315225046128,10122,7.809688992798328,122320,1424310,1121700,1424310,2969.1019415725023,302610,608.0952301044017,1121700,2361.0067114681005,138085,119.15060402825475,2546010
persistent_h4096,29,75112,72832,75112,153.7916391622275,2280,6.0424422435462475,72832,147.74919691868126,13952,9.904939319938421,147944,1499422,1194532,1499422,3122.8935807347298,304890,614.137672347948,1194532,2508.755908386782,152037,129.05554334819317,2693954
persistent_h4096,30,90072,79232,90072,182.26362960971892,10840,21.745297415181994,79232,160.51833219453692,14808,10.63865520618856,169304,1589494,1273764,1589494,3305.1572103444487,315730,635.88296976313,1273764,2669.2742405813187,166845,139.69419855438173,2863258
persistent_h4096,31,93370,91080,93370,190.0679414831102,2290,6.159407060593367,91080,183.90853442251682,19080,13.255647050216794,184450,1682864,1364844,1682864,3495.225151827559,318020,642.0423768237233,1364844,2853.1827750038356,185925,152.94984560459852,3047708
persistent_h4096,32,169526,18016,169526,285.3575259782374,151510,243.55424888804555,18016,41.80327709019184,3919,4.387664120644331,187542,1852390,1382860,1852390,3780.5826778057963,469530,885.5966257117689,1382860,2894.9860520940274,189844,157.33750972524285,3235250
persistent_h4096,33,38527,36312,38527,83.634740723297,2215,6.164957042783499,36312,77.4697836805135,8060,6.629818972200155,74839,1890917,1419172,1890917,3864.2174185290933,471745,891.7615827545524,1419172,2972.455835774541,197904,163.967328697443,3310089
persistent_h4096,34,40059,35024,40059,88.06653068214655,5035,13.106890702620149,35024,74.9596399795264,8200,6.744684111326933,75083,1930976,1454196,1930976,3952.28394921124,476780,904.8684734571725,1454196,3047.4154757540673,206104,170.71201280876994,3385172
persistent_h4096,35,58723,55908,58723,123.38293728604913,2815,7.236041001975536,55908,116.14689628407359,12723,9.39690949395299,114631,1989699,1510104,1989699,4075.666886497289,479595,912.104514459148,1510104,3163.562372038141,218827,180.10892230272293,3499803
persistent_h4096,36,56260,37720,56260,117.2572125531733,18540,36.47730684839189,37720,80.77990570478141,8790,7.180732037872076,93980,2045959,1547824,2045959,4192.924099050462,498135,948.5818213075399,1547824,3244.3422777429223,227617,187.289654340595,3593783
persistent_h4096,37,59896,56736,59896,125.69897464476526,3160,7.309501379728317,56736,118.38947326503694,13656,10.273669179528952,116632,2105855,1604560,2105855,4318.6230736952275,501295,955.8913226872683,1604560,3362.7317510079592,241273,197.56332352012396,3710415
persistent_h4096,38,64962,56052,64962,137.07696082256734,8910,19.168466983363032,56052,117.90849383920431,14085,10.308067517355084,121014,2170817,1660612,2170817,4455.700034517795,510205,975.0597896706313,1660612,3480.6402448471636,255358,207.87139103747904,3831429
persistent_h4096,39,75175,72880,75175,155.23438192531466,2295,6.413948267698288,72880,148.82043365761638,19236,13.48699057660997,148055,2245992,1733492,2245992,4610.9344164431095,512500,981.4737379383296,1733492,3629.46067850478,274594,221.358381614089,3979484
persistent_h4096,40,76770,37200,76770,151.01998369954526,39570,71.97000532969832,37200,79.04997836984694,9894,7.872929925099015,113970,2322762,1770692,2322762,4761.954400142655,552070,1053.443743268028,1770692,3708.510656874627,284488,229.23131153918803,4093454
persistent_h4096,41,54201,52716,54201,115.22045716270804,1485,4.7143042497336864,52716,110.50615291297436,15063,10.91850727237761,106917,2376963,1823408,2376963,4877.174857305363,553555,1058.1580475177616,1823408,3819.0168097876012,299551,240.14981881156564,4200371
persistent_h4096,42,62693,55728,62693,130.68902728147805,6965,16.15470346994698,55728,114.53432381153107,15471,11.450270988047123,118421,2439656,1879136,2439656,5007.863884586841,560520,1074.3127509877086,1879136,3933.5511335991323,315022,251.60008979961276,4318792
persistent_h4096,43,73558,71648,73558,152.7434167228639,1910,5.5665722619742155,71648,147.1768444608897,21012,14.964365404099226,145206,2513214,1950784,2513214,5160.607301309705,562430,1079.8793232496828,1950784,4080.727978060022,336034,266.564455203712,4463998
persistent_h4096,44,65108,52668,65108,139.21430277824402,12440,28.37021315842867,52668,110.84408961981535,15978,11.955262955278158,117776,2578322,2003452,2578322,5299.821604087949,574870,1108.2495364081115,2003452,4191.572067679837,352012,278.51971815899014,4581774
persistent_h4096,45,74398,72288,74398,153.07587496005,2110,5.949662089347839,72288,147.12621287070215,21724,15.301282994449139,146686,2652720,2075740,2652720,5452.897479047999,576980,1114.1991984974593,2075740,4338.6982805505395,373736,293.8210011534393,4728460
persistent_h4096,46,80880,73680,80880,166.12389582395554,7200,16.500347776338458,73680,149.62354804761708,22232,15.351880626752973,154560,2733600,2149420,2733600,5619.021374871954,584180,1130.6995462737978,2149420,4488.321828598157,395968,309.17288178019226,4883020
persistent_h4096,47,93195,90940,93195,189.64260582998395,2255,6.131172088906169,90940,183.51143374107778,28355,19.047160604968667,184135,2826795,2240360,2826795,5808.663980701938,586435,1136.830718362704,2240360,4671.833262339234,424323,328.2200423851609,5067155
persistent_h4096,48,106702,36432,106702,200.2252697441727,70270,121.75503607839346,36432,78.47023366577923,11572,9.745238890871406,143134,2933497,2276792,2933497,6008.889250446111,656705,1258.5857544410974,2276792,4750.303496005014,435895,337.96528127603233,5210289
persistent_h4096,49,56258,54168,56258,117.6422120667994,2090,5.678488530218601,54168,111.9637235365808,17670,12.830452185124159,110426,2989755,2330960,2989755,6126.53146251291,658795,1264.264242971316,2330960,4862.267219541594,453565,350.7957334611565,5320715
persistent_h4096,50,61010,54480,61010,127.46475807391107,6530,15.687388811260462,54480,111.77736926265061,18000,12.84538209810853,115490,3050765,2385440,3050765,6253.996220586821,665325,1279.9516317825764,2385440,4974.044588804245,471565,363.641115559265,5436205
joint_rank16,1,2375,0,2375,6.857791546732187,0,0.0,0,0.0,118,0.6497753914445639,2375,2375,0,2375,6.857791546732187,0,0.0,0,0.0,118,0.6497753914445639,2375
joint_rank16,2,4945,0,4945,10.86786257661879,0,0.0,0,0.0,248,0.8703635800629854,4945,7320,0,7320,17.725654123350978,0,0.0,0,0.0,366,1.5201389715075493,7320
joint_rank16,3,7875,0,7875,15.308720514178276,0,0.0,0,0.0,394,1.0953590907156467,7875,15195,0,15195,33.034374637529254,0,0.0,0,0.0,760,2.615498062223196,15195
joint_rank16,4,11395,0,11395,20.091236690059304,0,0.0,0,0.0,570,1.1626132633537054,11395,26590,0,26590,53.12561132758856,0,0.0,0,0.0,1330,3.7781113255769014,26590
joint_rank16,5,13975,0,13975,24.347267163917422,0,0.0,0,0.0,698,1.1333934869617224,13975,40565,0,40565,77.47287849150598,0,0.0,0,0.0,2028,4.911504812538624,40565
joint_rank16,6,16385,0,16385,28.07911811955273,0,0.0,0,0.0,818,1.3732607141137123,16385,56950,0,56950,105.55199661105871,0,0.0,0,0.0,2846,6.284765526652336,56950
joint_rank16,7,18690,0,18690,31.56959551386535,0,0.0,0,0.0,933,1.4100378677248955,18690,75640,0,75640,137.12159212492406,0,0.0,0,0.0,3779,7.694803394377232,75640
joint_rank16,8,21365,0,21365,35.116376746445894,0,0.0,0,0.0,1066,1.777692312374711,21365,97005,0,97005,172.23796887136996,0,0.0,0,0.0,4845,9.472495706751943,97005
joint_rank16,9,24010,0,24010,39.51856745779514,0,0.0,0,0.0,1200,1.5993804577738047,24010,121015,0,121015,211.7565363291651,0,0.0,0,0.0,6045,11.071876164525747,121015
joint_rank16,10,26745,0,26745,43.39195272512734,0,0.0,0,0.0,1338,1.6395679153501987,26745,147760,0,147760,255.14848905429244,0,0.0,0,0.0,7383,12.711444079875946,147760
joint_rank16,11,28720,0,28720,46.31965976022184,0,0.0,0,0.0,1438,1.7216480616480112,28720,176480,0,176480,301.4681488145143,0,0.0,0,0.0,8821,14.433092141523957,176480
joint_rank16,12,31025,0,31025,49.51456359773874,0,0.0,0,0.0,1554,1.9159007277339697,31025,207505,0,207505,350.982712412253,0,0.0,0,0.0,10375,16.348992869257927,207505
joint_rank16,13,33580,0,33580,53.06998783163726,0,0.0,0,0.0,1681,1.8886935263872147,33580,241085,0,241085,404.0527002438903,0,0.0,0,0.0,12056,18.23768639564514,241085
joint_rank16,14,36210,0,36210,56.880565026775,0,0.0,0,0.0,1813,2.1061867587268353,36210,277295,0,277295,460.9332652706653,0,0.0,0,0.0,13869,20.343873154371977,277295
joint_rank16,15,38535,0,38535,60.48129279538989,0,0.0,0,0.0,1929,2.1235454361885786,38535,315830,0,315830,521.4145580660552,0,0.0,0,0.0,15798,22.467418590560555,315830
joint_rank16,16,41180,0,41180,64.2783048376441,0,0.0,0,0.0,2062,2.1702196914702654,41180,357010,0,357010,585.6928629036993,0,0.0,0,0.0,17860,24.63763828203082,357010
joint_rank16,17,43670,0,43670,68.28034013137221,0,0.0,0,0.0,2188,2.3636456709355116,43670,400680,0,400680,653.9732030350715,0,0.0,0,0.0,20048,27.001283952966332,400680
joint_rank16,18,45785,0,45785,72.2456449624151,0,0.0,0,0.0,2294,2.389273911714554,45785,446465,0,446465,726.2188479974866,0,0.0,0,0.0,22342,29.390557864680886,446465
joint_rank16,19,47950,0,47950,74.5017861444503,0,0.0,0,0.0,2403,2.459040639922023,47950,494415,0,494415,800.7206341419369,0,0.0,0,0.0,24745,31.84959850460291,494415
joint_rank16,20,49980,0,49980,77.60843987949193,0,0.0,0,0.0,2504,2.56061883084476,49980,544395,0,544395,878.3290740214288,0,0.0,0,0.0,27249,34.41021733544767,544395
joint_rank16,21,52875,0,52875,81.50206172093749,0,0.0,0,0.0,2648,2.5792745780199766,52875,597270,0,597270,959.8311357423663,0,0.0,0,0.0,29897,36.989491913467646,597270
joint_rank16,22,55275,0,55275,85.61742690950632,0,0.0,0,0.0,2768,2.7759635783731937,55275,652545,0,652545,1045.4485626518726,0,0.0,0,0.0,32665,39.76545549184084,652545
joint_rank16,23,57615,0,57615,88.81756975315511,0,0.0,0,0.0,2885,2.825633192434907,57615,710160,0,710160,1134.2661324050277,0,0.0,0,0.0,35550,42.591088684275746,710160
joint_rank16,24,59335,0,59335,91.44223830848932,0,0.0,0,0.0,2971,3.044751610606909,59335,769495,0,769495,1225.708370713517,0,0.0,0,0.0,38521,45.635840294882655,769495
joint_rank16,25,60630,0,60630,93.07170157507062,0,0.0,0,0.0,3036,2.8577511068433523,60630,830125,0,830125,1318.7800722885877,0,0.0,0,0.0,41557,48.49359140172601,830125
joint_rank16,26,63095,0,63095,97.24079676158726,0,0.0,0,0.0,3159,3.049538576975465,63095,893220,0,893220,1416.020869050175,0,0.0,0,0.0,44716,51.54312997870147,893220
joint_rank16,27,65345,0,65345,100.23693118803203,0,0.0,0,0.0,3272,3.0922530591487885,65345,958565,0,958565,1516.257800238207,0,0.0,0,0.0,47988,54.63538303785026,958565
joint_rank16,28,67365,0,67365,103.60999157652259,0,0.0,0,0.0,3374,3.2168802358210087,67365,1025930,0,1025930,1619.8677918147296,0,0.0,0,0.0,51362,57.85226327367127,1025930
joint_rank16,29,69645,0,69645,106.53223455697298,0,0.0,0,0.0,3488,3.325484985485673,69645,1095575,0,1095575,1726.4000263717026,0,0.0,0,0.0,54850,61.17774825915694,1095575
joint_rank16,30,73925,0,73925,112.8237010538578,0,0.0,0,0.0,3702,3.3907996974885464,73925,1169500,0,1169500,1839.2237274255604,0,0.0,0,0.0,58552,64.56854795664549,1169500
joint_rank16,31,76215,0,76215,116.1536130644381,0,0.0,0,0.0,3816,3.5550560764968395,76215,1245715,0,1245715,1955.3773404899985,0,0.0,0,0.0,62368,68.12360403314233,1245715
joint_rank16,32,78255,0,78255,119.55654499866068,0,0.0,0,0.0,3919,3.6388135459274054,78255,1323970,0,1323970,2074.933885488659,0,0.0,0,0.0,66287,71.76241757906973,1323970
joint_rank16,33,80470,0,80470,122.11992674507201,0,0.0,0,0.0,4030,3.7164314221590757,80470,1404440,0,1404440,2197.053812233731,0,0.0,0,0.0,70317,75.47884900122881,1404440
joint_rank16,34,81880,0,81880,124.57996667176485,0,0.0,0,0.0,4100,3.771636340767145,81880,1486320,0,1486320,2321.633778905496,0,0.0,0,0.0,74417,79.25048534199595,1486320
joint_rank16,35,84695,0,84695,128.5000163950026,0,0.0,0,0.0,4241,3.815913425758481,84695,1571015,0,1571015,2450.1337953004986,0,0.0,0,0.0,78658,83.06639876775444,1571015
joint_rank16,36,87790,0,87790,133.281729510054,0,0.0,0,0.0,4395,3.990037551149726,87790,1658805,0,1658805,2583.4155248105526,0,0.0,0,0.0,83053,87.05643631890416,1658805
joint_rank16,37,90950,0,90950,137.83551143668592,0,0.0,0,0.0,4552,4.2724585216492414,90950,1749755,0,1749755,2721.2510362472385,0,0.0,0,0.0,87605,91.3288948405534,1749755
joint_rank16,38,93825,0,93825,143.30235488526523,0,0.0,0,0.0,4695,4.221231155097485,93825,1843580,0,1843580,2864.5533911325037,0,0.0,0,0.0,92300,95.55012599565089,1843580
joint_rank16,39,96120,0,96120,151.18210585042834,0,0.0,0,0.0,4809,4.350499669089913,96120,1939700,0,1939700,3015.735496982932,0,0.0,0,0.0,97109,99.9006256647408,1939700
joint_rank16,40,98890,0,98890,152.565605731681,0,0.0,0,0.0,4947,4.447919923812151,98890,2038590,0,2038590,3168.301102714613,0,0.0,0,0.0,102056,104.34854558855295,2038590
joint_rank16,41,100375,0,100375,152.9422462899238,0,0.0,0,0.0,5021,4.611962091177702,100375,2138965,0,2138965,3321.243349004537,0,0.0,0,0.0,107077,108.96050767973065,2138965
joint_rank16,42,103115,0,103115,156.27395252138376,0,0.0,0,0.0,5157,4.544763771817088,103115,2242080,0,2242080,3477.5173015259206,0,0.0,0,0.0,112234,113.50527145154774,2242080
joint_rank16,43,105025,0,105025,159.21357230469584,0,0.0,0,0.0,5253,4.638840347528458,105025,2347105,0,2347105,3636.7308738306165,0,0.0,0,0.0,117487,118.1441117990762,2347105
joint_rank16,44,106490,0,106490,161.5036907121539,0,0.0,0,0.0,5326,4.631601182743907,106490,2453595,0,2453595,3798.2345645427704,0,0.0,0,0.0,122813,122.7757129818201,2453595
joint_rank16,45,108600,0,108600,164.52051167935133,0,0.0,0,0.0,5431,4.771156549453735,108600,2562195,0,2562195,3962.7550762221217,0,0.0,0,0.0,128244,127.54686953127384,2562195
joint_rank16,46,111145,0,111145,167.72942730598152,0,0.0,0,0.0,5558,4.797331376001239,111145,2673340,0,2673340,4130.484503528103,0,0.0,0,0.0,133802,132.34420090727508,2673340
joint_rank16,47,113400,0,113400,172.34035969898105,0,0.0,0,0.0,5671,4.9311233796179295,113400,2786740,0,2786740,4302.824863227084,0,0.0,0,0.0,139473,137.275324286893,2786740
joint_rank16,48,115690,0,115690,176.04833485931158,0,0.0,0,0.0,5786,5.009136360138655,115690,2902430,0,2902430,4478.873198086396,0,0.0,0,0.0,145259,142.28446064703166,2902430
joint_rank16,49,117780,0,117780,177.85772121697664,0,0.0,0,0.0,5890,5.2795101813972,117780,3020210,0,3020210,4656.7309193033725,0,0.0,0,0.0,151149,147.56397082842886,3020210
joint_rank16,50,120000,0,120000,186.58916907943785,0,0.0,0,0.0,6000,5.220132440328598,120000,3140210,0,3140210,4843.32008838281,0,0.0,0,0.0,157149,152.78410326875746,3140210
joint_rank_matched,1,2375,0,2375,6.857791546732187,0,0.0,0,0.0,118,0.6497753914445639,2375,2375,0,2375,6.857791546732187,0,0.0,0,0.0,118,0.6497753914445639,2375
joint_rank_matched,2,4945,0,4945,10.86786257661879,0,0.0,0,0.0,248,0.8703635800629854,4945,7320,0,7320,17.725654123350978,0,0.0,0,0.0,366,1.5201389715075493,7320
joint_rank_matched,3,7875,0,7875,17.034040030092,0,0.0,0,0.0,394,,7875,15195,0,15195,34.75969415344298,0,0.0,0,0.0,760,,15195
joint_rank_matched,4,11395,0,11395,20.091236690059304,0,0.0,0,0.0,570,1.1626132633537054,11395,26590,0,26590,54.85093084350228,0,0.0,0,0.0,1330,,26590
joint_rank_matched,5,13975,0,13975,26.623278396204114,0,0.0,0,0.0,698,,13975,40565,0,40565,81.4742092397064,0,0.0,0,0.0,2028,,40565
joint_rank_matched,6,16385,0,16385,30.837325571104884,0,0.0,0,0.0,818,,16385,56950,0,56950,112.31153481081128,0,0.0,0,0.0,2846,,56950
joint_rank_matched,7,18690,0,18690,33.97998100332916,0,0.0,0,0.0,933,,18690,75640,0,75640,146.29151581414044,0,0.0,0,0.0,3779,,75640
joint_rank_matched,8,21365,0,21365,35.116376746445894,0,0.0,0,0.0,1066,1.777692312374711,21365,97005,0,97005,181.40789256058633,0,0.0,0,0.0,4845,,97005
joint_rank_matched,9,24010,0,24010,43.90404195897281,0,0.0,0,0.0,1200,,24010,121015,0,121015,225.31193451955914,0,0.0,0,0.0,6045,,121015
joint_rank_matched,10,26745,0,26745,46.492511216551065,0,0.0,0,0.0,1338,,26745,147760,0,147760,271.8044457361102,0,0.0,0,0.0,7383,,147760
joint_rank_matched,11,28720,0,28720,50.04805979691446,0,0.0,0,0.0,1438,,28720,176480,0,176480,321.85250553302467,0,0.0,0,0.0,8821,,176480
joint_rank_matched,12,31025,0,31025,53.30045202560723,0,0.0,0,0.0,1554,,31025,207505,0,207505,375.1529575586319,0,0.0,0,0.0,10375,,207505
joint_rank_matched,13,33580,0,33580,57.23646454885602,0,0.0,0,0.0,1681,,33580,241085,0,241085,432.3894221074879,0,0.0,0,0.0,12056,,241085
joint_rank_matched,14,36210,0,36210,61.72765733860433,0,0.0,0,0.0,1813,,36210,277295,0,277295,494.11707944609225,0,0.0,0,0.0,13869,,277295
joint_rank_matched,15,38535,0,38535,65.621974946931,0,0.0,0,0.0,1929,,38535,315830,0,315830,559.7390543930233,0,0.0,0,0.0,15798,,315830
joint_rank_matched,16,41180,0,41180,64.2783048376441,0,0.0,0,0.0,2062,2.1702196914702654,41180,357010,0,357010,624.0173592306674,0,0.0,0,0.0,17860,,357010
joint_rank_matched,17,43670,0,43670,72.66072146780789,0,0.0,0,0.0,2188,,43670,400680,0,400680,696.6780806984752,0,0.0,0,0.0,20048,,400680
joint_rank_matched,18,45785,0,45785,76.32719464600086,0,0.0,0,0.0,2294,,45785,446465,0,446465,773.0052753444761,0,0.0,0,0.0,22342,,446465
joint_rank_matched,19,47950,0,47950,79.58306211978197,0,0.0,0,0.0,2403,,47950,494415,0,494415,852.5883374642581,0,0.0,0,0.0,24745,,494415
joint_rank_matched,20,49980,0,49980,82.81940406560898,0,0.0,0,0.0,2504,,49980,544395,0,544395,935.407741529867,0,0.0,0,0.0,27249,,544395
joint_rank_matched,21,52875,0,52875,88.35304303653538,0,0.0,0,0.0,2648,,52875,597270,0,597270,1023.7607845664024,0,0.0,0,0.0,29897,,597270
joint_rank_matched,22,55275,0,55275,94.32386123761535,0,0.0,0,0.0,2768,,55275,652545,0,652545,1118.0846458040178,0,0.0,0,0.0,32665,,652545
joint_rank_matched,23,57615,0,57615,96.11158396862447,0,0.0,0,0.0,2885,,57615,710160,0,710160,1214.1962297726423,0,0.0,0,0.0,35550,,710160
joint_rank_matched,24,59335,0,59335,97.29439752362669,0,0.0,0,0.0,2971,,59335,769495,0,769495,1311.490627296269,0,0.0,0,0.0,38521,,769495
joint_rank_matched,25,60630,0,60630,100.0741106197238,0,0.0,0,0.0,3036,,60630,830125,0,830125,1411.5647379159927,0,0.0,0,0.0,41557,,830125
joint_rank_matched,26,63095,0,63095,103.89157342165709,0,0.0,0,0.0,3159,,63095,893220,0,893220,1515.4563113376498,0,0.0,0,0.0,44716,,893220
joint_rank_matched,27,65345,0,65345,107.89638759195805,0,0.0,0,0.0,3272,,65345,958565,0,958565,1623.3526989296079,0,0.0,0,0.0,47988,,958565
joint_rank_matched,28,67365,0,67365,110.82075793296099,0,0.0,0,0.0,3374,,67365,1025930,0,1025930,1734.1734568625689,0,0.0,0,0.0,51362,,1025930
joint_rank_matched,29,69645,0,69645,114.35307994671166,0,0.0,0,0.0,3488,,69645,1095575,0,1095575,1848.5265368092805,0,0.0,0,0.0,54850,,1095575
joint_rank_matched,30,73925,0,73925,121.50998382270336,0,0.0,0,0.0,3702,,73925,1169500,0,1169500,1970.0365206319839,0,0.0,0,0.0,58552,,1169500
joint_rank_matched,31,76215,0,76215,126.41718954592943,0,0.0,0,0.0,3816,,76215,1245715,0,1245715,2096.4537101779133,0,0.0,0,0.0,62368,,1245715
joint_rank_matched,32,78255,0,78255,119.55654499866068,0,0.0,0,0.0,3919,3.6388135459274054,78255,1323970,0,1323970,2216.010255176574,0,0.0,0,0.0,66287,,1323970
