condition,final_accuracy,incremental_accuracy,fragmented_stage_accuracy,one_node_stage_accuracy
"Persistent single-affine + adaptive node LoRAs, H=4,096",75.86666666666666,82.43374226980359,81.53198192272379,89.04665148172217
"Persistent single-affine + adaptive node LoRAs, H=8,192",76.21666666666667,82.45174986969897,81.51131084439427,89.34830272193346
"Stage-matched joint IID, rank 16",78.86666655540466,81.63038444519043,81.01831674575806,86.1188809076945
Aggregate-rank-matched joint IID,79.76666666666667,82.7592534660875,82.30112245132291,86.1188809076945
"True-node oracle for persistent H=4,096 (diagnostic)",81.83333333333333,86.1945486166369,85.78322188626251,89.21094463938239
"True-node oracle for persistent H=8,192 (diagnostic)",80.68333333333334,85.94609956184951,85.4696643337743,89.43995790106773
