stage,live_nodes,rank_matched_joint_rank,persistent_affine_h4096_accuracy,persistent_affine_h4096_nll,persistent_affine_h8192_accuracy,persistent_affine_h8192_nll,stage_matched_joint_rank16_accuracy,rank_matched_joint_accuracy,rank_matched_joint_nll,h4096_gap_to_stage_joint,h8192_gap_to_stage_joint,h4096_gap_to_rank_joint,h8192_gap_to_rank_joint,h4096_true_node_oracle_accuracy,h8192_true_node_oracle_accuracy
1,1,16,97.45762711864407,0.07662027165041131,95.76271186440678,0.11561368683637199,94.91525292396545,94.91525292396545,,2.542374194678615,0.847458940441328,2.542374194678615,0.847458940441328,97.45762711864407,95.76271186440678
2,1,16,93.54838709677419,0.2433611269920103,93.54838709677419,0.2260734304305046,88.70967626571655,88.70967626571655,,4.838710831057639,4.838710831057639,4.838710831057639,4.838710831057639,93.54838709677419,93.54838709677419
3,2,32,89.59390862944163,0.38840636626112884,92.89340101522842,0.2568364337011037,86.04061007499695,86.29441624365482,0.493929911385938,3.5532985544446802,6.852790940231472,3.299492385786806,6.598984771573598,93.65482233502539,95.68527918781726
4,1,16,91.57894736842105,0.3110355770378782,92.10526315789474,0.29370047418694745,85.61403751373291,85.61403751373291,,5.964909854688145,6.49122564416183,5.964909854688145,6.49122564416183,91.9298245614035,92.28070175438596
5,2,32,90.83094555873926,0.36449776542904044,91.97707736389685,0.32434657241690124,84.097421169281,86.38968481375358,0.5013537174651138,6.733524389458253,7.879656194615848,4.441260744985684,5.587392550143278,93.26647564469914,94.41260744985674
6,2,32,89.85330073349633,0.4119403426396526,89.85330073349633,0.43161103544724894,84.35207605361938,85.69682151589242,0.5353972136537137,5.501224679876941,5.501224679876941,4.156479217603902,4.156479217603902,92.90953545232274,93.39853300733496
7,3,48,89.71061093247589,0.4257390992306692,89.38906752411576,0.4595567840216372,83.4941029548645,85.10182207931405,0.5307349688498282,6.216507977611386,5.894964569251258,4.60878885316184,4.287245444801712,93.9978563772776,94.21221864951768
8,1,16,89.58724202626642,0.4718412342035748,88.36772983114446,0.4812674996553174,84.80300307273865,84.80300307273865,,4.784238953527776,3.5647267584058113,4.784238953527776,3.5647267584058113,89.68105065666042,88.46153846153847
9,2,32,89.08333333333333,0.48851868232091267,88.58333333333333,0.5321680275599162,83.66666436195374,85.25,0.5846162843704223,5.416668971379593,4.916668971379593,3.8333333333333286,3.3333333333333286,90.91666666666667,90.66666666666667
10,2,32,85.42600896860986,0.5978876778184922,87.81763826606876,0.5044297302428561,82.58594870567322,84.08071748878923,0.6097794462925293,2.840060262936646,5.231689560395537,1.3452914798206308,3.736920777279522,88.2660687593423,90.13452914798206
11,3,48,85.74408901251739,0.6605802888830448,87.20445062586926,0.5478569204518792,82.68428444862366,85.32684283727399,0.5677634638440128,3.059804563893735,4.520166177245599,0.417246175243406,1.8776077885952702,89.77746870653685,90.40333796940195
12,2,32,84.62033462033462,0.6947428360869066,85.13513513513513,0.6274353945424044,81.78893327713013,84.23423423423424,0.645839042491741,2.83140134320449,3.346201858005003,0.3861003861003809,0.9009009009008935,88.61003861003861,88.8030888030888
13,3,48,87.09101725163593,0.6281593567838561,85.30636525877453,0.6311262892088246,82.68887400627136,84.2355740630577,0.6049220285409976,4.40214324536457,2.6174912525031715,2.855443188578235,1.0707911957168363,90.48185603807258,89.53004164187983
14,3,48,83.50799779371208,0.7537456613447018,84.28019856591285,0.7546846528639796,82.23938345909119,84.16988416988417,0.6271427594293761,1.2686143346208922,2.0408151068216682,-0.6618863761720917,0.11031439602868431,89.46497517926089,89.85107556536128
15,4,64,83.04821150855365,0.7374067657533985,84.13685847589424,0.783863166504539,81.64852261543274,83.77397615344738,0.592401958364721,1.39968889312091,2.488335860461504,-0.7257646448937294,0.3628823224468647,90.77242094349404,89.94297563504406
16,1,16,83.4141610087294,0.7012313515323673,85.11154219204656,0.6211838856353907,82.39573240280151,82.39573240280151,,1.0184286059278804,2.715809789245043,1.0184286059278804,2.715809789245043,83.80213385063045,85.11154219204656
17,2,32,83.82084095063985,0.6913075002499429,84.64351005484461,0.6948008354228855,81.1700165271759,82.49542961608775,0.68533950052488,2.650824423463945,3.4734935276687082,1.3254113345521006,2.148080438756864,84.96343692870201,85.6489945155393
18,2,32,83.87096774193549,0.7605252178627819,83.65300784655624,0.7397360980458746,81.69136643409729,82.51961639058413,0.6995154919578599,2.1796013078381975,1.9616414124589454,1.3513513513513544,1.1333914559721023,85.44027898866608,85.35309503051438
19,3,48,84.39450686641698,0.7430381401846223,83.64544319600499,0.7637921419433391,81.98086023330688,83.72867249271744,0.653793600068904,2.4136466331100905,1.6645829626981055,0.6658343736995391,-0.08322929671244594,86.76654182272159,86.3920099875156
20,2,32,82.7076677316294,0.7604571295241578,82.5479233226837,0.8581124654593179,80.91054558753967,82.06869009584665,0.709569828197979,1.7971221440897267,1.6373777351440282,0.6389776357827515,0.47923322683705294,85.94249201277955,85.70287539936102
21,3,48,83.19486404833837,0.7826974946566578,82.3262839879154,0.8244731757576012,82.02416896820068,83.11933534743203,0.6978874681939531,1.1706950801376905,0.3021150197147193,0.07552870090634656,-0.7930513595166246,86.36706948640483,86.5558912386707
22,3,48,82.1893063583815,0.8560157890264699,82.58670520231213,0.8834519282930848,81.71965479850769,83.128612716763,0.6864323784850236,0.46965155987381024,0.8670504038044413,-0.9393063583815007,-0.5419075144508696,86.48843930635839,86.16329479768787
