policy_hash,node_id,level,start_arrival,end_arrival,within_task,merge_method,repair_fraction,retained_energy_mean,child_cosine_mean,merge_damage,postrepair_damage,repair_recovery,core_dimension_max,repair_examples,repair_tokens,repair_steps,repair_wall_seconds,merge_wall_seconds,merge_config_hash
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,4bdb7b41d4d17f5e16d516d27a7da1fa545642faa8a309d99017dda2a6df808e,2,9,12,False,svd_mean_r8,0.0,0.9282151853243167,0.003758994947343568,-0.33945469558238983,-0.33945469558238983,0.0,0,0,0,0,0.0,0.36454595066607,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,579daa4083af565af0228b0422403b9cb8cd7d2eb6a11073ad6a6da6177c78d7,1,29,30,True,svd_mean_r8,0.0,0.9606232060646054,0.06966824021752985,-0.08075921982526779,-0.08075921982526779,0.0,0,0,0,0,0.0,0.4209874477237463,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,619dd99f9be6af638bc99c9d6ac7b095d81e6822159cdce7c3c50ecba2e189ef,1,33,34,True,svd_mean_r8,0.0,0.9610298675588939,0.07423928949059382,0.17445612759911455,0.17445612759911455,0.0,0,0,0,0,0.0,0.3916309829801321,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,650f23a261ea23e511b3153fb6e2d826b06ebea231f131c64b9a38355791bd2c,3,17,24,False,svd_mean_r8,0.0,0.8836740852738476,0.006312972290562976,-0.03821345418691635,-0.03821345418691635,0.0,0,0,0,0,0.0,0.4398771822452545,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,6c5f1585c41e7075e871f7adfde75d89fdec84b294a4e78a3ddf838ccd6e74bb,1,25,26,False,svd_mean_r8,0.0,0.9267784096416398,0.003818561291125566,-0.17414742871187627,-0.17414742871187627,0.0,0,0,0,0,0.0,0.47946600057184696,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,732d05fd02dc1d0f785f7be1aea87536e1d29d9ed3f6286634c0499f5442df89,2,5,8,False,svd_mean_r8,0.0,0.9404931850874899,0.08752915728795735,-0.0322477892623283,-0.0322477892623283,0.0,0,0,0,0,0.0,0.4191476535052061,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,77274d05894a0c90f13f165e9ee95a1960266c36a5cd296b19fecefdeba8c249,1,23,24,True,svd_mean_r8,0.0,0.9009606039195291,0.050242538060127476,0.004363484680652618,0.004363484680652618,0.0,0,0,0,0,0.0,0.37885097973048687,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,831233efcb2e15eb68f4557a896c6a070376753dd087167ddd296d59281dee3e,4,1,16,False,svd_mean_r8,0.0,0.9086405536784626,0.05186670272124704,-0.05781122330517974,-0.05781122330517974,0.0,0,0,0,0,0.0,0.4078235197812319,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,9b12f10fa73d981a4308fc651241f0e93bf33411beae1c110cf310bca0776dd4,2,33,36,False,svd_mean_r8,0.0,0.9266603889960467,0.06059532889527001,0.021968374494463205,0.021968374494463205,0.0,0,0,0,0,0.0,0.41789387352764606,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,9efb562b2ebd0a8a69e887dd9091ffaee44ff091a80f3340e28ec08673872bb6,1,37,38,True,svd_mean_r8,0.0,0.9162907307677834,0.05466240035507613,-0.02958739548921585,-0.02958739548921585,0.0,0,0,0,0,0.0,0.4027787856757641,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,b2034116721a1c9ecc1fa15e77d141b055fd4d4e4c12779737ad6cc1b29325d0,2,29,32,False,svd_mean_r8,0.0,0.9389213767417739,0.08115902196853227,-0.009781577857211232,-0.009781577857211232,0.0,0,0,0,0,0.0,0.3894131612032652,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,bc85c22e99541f6399cd9093f7de51acac97498d1ffe8c2d4f7562701b65349d,1,9,10,True,svd_mean_r8,0.0,0.9569533218912099,0.08111882932361268,-0.005723588168621063,-0.005723588168621063,0.0,0,0,0,0,0.0,0.40519002825021744,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
1e51d2973353ad68f99979f822cde7713401e16b4f79106bc90c540e0e18c8c7,c4d80ef71742dbedf6d54f1ca6918a20347a24b5fd4bc92974ba441ce96a4e2f,1,11,12,True,svd_mean_r8,0.0,0.9424440169618009,0.11218755784046308,-0.04604385048151016,-0.04604385048151016,0.0,0,0,0,0,0.0,0.4002005234360695,08c262c3a1d8d5b5d12f9e4cec01a20231ab564308a7b5266dab21fe51fb46ed
