policy,max_nodes_per_level,run_seed,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
one_node_per_level,1,1,20,3,35840,35840,560,560
one_node_per_level,1,1,21,1,5120,5120,80,80
one_node_per_level,1,1,22,2,15360,15360,240,240
one_node_per_level,1,1,23,1,5120,5120,80,80
one_node_per_level,1,1,24,4,76800,76800,1200,1200
one_node_per_level,1,1,25,1,5120,5120,80,80
one_node_per_level,1,1,26,2,15360,15360,240,240
one_node_per_level,1,1,27,1,5120,5120,80,80
one_node_per_level,1,1,28,3,35840,35840,560,560
one_node_per_level,1,1,29,1,5120,5120,80,80
one_node_per_level,1,1,30,2,15360,15360,240,240
one_node_per_level,1,1,31,1,5120,5120,80,80
one_node_per_level,1,1,32,6,322560,322560,5040,5040
one_node_per_level,1,1,33,1,5120,5120,80,80
one_node_per_level,1,1,34,2,15360,15360,240,240
one_node_per_level,1,1,35,1,5120,5120,80,80
one_node_per_level,1,1,36,3,35840,35840,560,560
one_node_per_level,1,1,37,1,5120,5120,80,80
one_node_per_level,1,1,38,2,15360,15360,240,240
one_node_per_level,1,1,39,1,5120,5120,80,80
one_node_per_level,1,1,40,4,76800,76800,1200,1200
one_node_per_level,1,1,41,1,5120,5120,80,80
one_node_per_level,1,1,42,2,15360,15360,240,240
one_node_per_level,1,1,43,1,5120,5120,80,80
one_node_per_level,1,1,44,3,35840,35840,560,560
one_node_per_level,1,1,45,1,5120,5120,80,80
one_node_per_level,1,1,46,2,15360,15360,240,240
one_node_per_level,1,1,47,1,5120,5120,80,80
one_node_per_level,1,1,48,5,158720,158720,2480,2480
one_node_per_level,1,1,49,1,5120,5120,80,80
one_node_per_level,1,1,50,2,15360,15360,240,240
one_node_per_level,1,1,51,1,5120,5120,80,80
one_node_per_level,1,1,52,3,35840,35840,560,560
one_node_per_level,1,1,53,1,5120,5120,80,80
one_node_per_level,1,1,54,2,15360,15360,240,240
one_node_per_level,1,1,55,1,5120,5120,80,80
one_node_per_level,1,1,56,4,76800,76800,1200,1200
one_node_per_level,1,1,57,1,5120,5120,80,80
one_node_per_level,1,1,58,2,15360,15360,240,240
one_node_per_level,1,1,59,1,5120,5120,80,80
one_node_per_level,1,1,60,3,35840,35840,560,560
one_node_per_level,1,1,61,1,5120,5120,80,80
one_node_per_level,1,1,62,2,15360,15360,240,240
one_node_per_level,1,1,63,1,5120,5120,80,80
one_node_per_level,1,1,64,7,650240,650240,10160,10160
one_node_per_level,1,1,65,1,5120,5120,80,80
one_node_per_level,1,1,66,2,15360,15360,240,240
one_node_per_level,1,1,67,1,5120,5120,80,80
one_node_per_level,1,1,68,3,35840,35840,560,560
one_node_per_level,1,1,69,1,5120,5120,80,80
one_node_per_level,1,1,70,2,15360,15360,240,240
one_node_per_level,1,1,71,1,5120,5120,80,80
one_node_per_level,1,1,72,4,76800,76800,1200,1200
one_node_per_level,1,1,73,1,5120,5120,80,80
one_node_per_level,1,1,74,2,15360,15360,240,240
one_node_per_level,1,1,75,1,5120,5120,80,80
one_node_per_level,1,1,76,3,35840,35840,560,560
one_node_per_level,1,1,77,1,5120,5120,80,80
one_node_per_level,1,1,78,2,15360,15360,240,240
one_node_per_level,1,1,79,1,5120,5120,80,80
one_node_per_level,1,1,80,5,158720,158720,2480,2480
one_node_per_level,1,1,81,1,5120,5120,80,80
one_node_per_level,1,1,82,2,15360,15360,240,240
one_node_per_level,1,1,83,1,5120,5120,80,80
one_node_per_level,1,1,84,3,35840,35840,560,560
one_node_per_level,1,1,85,1,5120,5120,80,80
one_node_per_level,1,1,86,2,15360,15360,240,240
one_node_per_level,1,1,87,1,5120,5120,80,80
one_node_per_level,1,1,88,4,76800,76800,1200,1200
one_node_per_level,1,1,89,1,5120,5120,80,80
one_node_per_level,1,1,90,2,15360,15360,240,240
one_node_per_level,1,1,91,1,5120,5120,80,80
one_node_per_level,1,1,92,3,35840,35840,560,560
one_node_per_level,1,1,93,1,5120,5120,80,80
one_node_per_level,1,1,94,2,15360,15360,240,240
one_node_per_level,1,1,95,1,5120,5120,80,80
one_node_per_level,1,1,96,6,322560,322560,5040,5040
one_node_per_level,1,1,97,1,5120,5120,80,80
one_node_per_level,1,1,98,2,15360,15360,240,240
one_node_per_level,1,1,99,1,5120,5120,80,80
one_node_per_level,1,1,100,3,35840,35840,560,560
one_node_per_level,1,2,1,1,5120,5120,80,80
one_node_per_level,1,2,2,2,15360,15360,240,240
one_node_per_level,1,2,3,1,5120,5120,80,80
one_node_per_level,1,2,4,3,35840,35840,560,560
one_node_per_level,1,2,5,1,5120,5120,80,80
one_node_per_level,1,2,6,2,15360,15360,240,240
one_node_per_level,1,2,7,1,5120,5120,80,80
one_node_per_level,1,2,8,4,76800,76800,1200,1200
one_node_per_level,1,2,9,1,5120,5120,80,80
one_node_per_level,1,2,10,2,15360,15360,240,240
one_node_per_level,1,2,11,1,5120,5120,80,80
one_node_per_level,1,2,12,3,35840,35840,560,560
one_node_per_level,1,2,13,1,5120,5120,80,80
one_node_per_level,1,2,14,2,15360,15360,240,240
one_node_per_level,1,2,15,1,5120,5120,80,80
one_node_per_level,1,2,16,5,158720,158720,2480,2480
one_node_per_level,1,2,17,1,5120,5120,80,80
one_node_per_level,1,2,18,2,15360,15360,240,240
one_node_per_level,1,2,19,1,5120,5120,80,80
one_node_per_level,1,2,20,3,35840,35840,560,560
one_node_per_level,1,2,21,1,5120,5120,80,80
one_node_per_level,1,2,22,2,15360,15360,240,240
one_node_per_level,1,2,23,1,5120,5120,80,80
one_node_per_level,1,2,24,4,76800,76800,1200,1200
one_node_per_level,1,2,25,1,5120,5120,80,80
one_node_per_level,1,2,26,2,15360,15360,240,240
one_node_per_level,1,2,27,1,5120,5120,80,80
one_node_per_level,1,2,28,3,35840,35840,560,560
one_node_per_level,1,2,29,1,5120,5120,80,80
one_node_per_level,1,2,30,2,15360,15360,240,240
one_node_per_level,1,2,31,1,5120,5120,80,80
one_node_per_level,1,2,32,6,322560,322560,5040,5040
one_node_per_level,1,2,33,1,5120,5120,80,80
one_node_per_level,1,2,34,2,15360,15360,240,240
one_node_per_level,1,2,35,1,5120,5120,80,80
one_node_per_level,1,2,36,3,35840,35840,560,560
one_node_per_level,1,2,37,1,5120,5120,80,80
one_node_per_level,1,2,38,2,15360,15360,240,240
one_node_per_level,1,2,39,1,5120,5120,80,80
one_node_per_level,1,2,40,4,76800,76800,1200,1200
one_node_per_level,1,2,41,1,5120,5120,80,80
one_node_per_level,1,2,42,2,15360,15360,240,240
one_node_per_level,1,2,43,1,5120,5120,80,80
one_node_per_level,1,2,44,3,35840,35840,560,560
one_node_per_level,1,2,45,1,5120,5120,80,80
one_node_per_level,1,2,46,2,15360,15360,240,240
one_node_per_level,1,2,47,1,5120,5120,80,80
one_node_per_level,1,2,48,5,158720,158720,2480,2480
one_node_per_level,1,2,49,1,5120,5120,80,80
one_node_per_level,1,2,50,2,15360,15360,240,240
one_node_per_level,1,2,51,1,5120,5120,80,80
one_node_per_level,1,2,52,3,35840,35840,560,560
one_node_per_level,1,2,53,1,5120,5120,80,80
one_node_per_level,1,2,54,2,15360,15360,240,240
one_node_per_level,1,2,55,1,5120,5120,80,80
one_node_per_level,1,2,56,4,76800,76800,1200,1200
one_node_per_level,1,2,57,1,5120,5120,80,80
one_node_per_level,1,2,58,2,15360,15360,240,240
one_node_per_level,1,2,59,1,5120,5120,80,80
one_node_per_level,1,2,60,3,35840,35840,560,560
one_node_per_level,1,2,61,1,5120,5120,80,80
one_node_per_level,1,2,62,2,15360,15360,240,240
one_node_per_level,1,2,63,1,5120,5120,80,80
one_node_per_level,1,2,64,7,650240,650240,10160,10160
one_node_per_level,1,2,65,1,5120,5120,80,80
one_node_per_level,1,2,66,2,15360,15360,240,240
one_node_per_level,1,2,67,1,5120,5120,80,80
one_node_per_level,1,2,68,3,35840,35840,560,560
one_node_per_level,1,2,69,1,5120,5120,80,80
one_node_per_level,1,2,70,2,15360,15360,240,240
one_node_per_level,1,2,71,1,5120,5120,80,80
one_node_per_level,1,2,72,4,76800,76800,1200,1200
one_node_per_level,1,2,73,1,5120,5120,80,80
one_node_per_level,1,2,74,2,15360,15360,240,240
one_node_per_level,1,2,75,1,5120,5120,80,80
one_node_per_level,1,2,76,3,35840,35840,560,560
one_node_per_level,1,2,77,1,5120,5120,80,80
one_node_per_level,1,2,78,2,15360,15360,240,240
one_node_per_level,1,2,79,1,5120,5120,80,80
one_node_per_level,1,2,80,5,158720,158720,2480,2480
one_node_per_level,1,2,81,1,5120,5120,80,80
one_node_per_level,1,2,82,2,15360,15360,240,240
one_node_per_level,1,2,83,1,5120,5120,80,80
one_node_per_level,1,2,84,3,35840,35840,560,560
one_node_per_level,1,2,85,1,5120,5120,80,80
one_node_per_level,1,2,86,2,15360,15360,240,240
one_node_per_level,1,2,87,1,5120,5120,80,80
one_node_per_level,1,2,88,4,76800,76800,1200,1200
one_node_per_level,1,2,89,1,5120,5120,80,80
one_node_per_level,1,2,90,2,15360,15360,240,240
one_node_per_level,1,2,91,1,5120,5120,80,80
one_node_per_level,1,2,92,3,35840,35840,560,560
one_node_per_level,1,2,93,1,5120,5120,80,80
one_node_per_level,1,2,94,2,15360,15360,240,240
one_node_per_level,1,2,95,1,5120,5120,80,80
one_node_per_level,1,2,96,6,322560,322560,5040,5040
one_node_per_level,1,2,97,1,5120,5120,80,80
one_node_per_level,1,2,98,2,15360,15360,240,240
one_node_per_level,1,2,99,1,5120,5120,80,80
one_node_per_level,1,2,100,3,35840,35840,560,560
one_node_per_level,1,3,1,1,5120,5120,80,80
one_node_per_level,1,3,2,2,15360,15360,240,240
one_node_per_level,1,3,3,1,5120,5120,80,80
one_node_per_level,1,3,4,3,35840,35840,560,560
one_node_per_level,1,3,5,1,5120,5120,80,80
one_node_per_level,1,3,6,2,15360,15360,240,240
one_node_per_level,1,3,7,1,5120,5120,80,80
one_node_per_level,1,3,8,4,76800,76800,1200,1200
one_node_per_level,1,3,9,1,5120,5120,80,80
one_node_per_level,1,3,10,2,15360,15360,240,240
one_node_per_level,1,3,11,1,5120,5120,80,80
one_node_per_level,1,3,12,3,35840,35840,560,560
one_node_per_level,1,3,13,1,5120,5120,80,80
one_node_per_level,1,3,14,2,15360,15360,240,240
one_node_per_level,1,3,15,1,5120,5120,80,80
one_node_per_level,1,3,16,5,158720,158720,2480,2480
one_node_per_level,1,3,17,1,5120,5120,80,80
one_node_per_level,1,3,18,2,15360,15360,240,240
one_node_per_level,1,3,19,1,5120,5120,80,80
one_node_per_level,1,3,20,3,35840,35840,560,560
one_node_per_level,1,3,21,1,5120,5120,80,80
one_node_per_level,1,3,22,2,15360,15360,240,240
one_node_per_level,1,3,23,1,5120,5120,80,80
one_node_per_level,1,3,24,4,76800,76800,1200,1200
one_node_per_level,1,3,25,1,5120,5120,80,80
one_node_per_level,1,3,26,2,15360,15360,240,240
one_node_per_level,1,3,27,1,5120,5120,80,80
one_node_per_level,1,3,28,3,35840,35840,560,560
one_node_per_level,1,3,29,1,5120,5120,80,80
one_node_per_level,1,3,30,2,15360,15360,240,240
one_node_per_level,1,3,31,1,5120,5120,80,80
one_node_per_level,1,3,32,6,322560,322560,5040,5040
one_node_per_level,1,3,33,1,5120,5120,80,80
one_node_per_level,1,3,34,2,15360,15360,240,240
one_node_per_level,1,3,35,1,5120,5120,80,80
one_node_per_level,1,3,36,3,35840,35840,560,560
one_node_per_level,1,3,37,1,5120,5120,80,80
one_node_per_level,1,3,38,2,15360,15360,240,240
one_node_per_level,1,3,39,1,5120,5120,80,80
one_node_per_level,1,3,40,4,76800,76800,1200,1200
one_node_per_level,1,3,41,1,5120,5120,80,80
one_node_per_level,1,3,42,2,15360,15360,240,240
one_node_per_level,1,3,43,1,5120,5120,80,80
one_node_per_level,1,3,44,3,35840,35840,560,560
one_node_per_level,1,3,45,1,5120,5120,80,80
one_node_per_level,1,3,46,2,15360,15360,240,240
one_node_per_level,1,3,47,1,5120,5120,80,80
one_node_per_level,1,3,48,5,158720,158720,2480,2480
one_node_per_level,1,3,49,1,5120,5120,80,80
one_node_per_level,1,3,50,2,15360,15360,240,240
one_node_per_level,1,3,51,1,5120,5120,80,80
one_node_per_level,1,3,52,3,35840,35840,560,560
one_node_per_level,1,3,53,1,5120,5120,80,80
one_node_per_level,1,3,54,2,15360,15360,240,240
one_node_per_level,1,3,55,1,5120,5120,80,80
one_node_per_level,1,3,56,4,76800,76800,1200,1200
one_node_per_level,1,3,57,1,5120,5120,80,80
one_node_per_level,1,3,58,2,15360,15360,240,240
one_node_per_level,1,3,59,1,5120,5120,80,80
one_node_per_level,1,3,60,3,35840,35840,560,560
one_node_per_level,1,3,61,1,5120,5120,80,80
one_node_per_level,1,3,62,2,15360,15360,240,240
one_node_per_level,1,3,63,1,5120,5120,80,80
one_node_per_level,1,3,64,7,650240,650240,10160,10160
one_node_per_level,1,3,65,1,5120,5120,80,80
one_node_per_level,1,3,66,2,15360,15360,240,240
one_node_per_level,1,3,67,1,5120,5120,80,80
one_node_per_level,1,3,68,3,35840,35840,560,560
one_node_per_level,1,3,69,1,5120,5120,80,80
one_node_per_level,1,3,70,2,15360,15360,240,240
one_node_per_level,1,3,71,1,5120,5120,80,80
one_node_per_level,1,3,72,4,76800,76800,1200,1200
one_node_per_level,1,3,73,1,5120,5120,80,80
one_node_per_level,1,3,74,2,15360,15360,240,240
one_node_per_level,1,3,75,1,5120,5120,80,80
one_node_per_level,1,3,76,3,35840,35840,560,560
one_node_per_level,1,3,77,1,5120,5120,80,80
one_node_per_level,1,3,78,2,15360,15360,240,240
one_node_per_level,1,3,79,1,5120,5120,80,80
one_node_per_level,1,3,80,5,158720,158720,2480,2480
one_node_per_level,1,3,81,1,5120,5120,80,80
one_node_per_level,1,3,82,2,15360,15360,240,240
one_node_per_level,1,3,83,1,5120,5120,80,80
one_node_per_level,1,3,84,3,35840,35840,560,560
one_node_per_level,1,3,85,1,5120,5120,80,80
one_node_per_level,1,3,86,2,15360,15360,240,240
one_node_per_level,1,3,87,1,5120,5120,80,80
one_node_per_level,1,3,88,4,76800,76800,1200,1200
one_node_per_level,1,3,89,1,5120,5120,80,80
one_node_per_level,1,3,90,2,15360,15360,240,240
one_node_per_level,1,3,91,1,5120,5120,80,80
one_node_per_level,1,3,92,3,35840,35840,560,560
