accuracy,condition,partition,stage,task
82.27847814559937,static__example_uniform__reset_each_stage,validation,31,11
80.64516186714172,static__example_uniform__reset_each_stage,validation,31,12
85.29411554336548,static__example_uniform__reset_each_stage,validation,31,13
90.56603908538818,static__example_uniform__reset_each_stage,validation,31,14
87.09677457809448,static__example_uniform__reset_each_stage,validation,31,15
76.41509175300598,static__example_uniform__reset_each_stage,validation,31,16
73.73737096786499,static__example_uniform__reset_each_stage,validation,31,17
77.64706015586853,static__example_uniform__reset_each_stage,validation,31,18
77.01149582862854,static__example_uniform__reset_each_stage,validation,31,19
82.35294222831726,static__example_uniform__reset_each_stage,validation,31,2
78.04877758026123,static__example_uniform__reset_each_stage,validation,31,20
81.03448152542114,static__example_uniform__reset_each_stage,validation,31,21
73.95833134651184,static__example_uniform__reset_each_stage,validation,31,22
74.46808218955994,static__example_uniform__reset_each_stage,validation,31,23
75.71428418159485,static__example_uniform__reset_each_stage,validation,31,24
71.69811129570007,static__example_uniform__reset_each_stage,validation,31,25
82.82828330993652,static__example_uniform__reset_each_stage,validation,31,26
74.72527623176575,static__example_uniform__reset_each_stage,validation,31,27
81.4814805984497,static__example_uniform__reset_each_stage,validation,31,28
68.478262424469,static__example_uniform__reset_each_stage,validation,31,29
86.32478713989258,static__example_uniform__reset_each_stage,validation,31,3
78.36257219314575,static__example_uniform__reset_each_stage,validation,31,30
78.02197933197021,static__example_uniform__reset_each_stage,validation,31,31
82.01438784599304,static__example_uniform__reset_each_stage,validation,31,4
77.66990065574646,static__example_uniform__reset_each_stage,validation,31,5
88.42105269432068,static__example_uniform__reset_each_stage,validation,31,6
84.78260636329651,static__example_uniform__reset_each_stage,validation,31,7
85.98130941390991,static__example_uniform__reset_each_stage,validation,31,8
80.0000011920929,static__example_uniform__reset_each_stage,validation,31,9
96.0629940032959,static__task_uniform__carry,fit_population,31,1
98.17351698875427,static__task_uniform__carry,fit_population,31,10
95.56962251663208,static__task_uniform__carry,fit_population,31,11
95.652174949646,static__task_uniform__carry,fit_population,31,12
96.57701849937439,static__task_uniform__carry,fit_population,31,13
95.95237970352173,static__task_uniform__carry,fit_population,31,14
97.8494644165039,static__task_uniform__carry,fit_population,31,15
96.92671298980713,static__task_uniform__carry,fit_population,31,16
96.49122953414917,static__task_uniform__carry,fit_population,31,17
95.56213021278381,static__task_uniform__carry,fit_population,31,18
91.0404622554779,static__task_uniform__carry,fit_population,31,19
97.81553149223328,static__task_uniform__carry,fit_population,31,2
96.29629850387573,static__task_uniform__carry,fit_population,31,20
95.46436071395874,static__task_uniform__carry,fit_population,31,21
97.91666865348816,static__task_uniform__carry,fit_population,31,22
93.58288645744324,static__task_uniform__carry,fit_population,31,23
95.9854006767273,static__task_uniform__carry,fit_population,31,24
97.0873773097992,static__task_uniform__carry,fit_population,31,25
96.44669890403748,static__task_uniform__carry,fit_population,31,26
95.54317593574524,static__task_uniform__carry,fit_population,31,27
97.83281683921814,static__task_uniform__carry,fit_population,31,28
94.7802186012268,static__task_uniform__carry,fit_population,31,29
96.16204500198364,static__task_uniform__carry,fit_population,31,3
90.94890356063843,static__task_uniform__carry,fit_population,31,30
92.09809303283691,static__task_uniform__carry,fit_population,31,31
97.52212166786194,static__task_uniform__carry,fit_population,31,4
97.57869243621826,static__task_uniform__carry,fit_population,31,5
97.15762138366699,static__task_uniform__carry,fit_population,31,6
96.47696614265442,static__task_uniform__carry,fit_population,31,7
96.96261882781982,static__task_uniform__carry,fit_population,31,8
96.93396091461182,static__task_uniform__carry,fit_population,31,9
87.2340440750122,static__task_uniform__carry,validation,31,1
88.07339668273926,static__task_uniform__carry,validation,31,10
78.48101258277893,static__task_uniform__carry,validation,31,11
88.17204236984253,static__task_uniform__carry,validation,31,12
88.23529481887817,static__task_uniform__carry,validation,31,13
90.56603908538818,static__task_uniform__carry,validation,31,14
89.24731016159058,static__task_uniform__carry,validation,31,15
82.07547068595886,static__task_uniform__carry,validation,31,16
72.72727489471436,static__task_uniform__carry,validation,31,17
76.47058963775635,static__task_uniform__carry,validation,31,18
70.11494040489197,static__task_uniform__carry,validation,31,19
84.3137264251709,static__task_uniform__carry,validation,31,2
78.04877758026123,static__task_uniform__carry,validation,31,20
74.13793206214905,static__task_uniform__carry,validation,31,21
71.875,static__task_uniform__carry,validation,31,22
73.40425252914429,static__task_uniform__carry,validation,31,23
77.14285850524902,static__task_uniform__carry,validation,31,24
69.8113203048706,static__task_uniform__carry,validation,31,25
74.7474730014801,static__task_uniform__carry,validation,31,26
75.82417726516724,static__task_uniform__carry,validation,31,27
83.95061492919922,static__task_uniform__carry,validation,31,28
73.9130437374115,static__task_uniform__carry,validation,31,29
88.88888955116272,static__task_uniform__carry,validation,31,3
78.36257219314575,static__task_uniform__carry,validation,31,30
82.41758346557617,static__task_uniform__carry,validation,31,31
85.61151027679443,static__task_uniform__carry,validation,31,4
82.52426981925964,static__task_uniform__carry,validation,31,5
86.3157868385315,static__task_uniform__carry,validation,31,6
88.04348111152649,static__task_uniform__carry,validation,31,7
89.71962332725525,static__task_uniform__carry,validation,31,8
80.95238208770752,static__task_uniform__carry,validation,31,9
97.11285829544067,static__task_uniform__reset_each_stage,fit_population,31,1
97.03196287155151,static__task_uniform__reset_each_stage,fit_population,31,10
97.46835231781006,static__task_uniform__reset_each_stage,fit_population,31,11
97.0108687877655,static__task_uniform__reset_each_stage,fit_population,31,12
96.57701849937439,static__task_uniform__reset_each_stage,fit_population,31,13
97.14285731315613,static__task_uniform__reset_each_stage,fit_population,31,14
98.65591526031494,static__task_uniform__reset_each_stage,fit_population,31,15
98.10874462127686,static__task_uniform__reset_each_stage,fit_population,31,16
97.99498915672302,static__task_uniform__reset_each_stage,fit_population,31,17
96.44970297813416,static__task_uniform__reset_each_stage,fit_population,31,18
95.37572264671326,static__task_uniform__reset_each_stage,fit_population,31,19
98.54369163513184,static__task_uniform__reset_each_stage,fit_population,31,2
94.75308656692505,static__task_uniform__reset_each_stage,fit_population,31,20
94.38444972038269,static__task_uniform__reset_each_stage,fit_population,31,21
97.39583134651184,static__task_uniform__reset_each_stage,fit_population,31,22
94.11764740943909,static__task_uniform__reset_each_stage,fit_population,31,23
96.35036587715149,static__task_uniform__reset_each_stage,fit_population,31,24
94.17475461959839,static__task_uniform__reset_each_stage,fit_population,31,25
92.63959527015686,static__task_uniform__reset_each_stage,fit_population,31,26
93.87186765670776,static__task_uniform__reset_each_stage,fit_population,31,27
96.28483057022095,static__task_uniform__reset_each_stage,fit_population,31,28
89.83516693115234,static__task_uniform__reset_each_stage,fit_population,31,29
97.65458703041077,static__task_uniform__reset_each_stage,fit_population,31,3
85.83941459655762,static__task_uniform__reset_each_stage,fit_population,31,30
84.74114537239075,static__task_uniform__reset_each_stage,fit_population,31,31
98.2300877571106,static__task_uniform__reset_each_stage,fit_population,31,4
97.82082438468933,static__task_uniform__reset_each_stage,fit_population,31,5
97.15762138366699,static__task_uniform__reset_each_stage,fit_population,31,6
97.56097793579102,static__task_uniform__reset_each_stage,fit_population,31,7
97.19626307487488,static__task_uniform__reset_each_stage,fit_population,31,8
96.69811129570007,static__task_uniform__reset_each_stage,fit_population,31,9
85.10638475418091,static__task_uniform__reset_each_stage,validation,31,1
85.3210985660553,static__task_uniform__reset_each_stage,validation,31,10
82.27847814559937,static__task_uniform__reset_each_stage,validation,31,11
84.94623899459839,static__task_uniform__reset_each_stage,validation,31,12
87.25489974021912,static__task_uniform__reset_each_stage,validation,31,13
88.67924809455872,static__task_uniform__reset_each_stage,validation,31,14
88.17204236984253,static__task_uniform__reset_each_stage,validation,31,15
80.1886796951294,static__task_uniform__reset_each_stage,validation,31,16
77.77777910232544,static__task_uniform__reset_each_stage,validation,31,17
76.47058963775635,static__task_uniform__reset_each_stage,validation,31,18
74.71264600753784,static__task_uniform__reset_each_stage,validation,31,19
85.29411554336548,static__task_uniform__reset_each_stage,validation,31,2
79.2682945728302,static__task_uniform__reset_each_stage,validation,31,20
81.03448152542114,static__task_uniform__reset_each_stage,validation,31,21
77.08333134651184,static__task_uniform__reset_each_stage,validation,31,22
71.27659320831299,static__task_uniform__reset_each_stage,validation,31,23
80.0000011920929,static__task_uniform__reset_each_stage,validation,31,24
75.47169923782349,static__task_uniform__reset_each_stage,validation,31,25
76.76767706871033,static__task_uniform__reset_each_stage,validation,31,26
79.1208803653717,static__task_uniform__reset_each_stage,validation,31,27
82.71604776382446,static__task_uniform__reset_each_stage,validation,31,28
77.173912525177,static__task_uniform__reset_each_stage,validation,31,29
88.034188747406,static__task_uniform__reset_each_stage,validation,31,3
78.94737124443054,static__task_uniform__reset_each_stage,validation,31,30
75.82417726516724,static__task_uniform__reset_each_stage,validation,31,31
82.01438784599304,static__task_uniform__reset_each_stage,validation,31,4
82.52426981925964,static__task_uniform__reset_each_stage,validation,31,5
86.3157868385315,static__task_uniform__reset_each_stage,validation,31,6
86.95651888847351,static__task_uniform__reset_each_stage,validation,31,7
88.78504633903503,static__task_uniform__reset_each_stage,validation,31,8
85.71428656578064,static__task_uniform__reset_each_stage,validation,31,9
98.95012974739075,rotating__example_uniform__carry,fit_population,31,1
99.0867555141449,rotating__example_uniform__carry,fit_population,31,10
99.36708807945251,rotating__example_uniform__carry,fit_population,31,11
98.9130437374115,rotating__example_uniform__carry,fit_population,31,12
98.77750873565674,rotating__example_uniform__carry,fit_population,31,13
98.8095223903656,rotating__example_uniform__carry,fit_population,31,14
99.46236610412598,rotating__example_uniform__carry,fit_population,31,15
98.58155846595764,rotating__example_uniform__carry,fit_population,31,16
99.24812316894531,rotating__example_uniform__carry,fit_population,31,17
99.11242723464966,rotating__example_uniform__carry,fit_population,31,18
97.97688126564026,rotating__example_uniform__carry,fit_population,31,19
98.54369163513184,rotating__example_uniform__carry,fit_population,31,2
97.83950448036194,rotating__example_uniform__carry,fit_population,31,20
98.70410561561584,rotating__example_uniform__carry,fit_population,31,21
98.95833134651184,rotating__example_uniform__carry,fit_population,31,22
98.66310358047485,rotating__example_uniform__carry,fit_population,31,23
97.81022071838379,rotating__example_uniform__carry,fit_population,31,24
98.54369163513184,rotating__example_uniform__carry,fit_population,31,25
95.68527936935425,rotating__example_uniform__carry,fit_population,31,26
95.54317593574524,rotating__example_uniform__carry,fit_population,31,27
93.49845051765442,rotating__example_uniform__carry,fit_population,31,28
93.40659379959106,rotating__example_uniform__carry,fit_population,31,29
99.14712309837341,rotating__example_uniform__carry,fit_population,31,3
93.284672498703,rotating__example_uniform__carry,fit_population,31,30
93.18801164627075,rotating__example_uniform__carry,fit_population,31,31
98.93805384635925,rotating__example_uniform__carry,fit_population,31,4
98.0629563331604,rotating__example_uniform__carry,fit_population,31,5
99.22480583190918,rotating__example_uniform__carry,fit_population,31,6
99.18699264526367,rotating__example_uniform__carry,fit_population,31,7
99.53271150588989,rotating__example_uniform__carry,fit_population,31,8
99.29245114326477,rotating__example_uniform__carry,fit_population,31,9
85.10638475418091,rotating__example_uniform__carry,validation,31,1
89.90825414657593,rotating__example_uniform__carry,validation,31,10
84.8101258277893,rotating__example_uniform__carry,validation,31,11
90.32257795333862,rotating__example_uniform__carry,validation,31,12
87.25489974021912,rotating__example_uniform__carry,validation,31,13
92.45283007621765,rotating__example_uniform__carry,validation,31,14
88.17204236984253,rotating__example_uniform__carry,validation,31,15
77.35849022865295,rotating__example_uniform__carry,validation,31,16
74.7474730014801,rotating__example_uniform__carry,validation,31,17
77.64706015586853,rotating__example_uniform__carry,validation,31,18
81.60919547080994,rotating__example_uniform__carry,validation,31,19
87.25489974021912,rotating__example_uniform__carry,validation,31,2
81.70731663703918,rotating__example_uniform__carry,validation,31,20
75.86206793785095,rotating__example_uniform__carry,validation,31,21
77.08333134651184,rotating__example_uniform__carry,validation,31,22
69.14893388748169,rotating__example_uniform__carry,validation,31,23
