effect,factor,maximum_effect_pp,mean_effect_pp,minimum_effect_pp,paired_cells,stage
inherited - fresh,head_initialization,-0.7067137809187329,-1.4134275618374588,-2.0023557126030624,4,8
wd=0 - wd=5e-4,weight_decay,0.2355712603062443,0.11778563015312216,0.0,4,8
parent - joint schedule,seed_schedule,0.5889281507655966,-0.058892815076568183,-0.7067137809187329,4,8
inherited - fresh,head_initialization,-3.1059683313032878,-3.242996345919611,-3.532277710109625,4,16
wd=0 - wd=5e-4,weight_decay,0.12180267965895553,-0.0456760048721101,-0.3654080389768666,4,16
parent - joint schedule,seed_schedule,0.0,-0.10657734470158786,-0.3654080389768666,4,16
inherited - fresh,head_initialization,-4.886617694027464,-5.581283934845093,-6.22804215905461,4,32
wd=0 - wd=5e-4,weight_decay,0.09581603321622367,-0.07186202491216775,-0.19163206643244735,4,32
parent - joint schedule,seed_schedule,1.022037687639724,0.31140210795272694,-0.3193867773874217,4,32
