condition_key,condition_label,cross_entropy,epoch,evaluation_seconds,head_bias_mean,head_bias_std,head_weight_norm_mean,head_weight_norm_std,image_presentations,job_hash,optimizer_steps,peak_vram_bytes,replication_seed,stage,training_seconds,validation_accuracy,validation_examples
fresh__wd0__joint,Fresh head | wd=0 | joint seed/order,5.571140377588307,0,1.8391504380851984,0.0,0.0,0.5768320560455322,0.18937785923480988,0,62972a32086139fcf2553a13ca8675fe82e13d451134d8263306dbcd0fbb91a4,0,0,1993,16,0.0,0.97442143727162,1642
fresh__wd0__joint,Fresh head | wd=0 | joint seed/order,0.8185859777750255,5,1.8986608907580376,-8.75646946951747e-06,0.00807053130120039,1.233194351196289,0.27018988132476807,32970,62972a32086139fcf2553a13ca8675fe82e13d451134d8263306dbcd0fbb91a4,520,4143520768,1993,16,51.792299596592784,80.38976857490864,1642
fresh__wd0__parent,Fresh head | wd=0 | parent seed/order,4.8710770972898905,0,1.9280604664236307,0.0,0.0,0.5548702478408813,0.012704071588814259,0,51535f21d5b879026f03eeb970170bb79699a8c7f81eec5c18b61fca4beab1ed,0,0,1993,16,0.0,2.0706455542021924,1642
fresh__wd0__parent,Fresh head | wd=0 | parent seed/order,0.8298377874562569,5,1.9100262857973576,1.0357602150179446e-05,0.006980333477258682,1.1754323244094849,0.18339334428310394,32970,51535f21d5b879026f03eeb970170bb79699a8c7f81eec5c18b61fca4beab1ed,520,4143520768,1993,16,51.886940371245146,80.38976857490864,1642
fresh__wd5e4__joint,Fresh head | wd=5e-4 | joint seed/order,5.571140377588307,0,1.867998206987977,0.0,0.0,0.5768320560455322,0.18937785923480988,0,31a3b03073b55e71e7fb1012e87029694c98b081587ce85412be0a031fb4fedd,0,0,1993,16,0.0,0.97442143727162,1642
fresh__wd5e4__joint,Fresh head | wd=5e-4 | joint seed/order,0.816915174059107,5,1.88130297139287,6.322225090116262e-07,0.007926607504487038,1.2158012390136719,0.2689157724380493,32970,31a3b03073b55e71e7fb1012e87029694c98b081587ce85412be0a031fb4fedd,520,4143520768,1993,16,52.06679627299309,80.75517661388551,1642
fresh__wd5e4__parent,Fresh head | wd=5e-4 | parent seed/order,4.8710770972898905,0,1.9175038244575262,0.0,0.0,0.5548702478408813,0.012704071588814259,0,5bb7b0d0bc78c933ec9dcc5e3325af4dbefa1dbc5220f27ebfa596b064cf0ffc,0,0,1993,16,0.0,2.0706455542021924,1642
fresh__wd5e4__parent,Fresh head | wd=5e-4 | parent seed/order,0.826907049869068,5,1.8452708534896374,-1.0760246368590742e-05,0.006913363467901945,1.1596198081970215,0.1831781417131424,32970,5bb7b0d0bc78c933ec9dcc5e3325af4dbefa1dbc5220f27ebfa596b064cf0ffc,520,4143520768,1993,16,51.6536861192435,80.38976857490864,1642
inherited_union__wd0__joint,Inherited union head | wd=0 | joint seed/order,1.489301168090969,0,1.9000000841915607,4.7289649955928326e-06,0.013025088235735893,1.6412897109985352,0.20127469301223755,0,b1b707958ed2f39ac8b5c4acce4cd4b5fc4ae2a62108c6f61c39c2edc8e3b349,0,0,1993,16,0.0,70.64555420219244,1642
inherited_union__wd0__joint,Inherited union head | wd=0 | joint seed/order,1.048142550488192,5,1.8434431962668896,1.1210184311494231e-05,0.014531753957271576,1.8113503456115723,0.2619432508945465,32970,b1b707958ed2f39ac8b5c4acce4cd4b5fc4ae2a62108c6f61c39c2edc8e3b349,520,4143520768,1993,16,51.965634278953075,77.28380024360536,1642
inherited_union__wd0__parent,Inherited union head | wd=0 | parent seed/order,1.489301168090969,0,1.8577750716358423,4.7289649955928326e-06,0.013025088235735893,1.6412897109985352,0.20127469301223755,0,f1c452468ceb6a31ecf6045eb6b3c96b6956d07324ad0d66065d04909e502a7c,0,0,1993,16,0.0,70.64555420219244,1642
inherited_union__wd0__parent,Inherited union head | wd=0 | parent seed/order,1.0636491740664669,5,1.8775982912629843,1.3048556866124272e-05,0.016270499676465988,1.8129184246063232,0.23616069555282593,32970,f1c452468ceb6a31ecf6045eb6b3c96b6956d07324ad0d66065d04909e502a7c,520,4146043904,1993,16,0.0,77.28380024360536,1642
inherited_union__wd5e4__joint,Inherited union head | wd=5e-4 | joint seed/order,1.489301168090969,0,1.9445294495671988,4.7289649955928326e-06,0.013025088235735893,1.6412897109985352,0.20127469301223755,0,05a9b928d68918d76d0ef170d20685ea568eb6fc307505e3ff777562027eda63,0,0,1993,16,0.0,70.64555420219244,1642
inherited_union__wd5e4__joint,Inherited union head | wd=5e-4 | joint seed/order,1.0427071342514727,5,1.843134419992566,1.2111442629247904e-05,0.014225300401449203,1.7705140113830566,0.25439801812171936,32970,05a9b928d68918d76d0ef170d20685ea568eb6fc307505e3ff777562027eda63,520,4143520768,1993,16,51.91887429729104,77.22289890377589,1642
inherited_union__wd5e4__parent,Inherited union head | wd=5e-4 | parent seed/order,1.489301168090969,0,1.8471054043620825,4.7289649955928326e-06,0.013025088235735893,1.6412897109985352,0.20127469301223755,0,2606e0186cbf49cf01751c616594baeae7225d164622fda80ace764049e177a4,0,0,1993,16,0.0,70.64555420219244,1642
inherited_union__wd5e4__parent,Inherited union head | wd=5e-4 | parent seed/order,1.0586927044551353,5,1.8724735286086798,1.5295168850570917e-05,0.016119334846735,1.7787145376205444,0.24028325080871582,32970,2606e0186cbf49cf01751c616594baeae7225d164622fda80ace764049e177a4,520,4143520768,1993,16,51.85643291473389,77.1619975639464,1642
fresh__wd0__joint,Fresh head | wd=0 | joint seed/order,6.168556371766209,0,3.022994387894869,0.0,0.0,0.5658996105194092,0.13479018211364746,0,0420aab52e2becaa4958407a168014a2939a4cc1e4777f2e1dcab876873dfc79,0,0,1993,32,0.0,0.5429575215586074,3131
fresh__wd0__joint,Fresh head | wd=0 | joint seed/order,0.9516784329263596,5,2.9754686690866947,-3.0460068956017494e-07,0.008021203801035881,1.1452035903930664,0.1459520012140274,62600,0420aab52e2becaa4958407a168014a2939a4cc1e4777f2e1dcab876873dfc79,980,4143922688,1993,32,95.59051197767258,78.05812839348451,3131
fresh__wd0__parent,Fresh head | wd=0 | parent seed/order,5.591816212871287,0,3.068071423098445,0.0,0.0,0.5541951060295105,0.014370918273925781,0,b1a4e3dc086efb01c18497ef16bad0703c01e6520e53c3eecf6ee0b8f25095be,0,0,1993,32,0.0,0.9900990099009901,3131
fresh__wd0__parent,Fresh head | wd=0 | parent seed/order,0.9265674139051459,5,2.9822948407381773,-4.453104338608682e-06,0.006445345003157854,1.138442873954773,0.13038618862628937,62600,b1a4e3dc086efb01c18497ef16bad0703c01e6520e53c3eecf6ee0b8f25095be,980,4143922688,1993,32,95.86125273257494,77.73874161609709,3131
fresh__wd5e4__joint,Fresh head | wd=5e-4 | joint seed/order,6.168556371766209,0,3.0169996805489063,0.0,0.0,0.5658996105194092,0.13479018211364746,0,8093a475a648547483f85e002b68966e667d5ca43b9d1621c2995e26a71e5a30,0,0,1993,32,0.0,0.5429575215586074,3131
fresh__wd5e4__joint,Fresh head | wd=5e-4 | joint seed/order,0.952196443473063,5,3.0036374237388372,2.6060733944177628e-06,0.007825080305337906,1.115576982498169,0.14313900470733643,62600,8093a475a648547483f85e002b68966e667d5ca43b9d1621c2995e26a71e5a30,980,4143922688,1993,32,95.57517701759934,78.09006707122325,3131
fresh__wd5e4__parent,Fresh head | wd=5e-4 | parent seed/order,5.591816212871287,0,2.9554471615701914,0.0,0.0,0.5541951060295105,0.014370918273925781,0,29324ea269a4b85f39edcd19f553f469b3d4cf31395ad1160fcf383dc4f5c721,0,0,1993,32,0.0,0.9900990099009901,3131
fresh__wd5e4__parent,Fresh head | wd=5e-4 | parent seed/order,0.9251211562959274,5,3.0498119983822107,-7.745024049654603e-06,0.006309208460152149,1.1090643405914307,0.12918168306350708,62600,29324ea269a4b85f39edcd19f553f469b3d4cf31395ad1160fcf383dc4f5c721,980,4143922688,1993,32,96.04953424818814,77.8984350047908,3131
inherited_union__wd0__joint,Inherited union head | wd=0 | joint seed/order,2.0375582982236606,0,3.003515200689435,1.1217081919312477e-05,0.015693793073296547,1.7864065170288086,0.2308313250541687,0,b4cd52c9ab7df86b367a33f7d964e928c12a08342666c5018ec424167fa54157,0,0,1993,32,0.0,64.58000638773555,3131
inherited_union__wd0__joint,Inherited union head | wd=0 | joint seed/order,1.3745253364029344,5,3.021047066897154,1.1284719221293926e-05,0.01769944280385971,1.90121591091156,0.22936232388019562,62600,b4cd52c9ab7df86b367a33f7d964e928c12a08342666c5018ec424167fa54157,980,4143922688,1993,32,95.99649954214692,71.8300862344299,3131
inherited_union__wd0__parent,Inherited union head | wd=0 | parent seed/order,2.0375582982236606,0,3.0641164798289537,1.1217081919312477e-05,0.015693793073296547,1.7864065170288086,0.2308313250541687,0,4d35a693b4dd8d0f38c959d98311f2c3779f24e6c8c92c76eb130d1016f30022,0,0,1993,32,0.0,64.58000638773555,3131
inherited_union__wd0__parent,Inherited union head | wd=0 | parent seed/order,1.3463796130082586,5,2.961964823305607,1.56897003762424e-05,0.017301106825470924,1.9012807607650757,0.22781504690647125,62600,4d35a693b4dd8d0f38c959d98311f2c3779f24e6c8c92c76eb130d1016f30022,980,4145036800,1993,32,0.0,72.85212392206962,3131
inherited_union__wd5e4__joint,Inherited union head | wd=5e-4 | joint seed/order,2.0375582982236606,0,3.010512877255678,1.1217081919312477e-05,0.015693793073296547,1.7864065170288086,0.2308313250541687,0,88e163f4a52d8f7d964fd9ce13abdca9149db09151f1bd5f58ae3f6fb6e2efbc,0,0,1993,32,0.0,64.58000638773555,3131
inherited_union__wd5e4__joint,Inherited union head | wd=5e-4 | joint seed/order,1.3630469318244907,5,3.1198375783860683,1.7073703929781914e-05,0.016986584290862083,1.8220000267028809,0.22043897211551666,62600,88e163f4a52d8f7d964fd9ce13abdca9149db09151f1bd5f58ae3f6fb6e2efbc,980,4143922688,1993,32,95.96604927070439,72.02171830086235,3131
inherited_union__wd5e4__parent,Inherited union head | wd=5e-4 | parent seed/order,2.0375582982236606,0,3.021895231679082,1.1217081919312477e-05,0.015693793073296547,1.7864065170288086,0.2308313250541687,0,962c62be7844388e5937166054f6e5e2cda8d34c4651364bb411662d92273e61,0,0,1993,32,0.0,64.58000638773555,3131
inherited_union__wd5e4__parent,Inherited union head | wd=5e-4 | parent seed/order,1.3306147143773017,5,3.033299872651696,1.4709890820086002e-05,0.016588324680924416,1.8219490051269531,0.21885569393634796,62600,962c62be7844388e5937166054f6e5e2cda8d34c4651364bb411662d92273e61,980,4143922688,1993,32,95.86598957888782,72.7563078888534,3131
