accuracy,condition,partition,stage,task
73.41772317886353,static__example_uniform__reset_each_stage,validation,31,11
84.94623899459839,static__example_uniform__reset_each_stage,validation,31,12
88.23529481887817,static__example_uniform__reset_each_stage,validation,31,13
91.50943160057068,static__example_uniform__reset_each_stage,validation,31,14
82.79569745063782,static__example_uniform__reset_each_stage,validation,31,15
78.30188870429993,static__example_uniform__reset_each_stage,validation,31,16
65.65656661987305,static__example_uniform__reset_each_stage,validation,31,17
74.11764860153198,static__example_uniform__reset_each_stage,validation,31,18
67.81609058380127,static__example_uniform__reset_each_stage,validation,31,19
82.35294222831726,static__example_uniform__reset_each_stage,validation,31,2
71.95122241973877,static__example_uniform__reset_each_stage,validation,31,20
73.2758641242981,static__example_uniform__reset_each_stage,validation,31,21
67.70833134651184,static__example_uniform__reset_each_stage,validation,31,22
68.08510422706604,static__example_uniform__reset_each_stage,validation,31,23
62.85714507102966,static__example_uniform__reset_each_stage,validation,31,24
75.47169923782349,static__example_uniform__reset_each_stage,validation,31,25
78.78788113594055,static__example_uniform__reset_each_stage,validation,31,26
83.51648449897766,static__example_uniform__reset_each_stage,validation,31,27
87.65432238578796,static__example_uniform__reset_each_stage,validation,31,28
76.0869562625885,static__example_uniform__reset_each_stage,validation,31,29
86.32478713989258,static__example_uniform__reset_each_stage,validation,31,3
82.45614171028137,static__example_uniform__reset_each_stage,validation,31,30
80.2197813987732,static__example_uniform__reset_each_stage,validation,31,31
83.4532380104065,static__example_uniform__reset_each_stage,validation,31,4
83.49514603614807,static__example_uniform__reset_each_stage,validation,31,5
87.36842274665833,static__example_uniform__reset_each_stage,validation,31,6
85.86956262588501,static__example_uniform__reset_each_stage,validation,31,7
88.78504633903503,static__example_uniform__reset_each_stage,validation,31,8
76.1904776096344,static__example_uniform__reset_each_stage,validation,31,9
97.3753273487091,static__task_uniform__carry,fit_population,31,1
98.63013625144958,static__task_uniform__carry,fit_population,31,10
96.20253443717957,static__task_uniform__carry,fit_population,31,11
96.19565010070801,static__task_uniform__carry,fit_population,31,12
98.28850626945496,static__task_uniform__carry,fit_population,31,13
98.33333492279053,static__task_uniform__carry,fit_population,31,14
98.11828136444092,static__task_uniform__carry,fit_population,31,15
98.10874462127686,static__task_uniform__carry,fit_population,31,16
97.24310636520386,static__task_uniform__carry,fit_population,31,17
96.15384340286255,static__task_uniform__carry,fit_population,31,18
94.50867176055908,static__task_uniform__carry,fit_population,31,19
97.81553149223328,static__task_uniform__carry,fit_population,31,2
95.9876537322998,static__task_uniform__carry,fit_population,31,20
95.46436071395874,static__task_uniform__carry,fit_population,31,21
97.65625,static__task_uniform__carry,fit_population,31,22
95.18716335296631,static__task_uniform__carry,fit_population,31,23
96.35036587715149,static__task_uniform__carry,fit_population,31,24
98.05825352668762,static__task_uniform__carry,fit_population,31,25
95.93908786773682,static__task_uniform__carry,fit_population,31,26
96.93593382835388,static__task_uniform__carry,fit_population,31,27
98.14241528511047,static__task_uniform__carry,fit_population,31,28
97.25274443626404,static__task_uniform__carry,fit_population,31,29
97.44136333465576,static__task_uniform__carry,fit_population,31,3
97.0802903175354,static__task_uniform__carry,fit_population,31,30
99.18256402015686,static__task_uniform__carry,fit_population,31,31
97.8761076927185,static__task_uniform__carry,fit_population,31,4
97.82082438468933,static__task_uniform__carry,fit_population,31,5
97.15762138366699,static__task_uniform__carry,fit_population,31,6
97.01896905899048,static__task_uniform__carry,fit_population,31,7
96.96261882781982,static__task_uniform__carry,fit_population,31,8
97.64150977134705,static__task_uniform__carry,fit_population,31,9
87.2340440750122,static__task_uniform__carry,validation,31,1
91.74311757087708,static__task_uniform__carry,validation,31,10
79.7468364238739,static__task_uniform__carry,validation,31,11
77.4193525314331,static__task_uniform__carry,validation,31,12
84.3137264251709,static__task_uniform__carry,validation,31,13
90.56603908538818,static__task_uniform__carry,validation,31,14
86.02150678634644,static__task_uniform__carry,validation,31,15
79.24528121948242,static__task_uniform__carry,validation,31,16
70.70707082748413,static__task_uniform__carry,validation,31,17
76.47058963775635,static__task_uniform__carry,validation,31,18
72.41379022598267,static__task_uniform__carry,validation,31,19
78.43137383460999,static__task_uniform__carry,validation,31,2
73.17073345184326,static__task_uniform__carry,validation,31,20
78.44827771186829,static__task_uniform__carry,validation,31,21
70.83333134651184,static__task_uniform__carry,validation,31,22
63.82978558540344,static__task_uniform__carry,validation,31,23
67.14285612106323,static__task_uniform__carry,validation,31,24
75.47169923782349,static__task_uniform__carry,validation,31,25
76.76767706871033,static__task_uniform__carry,validation,31,26
76.92307829856873,static__task_uniform__carry,validation,31,27
82.71604776382446,static__task_uniform__carry,validation,31,28
73.9130437374115,static__task_uniform__carry,validation,31,29
86.32478713989258,static__task_uniform__carry,validation,31,3
82.45614171028137,static__task_uniform__carry,validation,31,30
80.2197813987732,static__task_uniform__carry,validation,31,31
77.69784331321716,static__task_uniform__carry,validation,31,4
80.58252334594727,static__task_uniform__carry,validation,31,5
86.3157868385315,static__task_uniform__carry,validation,31,6
86.95651888847351,static__task_uniform__carry,validation,31,7
84.112149477005,static__task_uniform__carry,validation,31,8
80.95238208770752,static__task_uniform__carry,validation,31,9
97.63779640197754,static__task_uniform__reset_each_stage,fit_population,31,1
