arm,policy,max_nodes_per_level,run_seed,training_sample_multiplier,learned_permutation_count,created_node_count,shared_forward_example_passes,shared_backward_example_passes,shared_forward_calls,shared_backward_calls
large_model_standard_samples,one_node_per_level,1,0,1,82,2,15360,15360,240,240
large_model_standard_samples,one_node_per_level,1,0,1,83,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,84,3,35840,35840,560,560
large_model_standard_samples,one_node_per_level,1,0,1,85,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,86,2,15360,15360,240,240
large_model_standard_samples,one_node_per_level,1,0,1,87,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,88,4,76800,76800,1200,1200
large_model_standard_samples,one_node_per_level,1,0,1,89,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,90,2,15360,15360,240,240
large_model_standard_samples,one_node_per_level,1,0,1,91,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,92,3,35840,35840,560,560
large_model_standard_samples,one_node_per_level,1,0,1,93,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,94,2,15360,15360,240,240
large_model_standard_samples,one_node_per_level,1,0,1,95,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,96,6,322560,322560,5040,5040
large_model_standard_samples,one_node_per_level,1,0,1,97,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,98,2,15360,15360,240,240
large_model_standard_samples,one_node_per_level,1,0,1,99,1,5120,5120,80,80
large_model_standard_samples,one_node_per_level,1,0,1,100,3,35840,35840,560,560
large_model_double_samples,one_node_per_level,1,0,2,1,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,2,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,3,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,4,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,5,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,6,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,7,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,8,4,153600,153600,2400,2400
large_model_double_samples,one_node_per_level,1,0,2,9,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,10,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,11,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,12,3,71680,71680,1120,1120
large_model_double_samples,one_node_per_level,1,0,2,13,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,14,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,15,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,16,5,317440,317440,4960,4960
large_model_double_samples,one_node_per_level,1,0,2,17,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,18,2,30720,30720,480,480
large_model_double_samples,one_node_per_level,1,0,2,19,1,10240,10240,160,160
large_model_double_samples,one_node_per_level,1,0,2,20,3,71680,71680,1120,1120
